Location Code,จังหวัด,เขต/อำเภอ,แขวง/ตำบล,รหัสไปรษณีย์
100101,กรุงเทพมหานคร,เขตพระนคร,พระบรมมหาราชวัง,10200
100102,กรุงเทพมหานคร,เขตพระนคร,วังบูรพาภิรมย์,10200
100103,กรุงเทพมหานคร,เขตพระนคร,วัดราชบพิธ,10200
100104,กรุงเทพมหานคร,เขตพระนคร,สำราญราษฎร์,10200
100105,กรุงเทพมหานคร,เขตพระนคร,ศาลเจ้าพ่อเสือ,10200
100106,กรุงเทพมหานคร,เขตพระนคร,เสาชิงช้า,10200
100107,กรุงเทพมหานคร,เขตพระนคร,บวรนิเวศ,10200
100108,กรุงเทพมหานคร,เขตพระนคร,ตลาดยอด,10200
100109,กรุงเทพมหานคร,เขตพระนคร,ชนะสงคราม,10200
100110,กรุงเทพมหานคร,เขตพระนคร,บ้านพานถม,10200
100111,กรุงเทพมหานคร,เขตพระนคร,บางขุนพรหม,10200
100112,กรุงเทพมหานคร,เขตพระนคร,วัดสามพระยา,10200
100201,กรุงเทพมหานคร,เขตดุสิต,ดุสิต,10300
100202,กรุงเทพมหานคร,เขตดุสิต,วชิรพยาบาล,10300
100203,กรุงเทพมหานคร,เขตดุสิต,สวนจิตรลดา,10300
100204,กรุงเทพมหานคร,เขตดุสิต,สี่แยกมหานาค,10300
100206,กรุงเทพมหานคร,เขตดุสิต,ถนนนครไชยศรี,10300
100301,กรุงเทพมหานคร,เขตหนองจอก,กระทุ่มราย,10530
100302,กรุงเทพมหานคร,เขตหนองจอก,หนองจอก,10530
100303,กรุงเทพมหานคร,เขตหนองจอก,คลองสิบ,10530
100304,กรุงเทพมหานคร,เขตหนองจอก,คลองสิบสอง,10530
100305,กรุงเทพมหานคร,เขตหนองจอก,โคกแฝด,10530
100306,กรุงเทพมหานคร,เขตหนองจอก,คู้ฝั่งเหนือ,10530
100307,กรุงเทพมหานคร,เขตหนองจอก,ลำผักชี,10530
100308,กรุงเทพมหานคร,เขตหนองจอก,ลำต้อยติ่ง,10530
100401,กรุงเทพมหานคร,เขตบางรัก,มหาพฤฒาราม,10500
100402,กรุงเทพมหานคร,เขตบางรัก,สีลม,10500
100403,กรุงเทพมหานคร,เขตบางรัก,สุริยวงศ์,10500
100404,กรุงเทพมหานคร,เขตบางรัก,บางรัก,10500
100405,กรุงเทพมหานคร,เขตบางรัก,สี่พระยา,10500
100502,กรุงเทพมหานคร,เขตบางเขน,อนุสาวรีย์,10220
100508,กรุงเทพมหานคร,เขตบางเขน,ท่าแร้ง,10220
100601,กรุงเทพมหานคร,เขตบางกะปิ,คลองจั่น,10240
100608,กรุงเทพมหานคร,เขตบางกะปิ,หัวหมาก,10240
100701,กรุงเทพมหานคร,เขตปทุมวัน,รองเมือง,10330
100702,กรุงเทพมหานคร,เขตปทุมวัน,วังใหม่,10330
100703,กรุงเทพมหานคร,เขตปทุมวัน,ปทุมวัน,10330
100704,กรุงเทพมหานคร,เขตปทุมวัน,ลุมพินี,10330
100801,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,ป้อมปราบ,10100
100802,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,วัดเทพศิรินทร์,10100
100803,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,คลองมหานาค,10100
100804,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,บ้านบาตร,10100
100805,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,วัดโสมนัส,10100
100905,กรุงเทพมหานคร,เขตพระโขนง,บางจาก,10260
101001,กรุงเทพมหานคร,เขตมีนบุรี,มีนบุรี,10510
101002,กรุงเทพมหานคร,เขตมีนบุรี,แสนแสบ,10510
101101,กรุงเทพมหานคร,เขตลาดกระบัง,ลาดกระบัง,10520
101102,กรุงเทพมหานคร,เขตลาดกระบัง,คลองสองต้นนุ่น,10520
101103,กรุงเทพมหานคร,เขตลาดกระบัง,คลองสามประเวศ,10520
101104,กรุงเทพมหานคร,เขตลาดกระบัง,ลำปลาทิว,10520
