id,Category_NOUSE,Name__NOUSE,rate_step_ids/amount_over,rate_step_ids/percent_commission
__export__.product_product_6941,Others,"อื่นๆ  ค่าตัดกระดาษ , ค่าซีนพลาสติก",,0
__export__.product_product_6937,Others,ค่าเพลท,,0
__export__.product_product_6936,Others,ค่าขนส่ง,,0
__export__.product_product_6939,Others,เศษกระดาษ,4,0
__export__.product_product_6966,Others VAT,ขอบิล,1,0
__export__.product_product_6940,Others VAT,ค่าภาษี,,0
product_MSH,กบเหลา,กบเหลาดินสอ,,0
product_P-GB-230G-31*21dot5,กระดาษกล่องเทาขาว,กระดาษกล่องเทาขาว 230แกรม 31*21.5นิ้ว 500แผ่น,1525,0.5
product_P-GB-230G-31*43,กระดาษกล่องเทาขาว,กระดาษกล่องเทาขาว 230แกรม 31*43นิ้ว 500แผ่น,3000,0.5
product_P-GB-250G-31*21dot5,กระดาษกล่องเทาขาว,กระดาษกล่องเทาขาว 250แกรม 31*21.5นิ้ว 500แผ่น,1613,0.5
product_P-GB-250G-31*43,กระดาษกล่องเทาขาว,กระดาษกล่องเทาขาว 250แกรม 31*43นิ้ว 500แผ่น,3175,0.5
product_P-GB-270G-31*21dot5,กระดาษกล่องเทาขาว,กระดาษกล่องเทาขาว 270แกรม 31*21.5นิ้ว 500แผ่น,1668,0.5
product_P-GB-270G-31*43,กระดาษกล่องเทาขาว,กระดาษกล่องเทาขาว 270แกรม 31*43นิ้ว 500แผ่น,3285,0.5
product_P-GB-290G-31*21dot5,กระดาษกล่องเทาขาว,กระดาษกล่องเทาขาว 290แกรม 31*21.5นิ้ว 500แผ่น,1795,0.5
product_P-GB-290G-31*43,กระดาษกล่องเทาขาว,กระดาษกล่องเทาขาว 290แกรม 31*43นิ้ว 500แผ่น,3540,0.5
product_P-GB-310G-31*21dot5,กระดาษกล่องเทาขาว,กระดาษกล่องเทาขาว 310แกรม 31*21.5นิ้ว 500แผ่น,1855,0.5
product_P-GB-310G-31*43,กระดาษกล่องเทาขาว,กระดาษกล่องเทาขาว 310แกรม 31*43นิ้ว 500แผ่น,3660,0.5
product_P-GB-350G-31*21dot5,กระดาษกล่องเทาขาว,กระดาษกล่องเทาขาว 350แกรม 31*21.5นิ้ว 500แผ่น,2025,0.5
product_P-GB-350G-31*43,กระดาษกล่องเทาขาว,กระดาษกล่องเทาขาว 350แกรม 31*43นิ้ว 500แผ่น,4000,0.5
product_P-GB-400G-31*21dot5,กระดาษกล่องเทาขาว,กระดาษกล่องเทาขาว 400แกรม 31*21.5นิ้ว 500แผ่น,2260,0.5
product_P-GB-400G-31*43,กระดาษกล่องเทาขาว,กระดาษกล่องเทาขาว 400แกรม 31*43นิ้ว 500แผ่น,4470,0.5
product_P-GB-450G-31*21dot5,กระดาษกล่องเทาขาว,กระดาษกล่องเทาขาว 450แกรม 31*21.5นิ้ว 500แผ่น,2485,0.5
product_P-GB-450G-31*43,กระดาษกล่องเทาขาว,กระดาษกล่องเทาขาว 450แกรม 31*43นิ้ว 500แผ่น,4920,0.5
product_P-GB-500G-31*21dot5,กระดาษกล่องเทาขาว,กระดาษกล่องเทาขาว 500แกรม 31*21.5นิ้ว 500แผ่น,2745,0.5
product_P-GB-500G-31*43,กระดาษกล่องเทาขาว,กระดาษกล่องเทาขาว 500แกรม 31*43นิ้ว 500แผ่น,5440,0.5
product_P-WCL-3*5,กระดาษการ์ดขาวตีเส้น,"กระดาษการ์ดขาวตีเส้น 3*5นิ้ว 210แกรม 1,000แผ่น",240,1.5
product_P-WCL-4*6,กระดาษการ์ดขาวตีเส้น,กระดาษการ์ดขาวตีเส้น 4*6นิ้ว 210แกรม 500แผ่น,175,1.5
product_P-WCL-5*8,กระดาษการ์ดขาวตีเส้น,กระดาษการ์ดขาวตีเส้น 5*8นิ้ว 210แกรม 500แผ่น,255,1.5
product_P-CWF-078,กระดาษการ์ดสี,กระดาษการ์ดสี 31*21.5นิ้ว 120แกรม 500แผ่น สีฟ้า ,1300,0.5
product_P-CWF-082,กระดาษการ์ดสี,กระดาษการ์ดสี 31*21.5นิ้ว 120แกรม 500แผ่น สีส้ม ,1300,0.5
product_P-CWF-084,กระดาษการ์ดสี,กระดาษการ์ดสี 31*21.5นิ้ว 120แกรม 500แผ่น สีครีม ,1300,0.5
product_P-CWF-079,กระดาษการ์ดสี,กระดาษการ์ดสี 31*21.5นิ้ว 120แกรม 500แผ่น สีชมพู ,1300,0.5
product_P-CWF-083,กระดาษการ์ดสี,กระดาษการ์ดสี 31*21.5นิ้ว 120แกรม 500แผ่น สีม่วง ,1300,0.5
product_P-CWF-080,กระดาษการ์ดสี,กระดาษการ์ดสี 31*21.5นิ้ว 120แกรม 500แผ่น สีเขียว ,1300,0.5
product_P-CWF-081,กระดาษการ์ดสี,กระดาษการ์ดสี 31*21.5นิ้ว 120แกรม 500แผ่น สีเหลือง ,1300,0.5
product_P-CWF-085,กระดาษการ์ดสี,กระดาษการ์ดสี 31*21.5นิ้ว 150แกรม 500แผ่น สีฟ้า ,1830,0.5
product_P-CWF-086,กระดาษการ์ดสี,กระดาษการ์ดสี 31*21.5นิ้ว 150แกรม 500แผ่น สีชมพู ,1830,0.5
product_P-CWF-087,กระดาษการ์ดสี,กระดาษการ์ดสี 31*21.5นิ้ว 150แกรม 500แผ่น สีเขียว ,1830,0.5
product_P-CWF-088,กระดาษการ์ดสี,กระดาษการ์ดสี 31*21.5นิ้ว 150แกรม 500แผ่น สีเหลือง ,1830,0.5
product_P-CWF-067,กระดาษการ์ดสี,กระดาษการ์ดสี 31*43นิ้ว 120แกรม 500แผ่น สีฟ้า ,2570,0.5
product_P-CWF-071,กระดาษการ์ดสี,กระดาษการ์ดสี 31*43นิ้ว 120แกรม 500แผ่น สีส้ม ,2570,0.5
