id,journal_id,number_mh_vat,is_mh_vat,add_disc,number_mh,is_mh_novat,partner_id,partner_id.id,user_id,date_invoice,invoice_line/price_unit,comment,invoice_line/product_id,invoice_line/name,invoice_line/invoice_line_tax_id,invoice_line/account_id,account_id
old_invoice_1,Sales Journal (Old),376063,TRUE,6.54205608,,,โรงเรียน มัธยมบ้านบางกะปิ,,จรัญ,2013-05-15,12096,,Service,สมุด,Output VAT,410000,120000
old_invoice_2,Sales Journal (Old),378117,TRUE,6.54205608,,,โรงเรียน มัธยมบ้านบางกะปิ,,จรัญ,2013-06-03,72036,,Service,สมุด,Output VAT,410000,120000
old_invoice_3,Sales Journal (Old),362639,TRUE,6.54205608,,,โรงเรียน พิบูลประชาสรรค์ (สหกรณ์),,จรัญ,2012-12-03,35040,,Service,สมุด,Output VAT,410000,120000
old_invoice_4,Sales Journal (Old),378141,TRUE,6.54205608,,,โรงเรียน ไทยรัฐวิทยา 95 (วัดโพธิ์ทองบน),,จรัญ,2013-06-04,75900,,Service,สมุด,Output VAT,410000,120000
old_invoice_5,Sales Journal (Old),380246,TRUE,6.54205608,,,โรงเรียน ดวงกมล,,จรัญ,2013-06-24,24500,,Service,สมุด,Output VAT,410000,120000
old_invoice_6,Sales Journal (Old),,,,33,TRUE,ศูนย์ถ่ายเอกสารเจเอส(ป้าติ๋ว),,จรัญ,2010-05-15,5000,ยอดค้าง,Service,สมุด,Output VAT,410000,120000
old_invoice_7,Sales Journal (Old),376593,TRUE,6.54205608,,,โรงเรียน ฤทธิณรงค์รอน,,จรัญ,2013-05-21,69252.5,"ยอดค้าง (มี C/N 33,072.50)",Service,สมุด,Output VAT,410000,120000
old_invoice_8,Sales Journal (Old),331880,TRUE,6.54205608,,,โรงเรียน นวมินทราชินูทิศสวนกุหลาบวิทยาลัยปทุมธานี,,ชุมพร,2011-12-16,41701.7,,Service,สมุด,Output VAT,410000,120000
old_invoice_9,Sales Journal (Old),,,,54,TRUE,โรงเรียน นวมินทราชินูทิศสวนกุหลาบวิทยาลัยปทุมธานี,,ชุมพร,2012-02-29,31500,,Service,สมุด,Output VAT,410000,120000
old_invoice_10,Sales Journal (Old),379943,TRUE,6.54205608,,,โรงเรียน ประสาทรัฐประชากิจ,,วีระพร,2013-06-19,46500,,Service,สมุด,Output VAT,410000,120000
old_invoice_11,Sales Journal (Old),228846,TRUE,6.54205608,,,โรงเรียน ชุมชนวัดใหญ่โพหัก,,วีระพร,2008-03-29,16215,ยอดค้าง,Service,สมุด,Output VAT,410000,120000
old_invoice_12,Sales Journal (Old),229378,TRUE,6.54205608,,,โรงเรียน ชุมชนวัดใหญ่โพหัก,,วีระพร,2008-04-05,2932.5,,Service,สมุด,Output VAT,410000,120000
