id,journal_id,number_mh_vat,is_mh_vat,add_disc,number_mh,is_mh_novat,partner_id,user_id,date_invoice,invoice_line/price_unit,comment,invoice_line/product_id,invoice_line/name,invoice_line/invoice_line_tax_id,invoice_line/account_id,account_id
old_invoice_nbk_1,Sales Journal (Old),340931,TRUE,6.54205608,,,ธัญญ่า เครื่องเขียน,พีรพัฒน์,2012-03-29,55500,,Service,สมุด,Output VAT,410000,120000
old_invoice_nbk_2,Sales Journal (Old),346247,TRUE,6.54205608,,,ธัญญ่า เครื่องเขียน,พีรพัฒน์,2012-05-30,37000,,Service,สมุด,Output VAT,410000,120000
old_invoice_nbk_3,Sales Journal (Old),346403,TRUE,6.54205608,,,ธัญญ่า เครื่องเขียน,พีรพัฒน์,2012-05-31,8240,,Service,สมุด,Output VAT,410000,120000
old_invoice_nbk_4,Sales Journal (Old),199999,TRUE,6.54205608,,,ร้าน พรศึกษา (สำนักงานใหญ่),พีรพัฒน์,,48061,,Service,สมุด,Output VAT,410000,120000
old_invoice_nbk_5,Sales Journal (Old),199999,TRUE,6.54205608,,,พันธ์ดวงเครื่องเขียน,พีรพัฒน์,,406729,หนี้เสีย,Service,สมุด,Output VAT,410000,120000
old_invoice_nbk_6,Sales Journal (Old),199999,TRUE,6.54205608,,,เจนวิทย์บุ๊คเซ็นเตอร์,พีรพัฒน์,,87635,หนี้เสีย,Service,สมุด,Output VAT,410000,120000
old_invoice_nbk_7,Sales Journal (Old),378872,TRUE,6.54205608,,,ห้างหุ้นส่วนจำกัด แพร่สงวนพาณิชย์,พีรพัฒน์,2013-06-11,8280,,Service,สมุด,Output VAT,410000,120000
old_invoice_nbk_8,Sales Journal (Old),,,,200,TRUE,หสม.สิริอักษร,พีรพัฒน์,2013-05-20,3220,,Service,สมุด,Output VAT,410000,120000
old_invoice_nbk_9,Sales Journal (Old),,,,56,TRUE,หสม.สิริอักษร,พีรพัฒน์,2013-05-30,24900,,Service,สมุด,Output VAT,410000,120000
old_invoice_nbk_10,Sales Journal (Old),370459,TRUE,6.54205608,,,บริษัท ไพจิตต์พาณิชย์ จำกัด,มนฏ พันธุ์มณี (เก่ง),2013-03-11,28568,,Service,สมุด,Output VAT,410000,120000
