id,customer_pname,customer_name,name,ref,is_company,customer,supplier,parent_id,type,use_parent_address,street,street2,zip,city,country_id/id,phone,mobile,fax,email,area_name,group_name,sub_group_name,category_id,website,comment,user_id
mh_res_partner_1,ร้าน,ศึกษากิจพิศาล,ร้าน ศึกษากิจพิศาล,3128,TRUE,TRUE,FALSE,,Default,FALSE,350/29 ถ.ไชยานุภาพ ต.ในเมือง,อ.เมือง จ.พิษณุโลก 65000,,,,055-320718,,055-320575,,ภาคเหนือ,ร้านค้าทั่วไป,ขายส่ง,"ภาคเหนือ,ร้านค้าทั่วไป,ขายส่ง",,,OF-AQ
mh_res_partner_2,บริษัท,แอด ไอคิว จำกัด,บริษัท แอด ไอคิว จำกัด,3979,TRUE,TRUE,FALSE,,Default,FALSE,350/29 ถ.ไชยานุภาพ ต.ในเมือง,อ.เมืองพิษณุโลก จ.พิษณุโลก 65000,,,,"055-320718,081-8867783",,055-320575,,ภาคเหนือ,ร้านค้าทั่วไป,ขายส่ง,"ภาคเหนือ,ร้านค้าทั่วไป,ขายส่ง",,,OF-AQ
mh_res_partner_3,บริษัท,ป.โปรฟิทส์  จำกัด,บริษัท ป.โปรฟิทส์  จำกัด,3559,TRUE,TRUE,FALSE,,Default,FALSE,40 ถ.ร่วมจิตร ต.ในเมือง,อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,,,"043-332880,236442",,043-332880 กด 106,,ภาคอีสาน,ร้านค้าทั่วไป,ขายส่ง,"ภาคอีสาน,ร้านค้าทั่วไป,ขายส่ง",,,OF-PF
mh_res_partner_4,ห้างหุ้นส่วนจำกัด,แสงทิพย์ คุรุภัณฑ์,ห้างหุ้นส่วนจำกัด แสงทิพย์ คุรุภัณฑ์,แสงทิพย์,TRUE,TRUE,FALSE,,Default,FALSE,38 ถ.ร่วมจิตร ต.ในเมือง,อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,,,,,,,ภาคอีสาน,ร้านค้าทั่วไป,ขายส่ง,"ภาคอีสาน,ร้านค้าทั่วไป,ขายส่ง",,,OF-PF
mh_res_partner_5,ห้างหุ้นส่วนจำกัด,สยามจันดี,ห้างหุ้นส่วนจำกัด สยามจันดี,สยามจันดี,TRUE,TRUE,FALSE,,Default,FALSE,111/43 หมู่บ้านชลลดา ถ.คำไฮ้-บ้านกอก,ต.บ้านเป็ด อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,,,"043-916580,086-4599073",,,,ภาคอีสาน,ร้านค้าทั่วไป,,"ภาคอีสาน,ร้านค้าทั่วไป,",,,OF-PF
mh_res_partner_6,ห้างหุ้นส่วนจำกัด,สตาร์โปรฟิทส์,ห้างหุ้นส่วนจำกัด สตาร์โปรฟิทส์,043-916867,TRUE,TRUE,FALSE,,Default,FALSE,111/43  ถ.คำไฮ้-บ้านกอก ต.บ้านเป็ด,อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,,,043-916867,,043-916581,,ภาคอีสาน,ร้านค้าทั่วไป,,"ภาคอีสาน,ร้านค้าทั่วไป,",,,OF-PF
mh_res_partner_7,บริษัท,สุ่ยเซ้งเครื่องเขียน  จำกัด,บริษัท สุ่ยเซ้งเครื่องเขียน  จำกัด,0160,TRUE,TRUE,FALSE,,Default,FALSE,93/87-92 ซอยพัฒนาการ1 ถนนสาธุประดิษฐ์34,แขวงบางโพงพาง เขตยานนาวา กรุงเทพฯ 10120,,,,026836625-8  022945356-7,,026836629,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,กิตติ
mh_res_partner_8,บริษัท,สันติศิริ  จำกัด,บริษัท สันติศิริ  จำกัด,0161,TRUE,TRUE,FALSE,,Default,FALSE,1808/4-5  ซอยพระแม่มารี  ถนนจันทน์,แขวงทุ่งวัดดอน  เขตสาธร  กรุงเทพฯ,,,,2112545,,,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,กิตติ
mh_res_partner_9,บริษัท,พัฒนาแสงชัย  จำกัด,บริษัท พัฒนาแสงชัย  จำกัด,0162,TRUE,TRUE,FALSE,,Default,FALSE,905  ถนนสีลม แขวงสีลม,เขตบางรัก  กรุงเทพฯ,,,,2334694-2346957,,,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,กิตติ
mh_res_partner_10,,พีแอนด์ซีสเตชั่นเนอรี่,พีแอนด์ซีสเตชั่นเนอรี่,0163,TRUE,TRUE,FALSE,,Default,FALSE,114/20  ถนนสีลม  แขวงสุริยวงศ์,เขตบางรัก  กรุงเทพฯ,,,,"2337556,2356425",,,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,กิตติ
mh_res_partner_11,ห้างหุ้นส่วนจำกัด,ส.สีลมสโตร์,ห้างหุ้นส่วนจำกัด ส.สีลมสโตร์,0164,TRUE,TRUE,FALSE,,Default,FALSE,1/7  ถนนศาลาแดง  แขวงสีลม,เขตบางรัก  กรุงเทพฯ,,,,"2336270,2344834",,,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,กิตติ
mh_res_partner_12,บริษัท,ไทยพัฒน์ซัพพลาย จำกัด,บริษัท ไทยพัฒน์ซัพพลาย จำกัด,0165,TRUE,TRUE,FALSE,,Default,FALSE,200/9 ถนนนเรศ,แขวงสี่พระยา เขตบางรัก กรุงเทพฯ,,,,"2333660,2347704",,,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,กิตติ
mh_res_partner_13,ห้างหุ้นส่วนจำกัด,ส.พงษ์ไทยสเตชั่นเนอรี่,ห้างหุ้นส่วนจำกัด ส.พงษ์ไทยสเตชั่นเนอรี่,0166,TRUE,TRUE,FALSE,,Default,FALSE,472  ถนนสุรวงศ์  แขวงสี่พระยา,เขตบางรัก  กรุงเทพฯ,,,,2340444,,,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,กิตติ
mh_res_partner_14,บริษัท,เอส เจ อาร์.อินเตอร์เนชั่นแนล จำกัด,บริษัท เอส เจ อาร์.อินเตอร์เนชั่นแนล จำกัด,0203,TRUE,TRUE,FALSE,,Default,FALSE,9  หมู่ 2 ซ.น้อมจิต ถ.ริมคลองประปา,แขวงบางซื่อ  เขตบางซื่อ  กรุงเทพฯ  10800,,,,029138067,,029138067,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,กุมุทณา
mh_res_partner_15,บริษัท,จ.วิวัฒน์เซอร์วิส (1990) จำกัด,บริษัท จ.วิวัฒน์เซอร์วิส (1990) จำกัด,0651,TRUE,TRUE,FALSE,,Default,FALSE,51/2 หมู่ 7 ซอยรัตนกวี แขวงจอมทอง,เขตจอมทอง  กรุงเทพฯ  10150,,,,02-4601176,,02-4685825,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,กุมุทณา
mh_res_partner_16,บริษัท,ธีระมงคล อุตสาหกรรม จำกัด (มหาชน),บริษัท ธีระมงคล อุตสาหกรรม จำกัด (มหาชน),2273,TRUE,TRUE,FALSE,,Default,FALSE,9/20 หมู่ที่ 5 ถนนเลียบคลองสี่วาพาสวัสดิ์,ต.คอกกระบือ อ.เมือง จ.สมุทรสาคร 74000,,,,,,,,กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก,"กรุงเทพฯ,ร้านค้าทั่วไป,ขายปลีก",,,กุมุทณา
