id,customer_pname,customer_name,name,partner_code,partner_sub_code,ref,contact_name,position,comment,is_company,customer,supplier,parent_id,type,use_parent_address,street,street2,zip,city,country_id/id,phone,fax,mobile,email,area_name,group_name,sub_group_name,category_id,website,user_id
modern_res_partner_1,บริษัท,บีทูเอส จำกัด สาขาศูนย์กระจายสินค้าบางนา,บริษัท บีทูเอส จำกัด สาขาศูนย์กระจายสินค้าบางนา,ฺB2S,,50056,คุณ วรรณ,,คุณ วรรณ,TRUE,TRUE,FALSE,,Default,FALSE,เลขที่ 105-106 หมู่ที่ 1 ต.ศีรษะจรเข้ใหญ่,อ.บางเสาธง  จ.สมุทรปราการ  10540,,,,081-8192974,,,,กรุงเทพฯ,โมเดิร์นเทรด,ขายปลีก,"กรุงเทพฯ,โมเดิร์นเทรด,ขายปลีก",,OF-B2S
modern_res_partner_2,บริษัท,ออฟฟิซ คลับ (ไทย) จำกัด สาขาซีคอนสแควร์,บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขาซีคอนสแควร์,OC,,0033,แผนกตรวจรับสินค้า,,แผนกตรวจรับสินค้า,TRUE,TRUE,FALSE,,Default,FALSE,55 ถนนศรีนครินทร์  แขวงหนองบอน,เขตประเวศ กรุงเทพฯ 10260,,,,"02-7218260,02-7218888",02-7218274,,,กรุงเทพฯ,โมเดิร์นเทรด,ขายปลีก,"กรุงเทพฯ,โมเดิร์นเทรด,ขายปลีก",,OF-C
modern_res_partner_3,บริษัท,ออฟฟิซ คลับ (ไทย) จำกัด สาขาศูนย์กระจายสินค้าบางนา,บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขาศูนย์กระจายสินค้าบางนา,OC,,OC3,,,,FALSE,FALSE,FALSE,บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขาซีคอนสแควร์,Shipping,FALSE,เลขที่ 105-106  หมู่ที่ 1  ตำบลศรีษะจรเข้ใหญ่,อำเภอบางเสาธง  จังหวัดสมุทรปราการ  10540,,,,,,,,กรุงเทพฯ,โมเดิร์นเทรด,ขายปลีก,"กรุงเทพฯ,โมเดิร์นเทรด,ขายปลีก",,OF-C
modern_res_partner_4,บริษัท,ออฟฟิซ คลับ (ไทย) จำกัด สาขายูไนเต็ดเซ็นเตอร์,บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขายูไนเต็ดเซ็นเตอร์,OC,,0034,แผนกตรวจรับสินค้า,,แผนกตรวจรับสินค้า,TRUE,TRUE,FALSE,,Default,FALSE,323  ถนนสีลม  แขวงสีลม,เขตบางรัก กรุงเทพฯ  10500,,,,02-2676264,02-2676257-8,,,กรุงเทพฯ,โมเดิร์นเทรด,ขายปลีก,"กรุงเทพฯ,โมเดิร์นเทรด,ขายปลีก",,OF-C
modern_res_partner_5,บริษัท,ออฟฟิซ คลับ (ไทย) จำกัด สาขาศูนย์กระจายสินค้าบางนา,บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขาศูนย์กระจายสินค้าบางนา,OC,,OC3,,,,FALSE,FALSE,FALSE,บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขายูไนเต็ดเซ็นเตอร์,Shipping,FALSE,เลขที่ 105-106  หมู่ที่ 1  ตำบลศรีษะจรเข้ใหญ่,อำเภอบางเสาธง  จังหวัดสมุทรปราการ  10540,,,,,,,,กรุงเทพฯ,โมเดิร์นเทรด,ขายปลีก,"กรุงเทพฯ,โมเดิร์นเทรด,ขายปลีก",,OF-C
modern_res_partner_6,บริษัท,ออฟฟิซ คลับ (ไทย) จำกัด สาขาสินธร,บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขาสินธร,OC,,0035,แผนกตรวจรับสินค้า,,แผนกตรวจรับสินค้า,TRUE,TRUE,FALSE,,Default,FALSE,130-132 ถนนวิทยุ แขวงลุมพินี,เขตปทุมวัน กรุงเทพฯ 10330,,,,2632277 - 2632417,,,,กรุงเทพฯ,โมเดิร์นเทรด,ขายปลีก,"กรุงเทพฯ,โมเดิร์นเทรด,ขายปลีก",,OF-C
modern_res_partner_7,บริษัท,ออฟฟิซ คลับ (ไทย) จำกัด สาขาศูนย์กระจายสินค้าบางนา,บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขาศูนย์กระจายสินค้าบางนา,OC,,OC3,,,,FALSE,FALSE,FALSE,บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขาสินธร,Shipping,FALSE,เลขที่ 105-106  หมู่ที่ 1  ตำบลศรีษะจรเข้ใหญ่,อำเภอบางเสาธง  จังหวัดสมุทรปราการ  10540,,,,,,,,กรุงเทพฯ,โมเดิร์นเทรด,ขายปลีก,"กรุงเทพฯ,โมเดิร์นเทรด,ขายปลีก",,OF-C
modern_res_partner_8,บริษัท,ออฟฟิซ คลับ (ไทย) จำกัด สาขารอยัลซิตี้ อเวนิว,บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขารอยัลซิตี้ อเวนิว,OC,,0036,แผนกตรวจรับสินค้า,,แผนกตรวจรับสินค้า,TRUE,TRUE,FALSE,,Default,FALSE,31/1 ซอยศูนย์วิจัย ถนนพระราม 9,แขวงบางกะปิ เขตห้วยขวาง กรุงเทพฯ 10240,,,,02-6415900 ต่อ 101,02-6415901,,,กรุงเทพฯ,โมเดิร์นเทรด,ขายปลีก,"กรุงเทพฯ,โมเดิร์นเทรด,ขายปลีก",,OF-C
modern_res_partner_9,บริษัท,ออฟฟิซ คลับ (ไทย) จำกัด สาขาศูนย์กระจายสินค้าบางนา,บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขาศูนย์กระจายสินค้าบางนา,OC,,OC3,,,,FALSE,FALSE,FALSE,บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขารอยัลซิตี้ อเวนิว,Shipping,FALSE,เลขที่ 105-106  หมู่ที่ 1  ตำบลศรีษะจรเข้ใหญ่,อำเภอบางเสาธง  จังหวัดสมุทรปราการ  10540,,,,,,,,กรุงเทพฯ,โมเดิร์นเทรด,ขายปลีก,"กรุงเทพฯ,โมเดิร์นเทรด,ขายปลีก",,OF-C
modern_res_partner_10,บริษัท,ออฟฟิซ คลับ (ไทย) จำกัด สาขาพระราม3,บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขาพระราม3,OC,,0755,,,,TRUE,TRUE,FALSE,,Default,FALSE,295 ถนนพระราม3 แขวงบางคอแหลม,เขตบางคอแหลม กรุงเทพฯ 10120,,,,02-6890920-30,02-6890221,,,กรุงเทพฯ,โมเดิร์นเทรด,ขายปลีก,"กรุงเทพฯ,โมเดิร์นเทรด,ขายปลีก",,OF-C
