id,customer_pname,customer_name,name,partner_code,partner_sub_code,ref,contact_name,position,comment,is_company,customer,supplier,parent_id,type,use_parent_address,street,street2,zip,city,country_id/id,phone,fax,mobile,email,area_name,group_name,sub_group_name,category_id,website,user_id
school_res_partner_1,โรงเรียน,ทวีธาภิเศก,โรงเรียน ทวีธาภิเศก,,,0494,,,,,,,,Default,,505/5 ซอยอิสรภาพ ถนนอิสรภาพ แขวงวัดอรุณราชวราราม,เขตบางกอกใหญ่ กทม.10600,,,,4650072-4655156 0814932910,,,,กรุงเทพฯ,โรงเรียน,,"กรุงเทพฯ,โรงเรียน,",,กุมุทณา
school_res_partner_2,โรงเรียน,ยานนาเวศวิทยาคม,โรงเรียน ยานนาเวศวิทยาคม,,,0531,อาจารย์ฤดี,,อาจารย์ฤดี,,,,,Default,,146 ถนนสาธุประดิษฐ์,แขวงทุ่งวัดดอน เขตสาธร กรุงเทพฯ 10120,,,,2110942-2113518,,,,กรุงเทพฯ,โรงเรียน,,"กรุงเทพฯ,โรงเรียน,",,กุมุทณา
school_res_partner_3,โรงเรียน,วัดประดู่ในทรงธรรม,โรงเรียน วัดประดู่ในทรงธรรม,,,0474,อาจารย์ธารา,,อาจารย์ธารา,,,,,Default,,1160/3 แขวงท่าพระ,เขตบางกอกใหญ่ กรุงเทพฯ โทร 4579830-1,,,,4579830-1,,,,กรุงเทพฯ,โรงเรียน,,"กรุงเทพฯ,โรงเรียน,",,จรัญ
school_res_partner_4,,สหกรณ์โรงเรียนบางปะกอกวิทยาคม,สหกรณ์โรงเรียนบางปะกอกวิทยาคม,,,0475,,,,,,,,Default,,299 หมู่1 สุขสวัสดิ์19  ( โทร  4271629 ),แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพฯ,,,,4271629,,,,กรุงเทพฯ,โรงเรียน,,"กรุงเทพฯ,โรงเรียน,",,จรัญ
school_res_partner_5,โรงเรียน,กว่างเจ้า,โรงเรียน กว่างเจ้า,,,0476,อาจารย์ วิมล,,อาจารย์ วิมล,,,,,Default,,525 ถนนสีลม,เขตบางรัก กรุงเทพฯ,,,,6350165,,,,กรุงเทพฯ,โรงเรียน,,"กรุงเทพฯ,โรงเรียน,",,จรัญ
school_res_partner_6,โรงเรียน,สวนกุหลาบวิทยาลัย,โรงเรียน สวนกุหลาบวิทยาลัย,,,0467,,,,,,,,Default,,88 ถนนตรีเพชร,แขวงวังบูรพาภิรมย์  เขตพระนคร กรุงเทพฯ,,,,2255590,,,,กรุงเทพฯ,โรงเรียน,,"กรุงเทพฯ,โรงเรียน,",,จรัญ
school_res_partner_7,โรงเรียน,อนุบาลเอกชัย,โรงเรียน อนุบาลเอกชัย,,,0458,,,,,,,,Default,,118 หมู่6 ซอยสินสุข ถนนเอกชัย,แขวงบางบอน เขตบางขุนเทียน กรุงเทพฯ,,,,4510212,,,,กรุงเทพฯ,โรงเรียน,,"กรุงเทพฯ,โรงเรียน,",,จรัญ
school_res_partner_8,,ศูนย์หนังสือมหาวิทยาลัยศรีปทุม,ศูนย์หนังสือมหาวิทยาลัยศรีปทุม,,,0460,ผอ,,ผอ,,,,,Default,,61 ถนนพหลโยธิน  เขตจตุจักร,กรุงเทพฯ 10900,,,,02-4153040,,,,กรุงเทพฯ,โรงเรียน,,"กรุงเทพฯ,โรงเรียน,",,จรัญ
school_res_partner_9,โรงเรียน,อัสสัมชัญศรีราชา,โรงเรียน อัสสัมชัญศรีราชา,,,4427,,,,,,,,Default,,อ.ศรีราชา    จ. ชลบุรี   20110,,,,,038-311055-6,"038-311055 ต่อ128,",,,ภาคกลาง,โรงเรียน,,"ภาคกลาง,โรงเรียน,",,ชัยวัฒน์
school_res_partner_10,โรงเรียน,ศรีมหาโพธิ,โรงเรียน ศรีมหาโพธิ,,,3046,อ.นันทพร,,อ.นันทพร,,,,,Default,,อ.ศรีมหาโพธิ จ.ปราจีนบุรี 25140,,,,,037-279188-บ้าน,,,,ภาคกลาง,โรงเรียน,,"ภาคกลาง,โรงเรียน,",,ชัยวัฒน์
