id,name,route,street,street2,zip,city,country_id/id,phone,fax,email,active,dest_contact,area_covered,note
partner_shipper_1,นครกรุงเทพสหการขนส่ง,south,ทวีวัฒนา,,,กรุงเทพฯ,base.th,"
02-887-0910-1, 02-448-1113, 02-887-2085",,,TRUE,,ประจวบคีรีขันธ์,
partner_shipper_2,ทรัพย์สมบูรณ์ทรัพย์,south,ถ.บางแวก,,,กรุงเทพฯ,base.th,"02-8872705, 4482874-5",,,TRUE,"เพชรบุรี 032-425853,427854
หัวหิน 01-4932270,09-7388494
ปราณบุรี 032-621448,01-9810238
ประจวบฯ032-603651,01-7638481",เพชรบุรี,
partner_shipper_3,ประพันธ์เพชรบุรี,south,สุขาภิบาล 2 ทวีวัฒนา,,,กรุงเทพฯ,base.th,,,,TRUE,032-425450,เพชรบุรี,
partner_shipper_4,กระบี่นครการขนส่ง,south,"ถ.กาญจนาภิเษก, ตลิ่งชัน",,,กรุงเทพฯ,base.th,"02-8858746, 02-8858747, 02-8858748",,,TRUE,0-7563-2227,"กรุงเทพฯ สุราษฎร์ฯ นครศรี กระบี่ ตรัง
ทุ่งสง",
partner_shipper_5,หจก.ปรีดาภาคใต้ ขนส่ง,south,ถนนบางแวก ภาษีเจริญ,,,กรุงเทพฯ,base.th,"02-410-3420, 02-410-3160, 06-375-4853, 01-445-6094, 01-875-5577",,,TRUE,"0-7750-3351,0-7757-1358
0-6069-8810 หลังสวน 0-7754-1946
0-9669-6376",กรุงเทพฯ ชุมพร,
partner_shipper_6,สหขนส่งสายใต้ ,south,ถ.กาญจนาภิเษก ทวีวัฒนา,,,กรุงเทพฯ,base.th,02-885-9041-3,,,TRUE,"0-7750-1425,0-7751-1273",ชุมพร,
partner_shipper_7,โกล้วนขนส่ง,south,ถ.บางแวก บางแค,,,กรุงเทพฯ,base.th,"02-448-2898, 02-448-2937-8",,,TRUE,0-7521-2940,ตรัง กันตัง ห้วยยอด ย่านตาขาว ปะเหลี่ยน,
partner_shipper_8,อาร์เอทีขนส่ง,south,,,,กรุงเทพฯ,base.th,"02-889-4800, 01-597-5973, 01-535-7110",,,TRUE,0-7532-5241,กทม.-นครศรีธรรมราช,
partner_shipper_9,ทุ่งสงนครขนส่ง,south,ถ.บางแวก ภาษีเจริญ,,,กรุงเทพฯ,base.th,"02-4103118,02-4103119",,,TRUE,,นครศรีและทุ่งสง,
partner_shipper_10,สี่สหายขนส่ง,south,แขวงแสมดำ บางขุนเทียน,,,กรุงเทพฯ,base.th,02-451-6712-16,,,TRUE,"075-536529, 536303",นครศรีธรรมราช,
partner_shipper_11,พรทรัพย์สว่างขนส่ง (เดิมทรัพย์ดวงพร),south,หมู่บ้านขุมทรัพย์นคร สาย 3,,,กรุงเทพฯ,base.th,"087-8947440, 081-5372582",,,TRUE,"081-5372582, 081-5371345","นครศรีธรรมราช จันดี ฉวาง ทานพอ ถ้ำพรรณรา บ้านส้อง
พิปูน นาบอน ทุ่งสง ทุ่งใหญ่ กะปาง",
partner_shipper_12,ฉลองชัยขนส่ง,south,ถ.วงแหวนรอบนอก,,,กรุงเทพฯ,base.th,02-885-8410-1,,,TRUE,073-522-123,นราธิวาส ตันหยงมัส สุไหงปาตี สุไหงโกลก,
partner_shipper_13,ปัตตานีปลาป่น ,south,ถ.วงแหวนรอบนอก บางขุนเทียน,,,กรุงเทพฯ,base.th,"01-2078111,01-5407444,02-8953024-5",,,TRUE,"073-311044,310234",กรุงเทพฯ ปัตตานี สงขลา ยะลา,
partner_shipper_14,อุปกรณ์การเกษตรพัทลุง (อุปกรณ์ขนส่ง),south,พุทธมณฑลสาย 3,,,กรุงเทพฯ,base.th,"02-4413584-5, 01-5988239",,,TRUE,"พัทลุง 074-613239,612062",กรุงเทพ พัทลุง,
partner_shipper_15,พิชิตขนส่งพัทลุง (ภาคใต้),south,ซ.สุขาภิบาล 2 ทวีวัฒนา,,,กรุงเทพฯ,base.th,"02-885-8367,01-4410355",,,TRUE,,พัทลุง,
partner_shipper_16,ภูเก็ตเสรีขนส่ง,south,พุทธมณฑลสาย 3,,,กรุงเทพฯ,base.th,"02-888-0736,02-888-1450",,,TRUE,"076-234428,234375,01-9580855,01-5973668",กรุงเทพฯ ภูเก็ต,
partner_shipper_17,เมืองทองบริการภูเก็ต,south,ถ.บางแวก บางแค,,,กรุงเทพฯ,base.th,"02-410-3421-2, 02-865-3244, 01-476-7957",,,TRUE,"0-7621-3596,0-7622-1254, 0-7624-0500-2",กรุงเทพฯ ภูเก็ต ป่าตอง กระทู้ กะตะ กะรน พังงา ท้ายเหมือง โคกกลอย,
partner_shipper_18,ด่วน 1999 ขนส่ง,south,พุทธมณฑลสาย 2 ภาษีเจริญ,,,กรุงเทพฯ,base.th,02-8041116-7,,,TRUE,"076-216791,216287",กรุงเทพฯ ภูเก็ต,
partner_shipper_19,ภูเก็ตวุฒิเจริญขนส่ง ,south,ถ.บรมราชชนนี ตลิ่งชัน,,,กรุงเทพฯ,base.th,"02-4413245,02-4413857",,,TRUE,"076-239119,239279",กรุงเทพฯ - ท้ายเหมือง- โคกลอย – พังงา ภูเก็ต,
partner_shipper_20,โชคชัยอมรกิจ ,south,ถ.วงแหวน ตลิ่งชัน,,,กรุงเทพฯ,base.th,02-8858031-2,,,TRUE,"076-214889,222017",กรุงเทพฯ ภูเก็ต ,
partner_shipper_21,สามัคคีขนส่งสายใต้,south,ซ.เอกมัย 95,,,กรุงเทพฯ,base.th,"02-4158506,4158508, 09-7883393",,,TRUE,"หาดใหญ่ 074-429049, ยะลา 073-221135,223545, 073-223466,01-9906620",หาดใหญ่ ยะลา ปัตตานี ยะลา เบตง รับเหมาคันทั่วภาคใต้,
partner_shipper_22,เอเชีย-หาดใหญ่ ขนส่ง สายใต้,south,ถ.เอกชัย บางบอน,,,กรุงเทพฯ,base.th,"02-894-2649-50, 02-894-3531",,,TRUE,"หาดใหญ่ 074-559073,72",หาดใหญ่ สงขลา สตูล ยะลา ปัตตานี สุไหงโกลก นครศรีธรรมราช ตรัง สุราษฎร์ ทุ่งสง,
partner_shipper_23,กรุงเทพปักษ์ใต้ขนส่ง,south,ถ.บางแวก บางแค,,,กรุงเทพฯ,base.th,"02-410-4089,02-4103359, 01-6143458",,,TRUE,"หาดใหญ่ 0-7442-7437,0-4194-7592",สุราษฎร์ธานี หาดใหญ่,
partner_shipper_24,สงขลาปิยวัฒน์ขนส่ง,south,ถ.เอกชัย บางบอน,,,กรุงเทพฯ,base.th,"02-8925113,06-6921992, 01-9698100",,,TRUE,"หาดใหญ่ 074-427787-8, 06-5981861",กรุงเทพ สงขลา,
partner_shipper_25,จิรพจน์ทรานสปอร์ต,south,ถ.เอกชัย บางบอน,,,กรุงเทพฯ,base.th,02-415-9478-9,,,TRUE,"สนง.หาดใหญ่ 073-221663, 01-6086918",สงขลา หาดใหญ่ ยะลา ปัตตานี,
