id,name
paper_size_1,A4
paper_size_2,F4 / F14
paper_size_3,A3
paper_size_4,ยาว
paper_size_5,31*43 นิ้ว
paper_size_6,31*21.5 นิ้ว
paper_size_7,31*43
paper_size_8,21.5*31 นิ้ว
paper_size_9,210*22 หลา
paper_size_10,210*30 หลา
paper_size_11,8.5*19.5
paper_size_12,19.8*21.4
paper_size_13,15*15.5
paper_size_14,5*8 นิ้ว
paper_size_15,6*8 นิ้ว
paper_size_16,3*5 นิ้ว
paper_size_17,4*6 นิ้ว
paper_size_18,19.3*31.3
paper_size_19,21*33
paper_size_20,19*25.5
paper_size_21,21*28.7
paper_size_22,31*21.5
paper_size_23,56*79
paper_size_24,31.25
paper_size_25,31*27
paper_size_26,35*47 นิ้ว
paper_size_27,18*26
paper_size_28,27.5*38
paper_size_29,35.5*38.5
paper_size_30,16.5*24
paper_size_31,18.5*26
paper_size_32,18.5*25.5
paper_size_33,13*18.5
paper_size_34,14.85*21
paper_size_35,10.5*14.8
paper_size_36,7.4*10.5
paper_size_37,5.5*8.75 นิ้ว
paper_size_38,5.5*7.31 นิ้ว
paper_size_39,5.5*8.5 นิ้ว
paper_size_40,18*25 ซม.
paper_size_41,15*20.5 ซม.
paper_size_42,13*12.5 ซม.
paper_size_43,9.7*17.5 ซม.
paper_size_44,15*21.5 ซม.
paper_size_45,13*19.5 ซม.
paper_size_46,9.7*17.5 ซม
paper_size_47,21.5*33 ซม.
paper_size_48,17.5*25 ซม.
paper_size_49,16*23.5 ซม.
paper_size_50,19*31 ซม.
paper_size_51,9.5*21 ซม.
paper_size_52,12.5*26.5 ซม.
paper_size_53,14.85*21 ซม.
paper_size_54,26*37.5 ซม.
paper_size_55,12.5*34 ซม.
paper_size_56,10*22 ซม
paper_size_57,18.5*25.5 ซม
paper_size_58,19*26 ซม
paper_size_59,12.5*25 ซม
paper_size_60,18.5*26 ซม
paper_size_61,7.5*12.5 ซม
paper_size_62,21.5*26 ซม
paper_size_63,21*29.7 ซม
paper_size_64,6.5*10 ซม
paper_size_65,13.5*18 ซม
paper_size_66,18*25.5 ซม
paper_size_67,15*21 ซม
paper_size_68,21.33 ซม
paper_size_69,19.5*27 ซม
paper_size_70,8.5*12.5 ซม
paper_size_71,10.5*14.8 ซม
paper_size_72,7.4*10.5 ซม
paper_size_73,16.5*24 ซม
paper_size_74,26.5*19 ซม
paper_size_75,26.5*38 ซม
paper_size_76,25*26 ซม
paper_size_77,25.5*25.5 ซม
paper_size_78,12.5*18 ซม
paper_size_79,17.9*25.2 ซม
paper_size_80,A5
paper_size_81,20*31 ซม
paper_size_82,9.5*13 ซม
paper_size_83,12*18.2 ซม
paper_size_84,13*19 ซม
paper_size_85,8.8*12.5 ซม
paper_size_86,5*10 ซม
paper_size_87,19.5*26.5 ซม
paper_size_88,7.6*16.3 ซม
paper_size_89,16*20 ซม
paper_size_90,12.5*17.5 ซม
paper_size_91,21.5*33
paper_size_92,12.5*25
paper_size_93,9.5*21
paper_size_94,18.5*26 
paper_size_95,16*23.5
paper_size_96,8.8*12.5
paper_size_97,19*31
paper_size_98,5*10
paper_size_99,26.5*38
paper_size_100,26.5*19
paper_size_101,6.5*10
paper_size_102,16.5*24 
paper_size_103,21*27
paper_size_104,12*18
paper_size_105,19*31 
paper_size_106,20.5*32
paper_size_107,26*37.5
paper_size_108,12.5*26.5
paper_size_109,F4
paper_size_110,14.5*21
paper_size_111,7.2*10.5
paper_size_112,21*22.7
paper_size_113,21*29.7
paper_size_114,25*35.5
paper_size_115,19*24
paper_size_116,14.5*19
paper_size_117,19*26
paper_size_118,14.8*21
paper_size_119,15.5*21.5
