id,name
product_pack_1*8,1*8
product_pack_1*6,1*6
product_pack_1*1,1*1
product_pack_1*12,1*12
product_pack_1*25,1*25
product_pack_1*50,1*50
product_pack_1*10,1*10
product_pack_1*3,1*3
product_pack_1*2,1*2
product_pack_1*24,1*24
product_pack_1*20,1*20
product_pack_1*36,1*36
product_pack_1*6 เล่ม*12 แพ็ค,1*6 เล่ม*12 แพ็ค
product_pack_1*12 เล่ม*24 แพ็ค,1*12 เล่ม*24 แพ็ค
product_pack_1*3 เล่ม*12 แพ็ค,1*3 เล่ม*12 แพ็ค
product_pack_1*10 เล่ม*24 แพ็ค,1*10 เล่ม*24 แพ็ค
product_pack_1*100 แผ่น*24 แพ็ค,1*100 แผ่น*24 แพ็ค
product_pack_1*24 เล่ม,1*24 เล่ม
product_pack_1*48 เล่ม,1*48 เล่ม
product_pack_1*6 เล่ม,1*6 เล่ม
product_pack_1*12 เล่ม,1*12 เล่ม
product_pack_1*6 เล่ม*6 แพ็ค,1*6 เล่ม*6 แพ็ค
product_pack_1*10 เล่ม*12 แพ็ค,1*10 เล่ม*12 แพ็ค
product_pack_1*12 เล่ม*12 แพ็ค,1*12 เล่ม*12 แพ็ค
product_pack_1*3 เล่ม*3 แพ็ค,1*3 เล่ม*3 แพ็ค
product_pack_1*1*12 เล่ม,1*1*12 เล่ม
product_pack_1*3 เล่ม*8 แพ็ค,1*3 เล่ม*8 แพ็ค
product_pack_1*6 เล่ม*4 แพ็ค,1*6 เล่ม*4 แพ็ค
product_pack_1*12*12 เล่ม,1*12*12 เล่ม
product_pack_1*100 แผ่น*12 แพ็ค,1*100 แผ่น*12 แพ็ค
product_pack_1*20 เล่ม,1*20 เล่ม
product_pack_1*4,1*4
product_pack_1*100,1*100
product_pack_1*5,1*5
product_pack_1*7,1*7
product_pack_1*2 ห่อ*20เล่ม*12คู่,1*2 ห่อ*20เล่ม*12คู่
product_pack_1*5 ห่อ*100ผ.,1*5 ห่อ*100ผ.
product_pack_1*10 ห่อ*100ผ.,1*10 ห่อ*100ผ.
product_pack_1*100ผ.*5 ห่อ,1*100ผ.*5 ห่อ
