id,name,brand_id,description_sale,description_purchase,product_main_code,product_sub_code,ean13,old_product_code,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,cover_unit_price,categ_id,uom_id,uom_po_id,paper_size_id,paper_grams_id,paper_nums_id,paper_binding_id,product_pack_id,description,valuation,uos_id,uos_coeff,qty_available
mh_product_1,กระดาษถ่ายเอกสาร,Venus,,,PAS10000,,,09-003,TRUE,TRUE,Stockable Product,Make to Stock,Buy,55.14,Standard Price,0,,กระดาษถ่ายเอกสาร,รีม,รีม,A4,70,300,,1*8,,Real Time (automated),,,
mh_product_2,กระดาษถ่ายเอกสาร,Venus,,,PAS10001,,,09-033,TRUE,TRUE,Stockable Product,Make to Stock,Buy,72.9,Standard Price,0,,กระดาษถ่ายเอกสาร,รีม,รีม,A4,70,400,,1*5,,Real Time (automated),,,
mh_product_3,กระดาษถ่ายเอกสาร,Venus,,,PAS10002,,,09-077,TRUE,TRUE,Stockable Product,Make to Stock,Buy,81.31,Standard Price,0,,กระดาษถ่ายเอกสาร,รีม,รีม,A4,70,450,,1*5,,Real Time (automated),,,
mh_product_4,กระดาษถ่ายเอกสาร,Venus,,,PAS10003,,,09-043,TRUE,TRUE,Stockable Product,Make to Stock,Buy,86.45,Standard Price,0,,กระดาษถ่ายเอกสาร,รีม,รีม,A4,70,500,,1*5,,Real Time (automated),,,
mh_product_5,กระดาษถ่ายเอกสาร,ห่อสีขาว,,,PAS10004,,,09-091,TRUE,TRUE,Stockable Product,Make to Stock,Buy,0,Standard Price,0,,กระดาษถ่ายเอกสาร,รีม,รีม,A4,70,500,,1*5,,Real Time (automated),,,
mh_product_6,กระดาษถ่ายเอกสาร idea max,Idea,,,PAS10005,,,09-133,TRUE,TRUE,Stockable Product,Make to Stock,Buy,87.85,Standard Price,0,,กระดาษถ่ายเอกสาร,รีม,รีม,A4,70,500,,1*5,,Real Time (automated),,,
mh_product_7,กระดาษถ่ายเอกสาร,Venus,,,PAS10006,,,09-004,TRUE,TRUE,Stockable Product,Make to Stock,Buy,66.36,Standard Price,0,,กระดาษถ่ายเอกสาร,รีม,รีม,F4 / F14,70,300,,1*1,,Real Time (automated),,,
mh_product_8,กระดาษถ่ายเอกสาร,Venus,,,PAS10007,,,09-044,TRUE,TRUE,Stockable Product,Make to Stock,Buy,107.48,Standard Price,0,,กระดาษถ่ายเอกสาร,รีม,รีม,F4 / F14,70,500,,1*1,,Real Time (automated),,,
mh_product_9,กระดาษถ่ายเอกสาร,,,,PAS10008,,,09-006,TRUE,TRUE,Stockable Product,Make to Stock,Buy,114.02,Standard Price,0,,กระดาษถ่ายเอกสาร,รีม,รีม,A3,70,300,,,,Real Time (automated),,,
mh_product_10,กระดาษถ่ายเอกสาร,,,,PAS10009,,,09-046,TRUE,TRUE,Stockable Product,Make to Stock,Buy,186.92,Standard Price,0,,กระดาษถ่ายเอกสาร,รีม,รีม,A3,70,500,,,,Real Time (automated),,,
mh_product_11,กระดาษถ่ายเอกสาร,Venus,,,PAS10010,,,09-007,TRUE,TRUE,Stockable Product,Make to Stock,Buy,61.68,Standard Price,0,,กระดาษถ่ายเอกสาร,รีม,รีม,A4,80,300,,1*7,,Real Time (automated),,,
mh_product_12,กระดาษถ่ายเอกสาร,Venus,,,PAS10011,,,09-037,TRUE,TRUE,Stockable Product,Make to Stock,Buy,81.31,Standard Price,0,,กระดาษถ่ายเอกสาร,รีม,รีม,A4,80,400,,1*5,,Real Time (automated),,,
mh_product_13,กระดาษถ่ายเอกสาร,Venus,,,PAS10012,,,09-073,TRUE,TRUE,Stockable Product,Make to Stock,Buy,91.12,Standard Price,0,,กระดาษถ่ายเอกสาร,รีม,รีม,A4,80,450,,1*5,,Real Time (automated),,,
mh_product_14,กระดาษถ่ายเอกสาร,Venus,,,PAS10013,,,09-047,TRUE,TRUE,Stockable Product,Make to Stock,Buy,95.79,Standard Price,0,,กระดาษถ่ายเอกสาร,รีม,รีม,A4,80,500,,1*5,,Real Time (automated),,,
mh_product_15,กระดาษถ่ายเอกสาร idea work,Idea,,,PAS10014,,,09-094,TRUE,TRUE,Stockable Product,Make to Stock,Buy,100.93,Standard Price,0,,กระดาษถ่ายเอกสาร,รีม,รีม,A4,80,500,,1*5,,Real Time (automated),,,
mh_product_16,กระดาษถ่ายเอกสาร,Venus,,,PAS10015,,,09-008,TRUE,TRUE,Stockable Product,Make to Stock,Buy,75.7,Standard Price,0,,กระดาษถ่ายเอกสาร,รีม,รีม,F4 / F14,80,300,,1*1,,Real Time (automated),,,
mh_product_17,กระดาษถ่ายเอกสาร,Venus,,,PAS10016,,,09-048,TRUE,TRUE,Stockable Product,Make to Stock,Buy,122.43,Standard Price,0,,กระดาษถ่ายเอกสาร,รีม,รีม,F4 / F14,80,500,,1*1,,Real Time (automated),,,
mh_product_18,กระดาษถ่ายเอกสาร,,,,PAS10017,,,09-010,TRUE,TRUE,Stockable Product,Make to Stock,Buy,130.84,Standard Price,0,,กระดาษถ่ายเอกสาร,รีม,รีม,A3,80,300,,,,Real Time (automated),,,
mh_product_19,กระดาษถ่ายเอกสาร,,,,PAS10018,,,09-050,TRUE,TRUE,Stockable Product,Make to Stock,Buy,214.95,Standard Price,0,,กระดาษถ่ายเอกสาร,รีม,รีม,A3,80,500,,,,Real Time (automated),,,
mh_product_20,กระดาษถ่ายเอกสารสี No.1,Venus,,,PAX10019,,,09-084,TRUE,TRUE,Stockable Product,Make to Stock,Buy,20.56,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,50,,1*1,,Real Time (automated),,,
mh_product_21,กระดาษถ่ายเอกสารสี No.2,Venus,,,PAX10020,,,09-119,TRUE,TRUE,Stockable Product,Make to Stock,Buy,20.56,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,50,,1*1,,Real Time (automated),,,
mh_product_22,กระดาษถ่ายเอกสารสี No.3,Venus,,,PAX10021,,,09-120,TRUE,TRUE,Stockable Product,Make to Stock,Buy,20.56,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,50,,1*1,,Real Time (automated),,,
mh_product_23,กระดาษถ่ายเอกสารสี No.4,Venus,,,PAX10022,,,09-121,TRUE,TRUE,Stockable Product,Make to Stock,Buy,20.56,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,50,,1*1,,Real Time (automated),,,
mh_product_24,กระดาษถ่ายเอกสารสี No.5,Venus,,,PAX10023,,,09-122,TRUE,TRUE,Stockable Product,Make to Stock,Buy,20.56,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,50,,1*1,,Real Time (automated),,,
mh_product_25,กระดาษถ่ายเอกสารสี No.6,Venus,,,PAX10024,,,09-123,TRUE,TRUE,Stockable Product,Make to Stock,Buy,20.56,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,50,,1*1,,Real Time (automated),,,
mh_product_26,กระดาษถ่ายเอกสารสี No.7,Venus,,,PAX10025,,,09-124,TRUE,TRUE,Stockable Product,Make to Stock,Buy,20.56,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,50,,1*1,,Real Time (automated),,,
mh_product_27,กระดาษถ่ายเอกสารสี No.8,Venus,,,PAX10026,,,09-125,TRUE,TRUE,Stockable Product,Make to Stock,Buy,20.56,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,50,,1*1,,Real Time (automated),,,
mh_product_28,กระดาษถ่ายเอกสารสี No.9,Venus,,,PAX10027,,,09-126,TRUE,TRUE,Stockable Product,Make to Stock,Buy,20.56,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,50,,1*1,,Real Time (automated),,,
mh_product_29,กระดาษถ่ายเอกสารสี No.10,Venus,,,PAX10028,,,09-127,TRUE,TRUE,Stockable Product,Make to Stock,Buy,20.56,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,50,,1*1,,Real Time (automated),,,
mh_product_30,กระดาษถ่ายเอกสารสี No.11,Venus,,,PAX10029,,,09-128,TRUE,TRUE,Stockable Product,Make to Stock,Buy,20.56,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,50,,1*1,,Real Time (automated),,,
mh_product_31,กระดาษถ่ายเอกสารสีสะท้อนแสงนอก No.17,Venus,,,PAX10030,,,09-096,TRUE,TRUE,Stockable Product,Make to Stock,Buy,40.19,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,100,,1*1,,Real Time (automated),,,
mh_product_32,กระดาษถ่ายเอกสารสีสะท้อนแสงนอก No.18,Venus,,,PAX10031,,,09-097,TRUE,TRUE,Stockable Product,Make to Stock,Buy,40.19,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,100,,1*1,,Real Time (automated),,,
mh_product_33,กระดาษถ่ายเอกสารสีสะท้อนแสงนอก No.19,Venus,,,PAX10032,,,09-098,TRUE,TRUE,Stockable Product,Make to Stock,Buy,40.19,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,100,,1*1,,Real Time (automated),,,
mh_product_34,กระดาษถ่ายเอกสารสีสะท้อนแสงนอก No.20,Venus,,,PAX10033,,,09-099,TRUE,TRUE,Stockable Product,Make to Stock,Buy,40.19,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,100,,1*1,,Real Time (automated),,,
mh_product_35,กระดาษถ่ายเอกสารสีสะท้อนแสงนอก No.21,Venus,,,PAX10034,,,09-100,TRUE,TRUE,Stockable Product,Make to Stock,Buy,40.19,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,100,,1*1,,Real Time (automated),,,
mh_product_36,กระดาษถ่ายเอกสารสี No.1,Venus,,,PAX10035,,,09-071,TRUE,TRUE,Stockable Product,Make to Stock,Buy,114.02,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,500,,1*1,,Real Time (automated),,,
mh_product_37,กระดาษถ่ายเอกสารสี No.2,Venus,,,PAX10036,,,09-101,TRUE,TRUE,Stockable Product,Make to Stock,Buy,114.02,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,500,,1*1,,Real Time (automated),,,
mh_product_38,กระดาษถ่ายเอกสารสี No.3,Venus,,,PAX10037,,,09-102,TRUE,TRUE,Stockable Product,Make to Stock,Buy,114.02,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,500,,1*1,,Real Time (automated),,,
mh_product_39,กระดาษถ่ายเอกสารสี No.4,Venus,,,PAX10038,,,09-103,TRUE,TRUE,Stockable Product,Make to Stock,Buy,114.02,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,500,,1*1,,Real Time (automated),,,
mh_product_40,กระดาษถ่ายเอกสารสี No.5,Venus,,,PAX10039,,,09-104,TRUE,TRUE,Stockable Product,Make to Stock,Buy,114.02,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,500,,1*1,,Real Time (automated),,,
mh_product_41,กระดาษถ่ายเอกสารสี No.6,Venus,,,PAX10040,,,09-105,TRUE,TRUE,Stockable Product,Make to Stock,Buy,114.02,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,500,,1*1,,Real Time (automated),,,
mh_product_42,กระดาษถ่ายเอกสารสี No.7,Venus,,,PAX10041,,,09-106,TRUE,TRUE,Stockable Product,Make to Stock,Buy,114.02,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,500,,1*1,,Real Time (automated),,,
mh_product_43,กระดาษถ่ายเอกสารสี No.8,Venus,,,PAX10042,,,09-107,TRUE,TRUE,Stockable Product,Make to Stock,Buy,114.02,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,500,,1*1,,Real Time (automated),,,
mh_product_44,กระดาษถ่ายเอกสารสี No.9,Venus,,,PAX10043,,,09-108,TRUE,TRUE,Stockable Product,Make to Stock,Buy,114.02,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,500,,1*1,,Real Time (automated),,,
mh_product_45,กระดาษถ่ายเอกสารสี No.10,Venus,,,PAX10044,,,09-109,TRUE,TRUE,Stockable Product,Make to Stock,Buy,114.02,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,500,,1*1,,Real Time (automated),,,
mh_product_46,กระดาษถ่ายเอกสารสี No.11,Venus,,,PAX10045,,,09-110,TRUE,TRUE,Stockable Product,Make to Stock,Buy,121.5,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,500,,1*1,,Real Time (automated),,,
mh_product_47,กระดาษถ่ายเอกสารสี No.1,Venus,,,PAX10046,,,09-134,TRUE,TRUE,Stockable Product,Make to Stock,Buy,129.91,Standard Price,0,,กระดาษถ่ายเอกสารสี,รีม,รีม,A4,80,500,,1*1,,Real Time (automated),,,
