id,name,brand_id,partner_id,description_sale,description_purchase,product_main_code,product_sub_code,ean13,old_product_code,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,cover_unit_price,categ_id,uom_id,uom_po_id,paper_size_id,paper_grams_id,paper_nums_id,paper_binding_id,product_pack_id,description,valuation,uos_id,uos_coeff,qty_available
louts_product_1,เทสโก้แวลู สมุดปกแข็งลายไทย   9/60 แพ็ค 6 ,เทสโก้แวลู,,,,1184820,,8853447021150,1184820,TRUE,FALSE,Stockable Product,Make to Stock,Buy,636,Standard Price,0,,สมุดปกแข็งลายไทย,หีบ,หีบ,,50,60,ปกแข็งสันผ้าเหลือง,1*6 เล่ม*12 แพ็ค,,Real Time (automated),,,
louts_product_2,เทสโก้แวลู สมุดปกอ่อนลายไทย   9/30 แผ่นรวมปก แพ็ค 12,เทสโก้แวลู,,,,1184977,,8853447021167,1184977,TRUE,FALSE,Stockable Product,Make to Stock,Buy,804,Standard Price,0,,สมุดปกอ่อนลายไทย,หีบ,หีบ,,50,30,เย็บลวด,1*12 เล่ม*24 แพ็ค,,Real Time (automated),,,
louts_product_3,เทสโก้แวลู สมุดปกอ่อนคละสี  9/26 แผ่น แพ็ค12,เทสโก้แวลู,,,,1184978,,8853447021181,1184978,TRUE,FALSE,Stockable Product,Make to Stock,Buy,900,Standard Price,0,,สมุดปกอ่อน,หีบ,หีบ,,55,26,เย็บลวด,1*12 เล่ม*24 แพ็ค,,Real Time (automated),,,
louts_product_4,เทสโก้แวลู สมุดปกแข็งมุมมัน  70แกรม  5/100  แผ่นรวมปก แพ็ค 3,เทสโก้แวลู,,,,1184979,,8853447021211,1184979,TRUE,FALSE,Stockable Product,Make to Stock,Buy,1428,Standard Price,0,,สมุดปกแข็งมุมมัน,หีบ,หีบ,,70,100,ปกแข็ง,1*3 เล่ม*12 แพ็ค,,Real Time (automated),,,
louts_product_5,เทสโก้แวลู สมุดฉีกเล่มเล็ก  4/90 แพ็ค 10,เทสโก้แวลู,,,,1184980,,8853447021136,1184980,TRUE,FALSE,Stockable Product,Make to Stock,Buy,720,Standard Price,0,,สมุดฉีก,หีบ,หีบ,,50,90,กาวหัว,1*10 เล่ม*24 แพ็ค,,Real Time (automated),,,
louts_product_6,"เทสโก้แวลู บัตรลงเวลา "" ไซโก้ ""  ",เทสโก้แวลู,,,,1185085,,8853447021228,1185085,TRUE,FALSE,Stockable Product,Make to Stock,Buy,1176,Standard Price,0,,บัตรลงเวลา,หีบ,หีบ,,400,100,,1*100 แผ่น*24 แพ็ค,,Real Time (automated),,,
louts_product_7,"เทสโก้แวลู บัตรลงเวลา "" อามาโน่ ""  ",เทสโก้แวลู,,,,1185096,,8853447021235,1185096,TRUE,FALSE,Stockable Product,Make to Stock,Buy,1176,Standard Price,0,,บัตรลงเวลา,หีบ,หีบ,,400,100,,1*100 แผ่น*24 แพ็ค,,Real Time (automated),,,
louts_product_8,เทสโก้แวลู สมุดปกแข็งสีน้ำเงิน 2/70 แพ็ค 3,เทสโก้แวลู,,,,1207523,,8853447021907,1207523,TRUE,FALSE,Stockable Product,Make to Stock,Buy,588,Standard Price,0,,สมุดปกแข็ง,หีบ,หีบ,,55,70,ปกแข็งสันผ้าเหลือง,1*3 เล่ม*12 แพ็ค,,Real Time (automated),,,
louts_product_9,เทสโก้แวลู สมุดปกอ่อน  20 แผ่นรวมปก,เทสโก้แวลู,,,,1918591,,8851419010256,1918591,TRUE,FALSE,Stockable Product,Make to Stock,Buy,86.4,Standard Price,0,,สมุดปกอ่อน,หีบ,หีบ,,50,20,เย็บลวด,1*24 เล่ม,,Real Time (automated),,,
louts_product_10,เทสโก้ แวลู สมุดฉีกรายงานA4/30 แผ่น  60แกรม,เทสโก้แวลู,,,,2800528,,8851419015657,2800528,TRUE,FALSE,Stockable Product,Make to Stock,Buy,480,Standard Price,0,,สมุดฉีกรายงาน,หีบ,หีบ,,55,30,กาวหัว,1*48 เล่ม,,Real Time (automated),,,
