id,name,brand_id,partner_id,description_sale,description_purchase,product_main_code,product_sub_code,ean13,old_product_code,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,cover_unit_price,categ_id,uom_id,uom_po_id,paper_size_id,paper_grams_id,paper_nums_id,paper_binding_id,product_pack_id,description,valuation,uos_id,uos_coeff,qty_available
makro_product_1,สมุดปกแข็ง 70g 5/100 แผ่น,,,,,26000,,,30-184,TRUE,FALSE,Stockable Product,Make to Stock,Buy,153.50,Standard Price,0,,สมุดปกแข็ง,ห่อ,ห่อ,21.5*33,70,100,ปกแข็ง,1*3,,Real Time (automated),,,
makro_product_2,สมุดปกแข็ง 2/70 แผ่น,,,,,56875,,,30-115,TRUE,FALSE,Stockable Product,Make to Stock,Buy,116.25,Standard Price,0,,สมุดปกแข็ง,ห่อ,ห่อ,19*31 ซม.,55,70,ปกแข็งสันผ้าเหลือง,1*6,,Real Time (automated),,,
makro_product_3,ปกรายงานพิมพ์ลาย A4  150g  50 แผ่น,,,,,94679,,,30-267,TRUE,FALSE,Stockable Product,Make to Stock,Buy,48.50,Standard Price,0,,ปกรายงาน,ห่อ,ห่อ,A4,150,50,,1*1,,Real Time (automated),,,
makro_product_4,ปกรายงานพิมพ์หนังช้าง A4  150g  50 แผ่น,,,,,94692,,,30-268,TRUE,FALSE,Stockable Product,Make to Stock,Buy,48.50,Standard Price,0,,ปกรายงาน,ห่อ,ห่อ,A4,150,50,,1*1,,Real Time (automated),,,
makro_product_5,ปกรายงานลายมุก A4  180g  50 แผ่น,,,,,94796,,,30-269,TRUE,FALSE,Stockable Product,Make to Stock,Buy,75.00,Standard Price,0,,ปกรายงาน,ห่อ,ห่อ,A4,180,50,,1*1,,Real Time (automated),,,
makro_product_6,สมุดบัญชีจีนปกหนัง 60g 12/100,,,,,114225,,,30-283,TRUE,FALSE,Stockable Product,Make to Stock,Buy,74.50,Standard Price,0,,สมุดบัญชีจีน,ห่อ,ห่อ,12.5*25,60,100,ปกแข็ง,1*3,,Real Time (automated),,,
makro_product_7,สมุดบัญชีจีนปกหนัง 60g 20/70,,,,,114232,,,30-284,TRUE,FALSE,Stockable Product,Make to Stock,Buy,49.50,Standard Price,0,,สมุดบัญชีจีน,ห่อ,ห่อ,9.5*21,60,70,ปกแข็ง,1*3,,Real Time (automated),,,
makro_product_8,สมุดปกอ่อนสันกาว 8/30 GNB-B5307,,,,,114236,,,30-285,TRUE,FALSE,Stockable Product,Make to Stock,Buy,53.00,Standard Price,0,,สมุดปกอ่อนสันกาว,ห่อ,ห่อ,17.9*25.2 ซม,70,30,สันกาว,1*6,,Real Time (automated),,,
makro_product_9,สมุดปกอ่อนสันกาว 8/40 GNB-B5407,,,,,114253,,,30-286,TRUE,FALSE,Stockable Product,Make to Stock,Buy,66.50,Standard Price,0,,สมุดปกอ่อนสันกาว,ห่อ,ห่อ,17.9*25.2 ซม,70,40,สันกาว,1*6,,Real Time (automated),,,
makro_product_10,ปกรายงานแฟนซี A4  150g,,,,,132067,,,30-196,TRUE,FALSE,Stockable Product,Make to Stock,Buy,48.00,Standard Price,0,,ปกรายงาน,ห่อ,ห่อ,A4,150,50,,1*1,,Real Time (automated),,,
makro_product_11,สมุดปกพีพีริมห่วง 70g 16/60,,,,,143720,,,30-202,TRUE,FALSE,Stockable Product,Make to Stock,Buy,66.00,Standard Price,0,,สมุดปกพีพี,ห่อ,ห่อ,13*18.5,70,60,สันห่วง,1*4,,Real Time (automated),,,
makro_product_12,สมุดปกอ่อน 70g 8/30 F8307,,,,,143722,,,30-204,TRUE,FALSE,Stockable Product,Make to Stock,Buy,108.25,Standard Price,0,,สมุดปกอ่อน,ห่อ,ห่อ,18.5*26 ,70,30,เย็บลวด,1*12,,Real Time (automated),,,
makro_product_13,สมุดปกภาพ 55g 9/14  5บาท EF,,,,,159000,,,30-223,TRUE,FALSE,Stockable Product,Make to Stock,Buy,56.75,Standard Price,0,,สมุดปกอ่อนปกภาพ,ห่อ,ห่อ,16*23.5,55,14,เย็บลวด,1*24,,Real Time (automated),,,
makro_product_14,สมุดปกภาพ 55g 9/34  10บาท EF,,,,,159001,,,30-224,TRUE,FALSE,Stockable Product,Make to Stock,Buy,65.25,Standard Price,0,,สมุดปกอ่อนปกภาพ,ห่อ,ห่อ,16*23.5,55,34,เย็บลวด,1*12,,Real Time (automated),,,
makro_product_15,สมุดปกภาพ 60g 9/20 F920,,,,,159002,,,30-221,TRUE,FALSE,Stockable Product,Make to Stock,Buy,82.50,Standard Price,0,,สมุดปกอ่อนปกภาพ,ห่อ,ห่อ,16*23.5,60,20,เย็บลวด,1*24,,Real Time (automated),,,
makro_product_16,สมุดปกภาพ 60g 9/80 F980,,,,,159003,,,30-222,TRUE,FALSE,Stockable Product,Make to Stock,Buy,69.25,Standard Price,0,,สมุดปกอ่อนปกภาพ,ห่อ,ห่อ,16*23.5,60,80,เย็บลวด,1*6,,Real Time (automated),,,
makro_product_17,สมุดปกภาพ 55g 9/80 20บาท EF,,,,,159004,,,30-225,TRUE,FALSE,Stockable Product,Make to Stock,Buy,61.25,Standard Price,0,,สมุดปกอ่อนปกภาพ,ห่อ,ห่อ,16*23.5,55,80,เย็บลวด,1*6,,Real Time (automated),,,
makro_product_18,สมุดชื่อ ชั้น วิชา 55g 9/40 แผ่น เส้นธรรมดา,,,,,192403,,,30-288,TRUE,FALSE,Stockable Product,Make to Stock,Buy,35.50,Standard Price,0,,สมุดปกอ่อน,ห่อ,ห่อ,16.5*24,55,40,เย็บลวด,1*6,,Real Time (automated),,,
makro_product_19,สมุด สพฐ. 55g 9/40 แผ่น เส้นครึ่งบรรทัด,,,,,192412,,,30-291,TRUE,FALSE,Stockable Product,Make to Stock,Buy,34.50,Standard Price,0,,สมุดปกอ่อน,ห่อ,ห่อ,16.5*24,55,40,เย็บลวด,1*6,,Real Time (automated),,,
makro_product_20,สมุดชื่อ ชั้น วิชา 55g 9/40 แผ่น เส้นครึ่งบรรทัด,,,,,192472,,,30-289,TRUE,FALSE,Stockable Product,Make to Stock,Buy,36.50,Standard Price,0,,สมุดปกอ่อน,ห่อ,ห่อ,16.5*24,55,40,เย็บลวด,1*6,,Real Time (automated),,,
makro_product_21,สมุด สพฐ. 55g 9/40 แผ่น เส้นธรรมดา,,,,,192476,,,30-290,TRUE,FALSE,Stockable Product,Make to Stock,Buy,33.50,Standard Price,0,,สมุดปกอ่อน,ห่อ,ห่อ,16.5*24,55,40,เย็บลวด,1*6,,Real Time (automated),,,
makro_product_22,สมุดปกภาพ  60g A9/40 แผ่น,,,,,209768,,,30-137,TRUE,FALSE,Stockable Product,Make to Stock,Buy,69.25,Standard Price,0,,สมุดปกอ่อนปกภาพ,ห่อ,ห่อ,16*23.5,60,40,เย็บลวด,1*12,,Real Time (automated),,,
makro_product_23,สมุดฉีก  4/100 แผ่น,,,,,291187,,,30-108,TRUE,FALSE,Stockable Product,Make to Stock,Buy,100.50,Standard Price,0,,สมุดฉีก,ห่อ,ห่อ,8.8*12.5,50,100,กาวหัว,1*25,,Real Time (automated),,,
makro_product_24,สมุดปกแข็งมุมผ้า 55g 5/100 แผ่น,,,,,482482,,,30-139,TRUE,FALSE,Stockable Product,Make to Stock,Buy,74.50,Standard Price,0,,สมุดปกแข็ง,ห่อ,ห่อ,19*31,55,100,ปกแข็ง,1*2,,Real Time (automated),,,
makro_product_25,สมุดฉีกหนา เบอร์ 5  75 แผ่น,,,,,649519,,,30-153,TRUE,FALSE,Stockable Product,Make to Stock,Buy,83.25,Standard Price,0,,สมุดฉีก,ห่อ,ห่อ,5*10,50,75,กาวหัว,1*50,,Real Time (automated),,,
makro_product_26,สมุดวาดเขียนวีนัส 120g 4/10 แผ่น,,,,,768768,,,30-129,TRUE,FALSE,Stockable Product,Make to Stock,Buy,98.00,Standard Price,0,,สมุดวาดเขียน,ห่อ,ห่อ,26.5*38,120,10,เย็บลวด,1*12,,Real Time (automated),,,
makro_product_27,สมุดวาดเขียนวีนัส 100g 8/10 แผ่น,,,,,769769,,,30-130,TRUE,FALSE,Stockable Product,Make to Stock,Buy,45.50,Standard Price,0,,สมุดวาดเขียน,ห่อ,ห่อ,26.5*19,100,10,เย็บลวด,1*12,,Real Time (automated),,,
makro_product_28,สมุดปกภาพ  60g 9/50 แผ่น,,,,,949949,,,30-132,TRUE,FALSE,Stockable Product,Make to Stock,Buy,86.50,Standard Price,0,,สมุดปกอ่อนปกภาพ,ห่อ,ห่อ,16*23.5,60,50,เย็บลวด,1*12,,Real Time (automated),,,
