id,name,category_id/id,uom_type,rounding,factor_inv,factor
product.uom_กล่อง,กล่อง,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,1,1
product.uom_กุรุส,กุรุส,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,144,0.0069444444
product.uom_ด้าม,ด้าม,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,1,1
product.uom_แท่ง,แท่ง,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,1,1
product.uom_แผ่น,แผ่น,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,1,1
product.uom_ม้วน,ม้วน,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,1,1
product.uom_รีม,รีม,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,1,1
product.uom_เล่ม,เล่ม,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,1,1
product.uom_ห่อ,ห่อ,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,1,1
product.uom_ห่อ/10,ห่อ/10,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,10,0.1
product.uom_ห่อ/100,ห่อ/100,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,100,0.01
product.uom_ห่อ/12,ห่อ/12,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,12,0.0833333333
product.uom_ห่อ/15,ห่อ/15,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,15,0.0666666667
product.uom_ห่อ/2,ห่อ/2,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,2,0.5
product.uom_ห่อ/20,ห่อ/20,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,20,0.05
product.uom_ห่อ/24,ห่อ/24,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,24,0.0416666667
product.uom_ห่อ/25,ห่อ/25,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,25,0.04
product.uom_ห่อ/3,ห่อ/3,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,3,0.3333333333
product.uom_ห่อ/30,ห่อ/30,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,30,0.0333333333
product.uom_ห่อ/4,ห่อ/4,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,4,0.25
product.uom_ห่อ/48,ห่อ/48,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,48,0.0208333333
product.uom_ห่อ/50,ห่อ/50,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,50,0.02
product.uom_ห่อ/6,ห่อ/6,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,6,0.1666666667
product.uom_ห่อ/8,ห่อ/8,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,8,0.125
product.uom_หีบ/10/12,หีบ/10/12,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,120,0.0083333333
product.uom_หีบ/10/24,หีบ/10/24,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,240,0.0041666667
product.uom_หีบ/100/12,หีบ/100/12,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,1200,0.0008333333
product.uom_หีบ/100/24,หีบ/100/24,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,2400,0.0004166667
product.uom_หีบ/12/12,หีบ/12/12,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,144,0.0069444444
product.uom_หีบ/12/24,หีบ/12/24,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,288,0.0034722222
product.uom_หีบ/3/12,หีบ/3/12,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,36,0.0277777778
product.uom_หีบ/3/3,หีบ/3/3,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,9,0.1111111111
product.uom_หีบ/3/8,หีบ/3/8,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,24,0.0416666667
product.uom_หีบ/6/12,หีบ/6/12,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,72,0.0138888889
product.uom_หีบ/6/4,หีบ/6/4,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,24,0.0416666667
product.uom_หีบ/6/6,หีบ/6/6,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,36,0.0277777778
product.uom_โหล,โหล,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,12,0.0833333333
product.uom_อัน,อัน,uom_categ_mh_unit,Reference Unit of Measure for this category,0.01,1,1
product.uom_หีบ/10,หีบ/10,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,10,0.1
product.uom_หีบ/100,หีบ/100,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,100,0.01
product.uom_หีบ/12,หีบ/12,uom_categ_mh_unit,Bigger than the reference Unit of Measure,0.01,12,0.0833333333
