id,name,route,street,street2,zip,city,country_id/id,phone,fax,email,active,dest_contact,area_covered,note
partner_shipper_south_1,นครกรุงเทพสหการขนส่ง,south,ทวีวัฒนา,,,กรุงเทพฯ,base.th,"
02-887-0910-1, 02-448-1113, 02-887-2085",,,TRUE,,ประจวบคีรีขันธ์,
partner_shipper_south_2,ทรัพย์สมบูรณ์ทรัพย์,south,ถ.บางแวก,,,กรุงเทพฯ,base.th,"02-8872705, 4482874-5",,,TRUE,"เพชรบุรี 032-425853,427854
หัวหิน 01-4932270,09-7388494
ปราณบุรี 032-621448,01-9810238
ประจวบฯ032-603651,01-7638481",เพชรบุรี,
partner_shipper_south_3,ประพันธ์เพชรบุรี,south,สุขาภิบาล 2 ทวีวัฒนา,,,กรุงเทพฯ,base.th,,,,TRUE,032-425450,เพชรบุรี,
partner_shipper_south_4,กระบี่นครการขนส่ง,south,ถ.กาญจนาภิเษก  ตลิ่งชัน,,,กรุงเทพฯ,base.th,"02-8858746, 02-8858747, 02-8858748",,,TRUE,0-7563-2227,"กรุงเทพฯ สุราษฎร์ฯ นครศรี กระบี่ ตรัง
ทุ่งสง",
partner_shipper_south_5,หจก.ปรีดาภาคใต้ ขนส่ง,south,ถนนบางแวก ภาษีเจริญ,,,กรุงเทพฯ,base.th,"02-410-3420, 02-410-3160, 06-375-4853, 01-445-6094, 01-875-5577",,,TRUE,"0-7750-3351,0-7757-1358
0-6069-8810 หลังสวน 0-7754-1946
0-9669-6376",กรุงเทพฯ ชุมพร,
partner_shipper_south_6,สหขนส่งสายใต้ ,south,ถ.กาญจนาภิเษก ทวีวัฒนา,,,กรุงเทพฯ,base.th,02-885-9041-3,,,TRUE,"0-7750-1425,0-7751-1273",ชุมพร,
partner_shipper_south_7,โกล้วนขนส่ง,south,ถ.บางแวก บางแค,,,กรุงเทพฯ,base.th,"02-448-2898, 02-448-2937-8",,,TRUE,0-7521-2940,ตรัง กันตัง ห้วยยอด ย่านตาขาว ปะเหลี่ยน,
partner_shipper_south_8,อาร์เอทีขนส่ง,south,,,,กรุงเทพฯ,base.th,"02-889-4800, 01-597-5973, 01-535-7110",,,TRUE,0-7532-5241,กทม.-นครศรีธรรมราช,
partner_shipper_south_9,ทุ่งสงนครขนส่ง,south,ถ.บางแวก ภาษีเจริญ,,,กรุงเทพฯ,base.th,"02-4103118,02-4103119",,,TRUE,,นครศรีและทุ่งสง,
partner_shipper_south_10,สี่สหายขนส่ง,south,แขวงแสมดำ บางขุนเทียน,,,กรุงเทพฯ,base.th,02-451-6712-16,,,TRUE,,นครศรีธรรมราช,
