id,customer_pname,customer_name,active,name,partner_code,partner_sub_code,ref,contact_name,position,comment,is_company,customer,supplier,property_payment_term,parent_id,type,use_parent_address,street,street2,zip,city,country_id/id,phone,fax,mobile,email,เขต,กลุ่ม,ชนิดการค้า,category_id,website,user_id
mh_res_partner_210613_1,บริษัท,ออฟฟิซ คลับ (ไทย)  จำกัด  สาขาอุบลราชธานี,TRUE,บริษัท ออฟฟิซ คลับ (ไทย)  จำกัด  สาขาอุบลราชธานี,OFC,,29395700,แผนกตรวจรับสินค้า,,แผนกตรวจรับสินค้า,TRUE,TRUE,FALSE,90,,Default,FALSE,312 หมู่ 7,อ.เมืองอุบลราชธานี จ.อุบลราชธานี 34000,,,,,,,,ภาคอีสาน,โมเดิร์นเทรด,ขายปลีก,"ภาคอีสาน,โมเดิร์นเทรด,ขายปลีก",,OF-C
mh_res_partner_210613_1-1,บริษัท,ออฟฟิซ คลับ (ไทย) จำกัด สาขาศูนย์กระจายสินค้าบางนา,TRUE,บริษัท ออฟฟิซ คลับ (ไทย) จำกัด สาขาศูนย์กระจายสินค้าบางนา,OFC,,OC3,,,,FALSE,TRUE,FALSE,90,บริษัท ออฟฟิซ คลับ (ไทย)  จำกัด  สาขาอุบลราชธานี,Shipping,FALSE,เลขที่ 105-106  หมู่ที่ 1  ตำบลศรีษะจรเข้ใหญ่,อำเภอบางเสาธง  จังหวัดสมุทรปราการ  10540,,,,,,,,กรุงเทพฯ,โมเดิร์นเทรด,ขายปลีก,"กรุงเทพฯ,โมเดิร์นเทรด,ขายปลีก",,OF-C
mh_res_partner_210613_2,,คลังวิทยา,TRUE,คลังวิทยา,,,,ซ้อ,ผู้จัดการ,"ซ้อ, ผู้จัดการ",TRUE,TRUE,FALSE,90,,Default,FALSE,103-105  ถ.สุริยะเดชบำรุง,อ.เมือง จ.ร้อยเอ็ด 45000,,,,"043-512450,512458",043-512450,,,ภาคอีสาน,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคอีสาน,ร้านค้าเครื่องเขียน,ขายส่ง",,เพียว
mh_res_partner_210613_3,,คลังวิทยา,TRUE,คลังวิทยา,,,,คุณ วิษรุต  ทุวิรัตน์,,คุณ วิษรุต  ทุวิรัตน์,TRUE,TRUE,FALSE,90,,Default,FALSE,27/174-175 หมู่ที่ 5 ถ.สะพานปลา ต.บางริ้น,อ.เมือง จ.ระนอง 85000,,,,"077-832936, 081-8671755",077-832937,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,วรวิทย์
mh_res_partner_210613_4,,เพื่อนนักเรียน,TRUE,เพื่อนนักเรียน,,,,"นายธนิต  อ่าวสกุล,คุณแดง",,"นายธนิต  อ่าวสกุล,คุณแดง",TRUE,TRUE,FALSE,90,,Default,FALSE,"7,9  ถ.มหาราช ต.ปากน้ำ",อ.เมืองกระบี่ จ.กระบี่ 81000,,,,"075-630384-5,081-6067106",075-632071,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_210613_5,,เพื่อนนักเรียน,TRUE,เพื่อนนักเรียน,,,,,,,TRUE,TRUE,FALSE,90,,Default,FALSE,25/34-35  ถนนสถานี  ตำบลทับเที่ยง,อำเภอเมืองตรัง  จังหวัดตรัง  92000,,,,081-7371188,075-225708,,,ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง,"ภาคใต้,ร้านค้าเครื่องเขียน,ขายส่ง",,บุญเลิศ
mh_res_partner_210613_6,,ศูนย์พัฒนาบุคลากรอัสสัมชัญ,TRUE,ศูนย์พัฒนาบุคลากรอัสสัมชัญ,,,,คุณ โสภณ,,คุณ โสภณ,TRUE,TRUE,FALSE,90,,Default,FALSE,2 อาคารมูลนิธิคณะเซนต์คาเบรียลฯ  ซ.ทองหล่อ25,สุขุมวิท55  เขตวัฒนา  กรุงเทพฯ  10110 ,,,,7129010  ต่อ  2104 ,02-3902292,,,กรุงเทพฯ,สถานศึกษา,,"กรุงเทพฯ,สถานศึกษา",,สุเมธ
mh_res_partner_210613_6-1,โรงเรียน,อัสสัมชัญระยอง,TRUE,โรงเรียน อัสสัมชัญระยอง,,,,มิสณัฐรดา แสนใหม่,,มิสณัฐรดา แสนใหม่,FALSE,TRUE,FALSE,90,ศูนย์พัฒนาบุคลากรอัสสัมชัญ,Shipping,FALSE,131 หมู่ 2 ต.เนินพระ ,อ.เมือง จ.ระยอง 21000,,,,038-808991-2,,,,ภาคกลางและตะวันออก,สถานศึกษา,,"ภาคกลางและตะวันออก,สถานศึกษา",,สุเมธ
mh_res_partner_210613_60,โรงเรียน,อัสสัมชัญนครราชสีมา,TRUE,โรงเรียน อัสสัมชัญนครราชสีมา,,,,มิสวิสา ลือกระโทก,,มิสวิสา ลือกระโทก,FALSE,TRUE,FALSE,90,ศูนย์พัฒนาบุคลากรอัสสัมชัญ,Shipping,FALSE,3 ถ.เซนต์แมรี่ ,อ.เมือง จ.นครราชสีมา 30000,,,,044-327263-9,044-253569,,,ภาคอีสาน,สถานศึกษา,,"ภาคอีสาน,สถานศึกษา",,สุเมธ
mh_res_partner_210613_61,โรงเรียน,อัสสัมชัญศรีราชา,TRUE,โรงเรียน อัสสัมชัญศรีราชา,,,,มิสอิศญาน์ แดงสมุทร,,มิสอิศญาน์ แดงสมุทร,FALSE,TRUE,FALSE,90,ศูนย์พัฒนาบุคลากรอัสสัมชัญ,Shipping,FALSE,29 หมู่ 10 ต.สุรศักดิ์ ,อ.ศรีราชา จ.ชลบุรี 20110,,,,038-311055-6,038-323805,,,ภาคกลางและตะวันออก,สถานศึกษา,,"ภาคกลางและตะวันออก,สถานศึกษา",,สุเมธ
mh_res_partner_210613_62,โรงเรียน,เซนต์หลุยส์,TRUE,โรงเรียน เซนต์หลุยส์,,,,มิสรจนา ติดสังวร,จัดซื้อ,"มิสรจนา ติดสังวร, จัดซื้อ",FALSE,TRUE,FALSE,90,ศูนย์พัฒนาบุคลากรอัสสัมชัญ,Shipping,FALSE,128 ถ.ศุภกิจ ,อ.เมือง จ.ฉะเชิงทรา 24000,,,,038-535481-6,038-535487,,,ภาคกลางและตะวันออก,สถานศึกษา,,"ภาคกลางและตะวันออก,สถานศึกษา",,สุเมธ
mh_res_partner_210613_63,โรงเรียน,อัสสัมชัญกรุงเทพ-ประถม,TRUE,โรงเรียน อัสสัมชัญกรุงเทพ-ประถม,,,,คุณน้ำค้าง บุญเจริญ,ห้องจำหน่ายเครื่องเขียน,"คุณน้ำค้าง บุญเจริญ, ห้องจำหน่ายเครื่องเขียน",FALSE,TRUE,FALSE,90,ศูนย์พัฒนาบุคลากรอัสสัมชัญ,Shipping,FALSE,90/1 ซอยสาทร11  แขวงยานนาวา,เขตสาทร กรุงเทพมหานคร 10120,,,,02-6756970-84,02-2122310,,,กรุงเทพฯ,สถานศึกษา,,"ภาคอีสาน,สถานศึกษา",,สุเมธ
mh_res_partner_210613_64,โรงเรียน,อัสสัมชัญหลักสูตรภาษาอังกฤษ (พระราม2),TRUE,โรงเรียน อัสสัมชัญหลักสูตรภาษาอังกฤษ (พระราม2),,,,มิสพลอยชนาภรณ์ เปรมสำราญ(มิสต่าย),,มิสพลอยชนาภรณ์ เปรมสำราญ(มิสต่าย),FALSE,TRUE,FALSE,90,ศูนย์พัฒนาบุคลากรอัสสัมชัญ,Shipping,FALSE,52 หมู่ที่1 ถ.เจษฏาวิถี ต.พันท้ายนรสิงห์,อ.เมือง จ.สมุทรสาคร 74000,,,,086-3301486,,,,ภาคกลางและตะวันออก,สถานศึกษา,,"ภาคกลางและตะวันออก,สถานศึกษา",,สุเมธ
mh_res_partner_210613_65,โรงเรียน,อัสสัมชัญอุบลราชธานี,TRUE,โรงเรียน อัสสัมชัญอุบลราชธานี,,,,มิสอรทัย เจริญศรี,,มิสอรทัย เจริญศรี,FALSE,TRUE,FALSE,90,ศูนย์พัฒนาบุคลากรอัสสัมชัญ,Shipping,FALSE,500 กม 2 ถ.ชยางกูร,อ.เมือง จ.อุบลราชธานี 34000,,,,"045-280855,045-284444",045-280854,,,ภาคอีสาน,สถานศึกษา,,"ภาคอีสาน,สถานศึกษา",,สุเมธ
mh_res_partner_210613_66,โรงเรียน,อัสสัมชัญสมุทรปราการ,TRUE,โรงเรียน อัสสัมชัญสมุทรปราการ,,,,มิสสุดาวดี จตุรงควาณิช,#701  จัดซื้อ,"มิสสุดาวดี จตุรงควาณิช, #701  จัดซื้อ",FALSE,TRUE,FALSE,90,ศูนย์พัฒนาบุคลากรอัสสัมชัญ,Shipping,FALSE,419/1389 ซอยทิพวัล30 ถ.เทพารักษ์ ต.เทพารักษ์,อ.เมือง จ.สมุทรปราการ 10270,,,,02-3847491-6,02-3840445,,,ภาคกลางและตะวันออก,สถานศึกษา,,"ภาคกลางและตะวันออก,สถานศึกษา",,สุเมธ
