id,name,code,parent_id,type,property_account_income_categ,property_account_expense_categ,property_stock_account_input_categ,property_stock_account_output_categ,property_stock_valuation_account_id
product_categ_FG,Finished Goods,FG,All products,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_P,กระดาษ,P,Finished Goods,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_P-GB,กระดาษกล่องเทาขาว,P-GB,กระดาษ,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_P-WCL,กระดาษการ์ดขาวตีเส้น,P-WCL,กระดาษ,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_P-SC,กระดาษสต็อคการ์ด,P-SC,กระดาษ,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_P-CWF,กระดาษการ์ดสี,P-CWF,กระดาษ,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_P-HB,กระดาษแข็ง,P-HB,กระดาษ,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_P-ANS,กระดาษคำตอบ,P-ANS,กระดาษ,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_P-PC,กระดาษถ่ายเอกสาร,P-PC,กระดาษ,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_P-PCWF,กระดาษถ่ายเอกสารสี,P-PCWF,กระดาษ,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_P-RC,กระดาษน้ำตาล,P-RC,กระดาษ,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_P-LG,กระดาษบัญชี,P-LG,กระดาษ,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_P-TCWF,กระดาษแบงค์สี,P-TCWF,กระดาษ,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_P-NP,กระดาษปรู๊ฟขาว,P-NP,กระดาษ,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_P-WF,กระดาษปอนด์ขาว,P-WF,กระดาษ,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_P-PT,กระดาษโปสเตอร์,P-PT,กระดาษ,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_P-FS,กระดาษฟุลสแก๊ป,P-FS,กระดาษ,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
product_categ_P-FP,กระดาษแฟกซ์,P-FP,กระดาษ,Normal,410000 Income,210300 Uninvoiced Receipts,210300 Uninvoiced Receipts,510000 Cost of goods sold,130000 Inventory
