id,name
paper_size_10dot5*14dot8,10.5*14.8
paper_size_10*22,10*22
paper_size_12dot5*17dot5,12.5*17.5
paper_size_12dot5*18,12.5*18
paper_size_12dot5*25,12.5*25
paper_size_12dot5*26dot5,12.5*26.5
paper_size_12dot5*34,12.5*34
paper_size_12*18,12*18
paper_size_12*18dot2,12*18.2
paper_size_13dot5*18,13.5*18
paper_size_13*18dot5,13*18.5
paper_size_13*19,13*19
paper_size_14dot5*19,14.5*19
paper_size_14dot5*21,14.5*21
paper_size_14dot8*21,14.8*21
paper_size_14dot85*21,14.85*21
paper_size_15dot5*21dot5,15.5*21.5
paper_size_15*15dot5,15*15.5
paper_size_15*21,15*21
paper_size_16dot5*24,16.5*24
paper_size_16*2dot5,16*2.5
paper_size_16*20,16*20
paper_size_16*23dot5,16*23.5
paper_size_17dot5*25,17.5*25
paper_size_17dot9*25dot2,17.9*25.2
paper_size_18dot25*5,18.25*5
paper_size_18dot5*25dot5,18.5*25.5
paper_size_18dot5*26,18.5*26
paper_size_18*26,18*26
paper_size_19dot5*26dot5,19.5*26.5
paper_size_19dot5*31dot5,19.5*31.5
paper_size_19dot8*21dot4,19.8*21.4
paper_size_19*24,19*24
paper_size_19*25dot5,19*25.5
paper_size_19*26,19*26
paper_size_19*31,19*31
paper_size_20dot5*32,20.5*32
paper_size_20*31,20*31
paper_size_21dot5*26,21.5*26
paper_size_21dot5*31,21.5*31
paper_size_21dot5*33,21.5*33
paper_size_21*22dot7,21*22.7
paper_size_21*27,21*27
paper_size_21*28dot7,21*28.7
paper_size_21*29dot7,21*29.7
paper_size_21*33,21*33
paper_size_210*22,210*22
paper_size_210*30,210*30
paper_size_25dot5*25dot5,25.5*25.5
paper_size_25*26,25*26
paper_size_25*35dot5,25*35.5
paper_size_26dot5*19,26.5*19
paper_size_26dot5*38,26.5*38
paper_size_26*37dot5,26*37.5
paper_size_27dot5*38,27.5*38
paper_size_3*5,3*5
paper_size_31*21dot5,31*21.5
paper_size_31*27,31*27
paper_size_31*43,31*43
paper_size_31*43,31*43
paper_size_35dot5*38dot5,35.5*38.5
paper_size_35*47,35*47
paper_size_4*6,4*6
paper_size_5*10,5*10
paper_size_5*8,5*8
paper_size_6dot5*10,6.5*10
paper_size_6*8,6*8
paper_size_7dot2*10dot5,7.2*10.5
paper_size_7dot4*10dot5,7.4*10.5
paper_size_7dot5*12dot5,7.5*12.5
paper_size_7dot6*16dot3,7.6*16.3
paper_size_8dot5*12dot5,8.5*12.5
paper_size_8dot5*19dot5,8.5*19.5
paper_size_8dot8*12dot5,8.8*12.5
paper_size_9dot5*13,9.5*13
paper_size_9dot5*21,9.5*21
paper_size_A3,A3
paper_size_A4,A4
paper_size_F4,F4
