id,name
paper_binding_เย็บเชือก/ปกแข็ง,เย็บเชือก/ปกแข็ง
paper_binding_เย็บลวด,เย็บลวด
paper_binding_สันห่วง,สันห่วง
paper_binding_กาวหัว,กาวหัว
paper_binding_ปกแข็ง,ปกแข็ง
paper_binding_สอดปกPVC,สอดปกPVC
paper_binding_เย็บเชือกสอดปกพลาสติก,เย็บเชือกสอดปกพลาสติก
paper_binding_ปกแข็งหุ้มปกพลาสติก,ปกแข็งหุ้มปกพลาสติก
paper_binding_สันกาว,สันกาว
paper_binding_ปกแข็งสันผ้าเหลือง,ปกแข็งสันผ้าเหลือง
paper_binding_ริมห่วง,ริมห่วง
paper_binding_สันกาว/หุ้มปกพลาสติก,สันกาว/หุ้มปกพลาสติก
paper_binding_ปกกล่องสอดปกPVC,ปกกล่องสอดปกPVC
paper_binding_สันกห่วง,สันกห่วง
paper_binding_สันห่วงปกPVC,สันห่วงปกPVC
paper_binding_ปกหนังสันห่วง,ปกหนังสันห่วง
paper_binding_ปกหนังสันตรง,ปกหนังสันตรง
paper_binding_สอดปกPVC,สอดปกPVC
