id,name
plate_1,94-2253
plate_2,ตม-153
plate_3,4ฒ-0832
plate_4,ฒร-1489
plate_5,ยธ-9736
plate_6,ฒล-2951
plate_7,ฒล-2954
plate_8,ยร-5830
plate_9,9ป-4371
plate_10,ณฉ 1993
plate_11,บง-5177
plate_12,ลร-1119
plate_13,ตณ-8866
plate_14,41-3116
plate_15,41-2882
plate_16,41-2689
plate_17,41-0534
plate_18,41-0864
plate_19,ฌฮ-1451
plate_21,9ก-0094
plate_22,กมก-806
plate_23,9ง-6758
plate_24,1ค-1142
plate_25,กงท-210
plate_26,กพล-457
plate_27,6ข-3936
plate_28,2ข-6910
plate_29,กยล-311
plate_30,กพล-570
plate_31,กฉข-86
plate_32,3ข-8606
plate_33,4ข-9506
plate_34,กทย-405
plate_35,8ง-4811
plate_36,7ข-0328
