id,uom_so_id
product_P-GB-230G-31*43,รีม
product_P-GB-250G-31*43,รีม
product_P-GB-270G-31*43,รีม
product_P-GB-290G-31*43,รีม
product_P-GB-310G-31*43,รีม
product_P-GB-350G-31*43,รีม
product_P-GB-400G-31*43,รีม
product_P-GB-450G-31*43,รีม
product_P-GB-500G-31*43,รีม
product_P-GB-230G-31*21dot5,รีม
product_P-GB-250G-31*21dot5,รีม
product_P-GB-270G-31*21dot5,รีม
product_P-GB-290G-31*21dot5,รีม
product_P-GB-310G-31*21dot5,รีม
product_P-GB-350G-31*21dot5,รีม
product_P-GB-400G-31*21dot5,รีม
product_P-GB-450G-31*21dot5,รีม
product_P-GB-500G-31*21dot5,รีม
product_P-WCL-3*5,ห่อ
product_P-WCL-4*6,ห่อ
product_P-WCL-5*8,ห่อ
product_P-SC-5*8,ห่อ
product_P-SC-6*8,ห่อ
product_P-CWF-001,ห่อ
product_P-CWF-002,ห่อ
product_P-CWF-003,ห่อ
product_P-CWF-004,ห่อ
product_P-CWF-005,ห่อ
product_P-CWF-006,ห่อ
product_P-CWF-007,ห่อ
product_P-CWF-008,ห่อ
product_P-CWF-009,ห่อ
product_P-CWF-010,ห่อ
product_P-CWF-011,ห่อ
product_P-CWF-012,ห่อ
product_P-CWF-013,ห่อ
product_P-CWF-014,ห่อ
product_P-CWF-015,ห่อ
product_P-CWF-016,ห่อ
product_P-CWF-017,ห่อ
product_P-CWF-018,ห่อ
product_P-CWF-019,ห่อ
product_P-CWF-020,ห่อ
product_P-CWF-021,ห่อ
product_P-CWF-022,ห่อ
product_P-CWF-023,ห่อ
product_P-CWF-024,ห่อ
product_P-CWF-025,ห่อ
product_P-CWF-026,ห่อ
product_P-CWF-027,ห่อ
product_P-CWF-028,ห่อ
product_P-CWF-029,ห่อ
product_P-CWF-030,ห่อ
product_P-CWF-031,ห่อ
product_P-CWF-032,ห่อ
product_P-CWF-033,ห่อ
product_P-CWF-034,ห่อ
product_P-CWF-035,ห่อ
product_P-CWF-036,ห่อ
product_P-CWF-037,ห่อ
product_P-CWF-038,ห่อ
product_P-CWF-039,ห่อ
product_P-CWF-040,ห่อ
product_P-CWF-041,ห่อ
product_P-CWF-042,ห่อ
product_P-CWF-043,ห่อ
product_P-CWF-044,ห่อ
product_P-CWF-045,ห่อ
product_P-CWF-046,ห่อ
product_P-CWF-047,ห่อ
product_P-CWF-048,ห่อ
product_P-CWF-049,ห่อ
product_P-CWF-050,ห่อ
product_P-CWF-051,ห่อ
product_P-CWF-052,ห่อ
product_P-CWF-053,ห่อ
product_P-CWF-054,ห่อ
product_P-CWF-055,ห่อ
product_P-CWF-056,ห่อ
product_P-CWF-057,ห่อ
product_P-CWF-058,ห่อ
product_P-CWF-059,ห่อ
product_P-CWF-060,ห่อ
product_P-CWF-061,ห่อ
product_P-CWF-062,ห่อ
product_P-CWF-063,ห่อ
product_P-CWF-064,ห่อ
product_P-CWF-065,ห่อ
product_P-CWF-066,ห่อ
product_P-CWF-067,รีม
product_P-CWF-068,รีม
product_P-CWF-069,รีม
product_P-CWF-070,รีม
product_P-CWF-071,รีม
product_P-CWF-072,รีม
product_P-CWF-073,รีม
product_P-CWF-074,รีม
product_P-CWF-075,รีม
product_P-CWF-076,รีม
product_P-CWF-077,รีม
product_P-CWF-078,รีม
product_P-CWF-079,รีม
product_P-CWF-080,รีม
product_P-CWF-081,รีม
product_P-CWF-082,รีม
product_P-CWF-083,รีม
product_P-CWF-084,รีม
product_P-CWF-085,รีม
product_P-CWF-086,รีม
product_P-CWF-087,รีม
product_P-CWF-088,รีม
product_P-HB-NO8-A,ห่อ
product_P-HB-NO10-A,ห่อ
product_P-HB-NO12-A,ห่อ
product_P-HB-NO16-A,ห่อ
product_P-HB-NO20-A,ห่อ
product_P-HB-NO24-A,ห่อ
product_P-HB-NO32-A,ห่อ
product_P-HB-NO8-B,ห่อ
product_P-HB-NO10-B,ห่อ
product_P-HB-NO12-B,ห่อ
product_P-HB-NO16-B,ห่อ
product_P-HB-NO20-B,ห่อ
product_P-HB-NO24-B,ห่อ
product_P-HB-NO32-B,ห่อ
product_P-ANS-60,ห่อ
product_P-ANS-80,ห่อ
product_P-ANS-100,ห่อ
product_P-ANS-120,ห่อ
product_P-PC-A4-70G-300S,ห่อ
product_P-PC-A4-70G-400S,ห่อ
product_P-PC-A4-70G-500S,ห่อ
product_P-PC-A4-70G-500S-IDEAMAX,ห่อ
product_P-PC-A4-70G-500S-PPC,ห่อ
product_P-PC-A4-70G-500S-CLP,ห่อ
product_P-PC-F4-70G-300S,ห่อ
product_P-PC-F4-70G-500S,ห่อ
product_P-PC-A3-70G-300S,ห่อ
product_P-PC-A3-70G-500S,ห่อ
product_P-PC-A4-80G-300S,ห่อ
product_P-PC-A4-80G-400S,ห่อ
product_P-PC-A4-80G-500S,ห่อ
product_P-PC-A4-80G-500S-IDEAWORK,ห่อ
product_P-PC-A4-80G-500S-PPC,ห่อ
product_P-PC-F4-80G-300S,ห่อ
product_P-PC-F4-80G-500S,ห่อ
product_P-PC-A3-80G-300S,ห่อ
product_P-PC-A3-80G-500S,ห่อ
product_P-PCWF-001,ห่อ
product_P-PCWF-002,ห่อ
product_P-PCWF-003,ห่อ
product_P-PCWF-004,ห่อ
product_P-PCWF-005,ห่อ
product_P-PCWF-006,ห่อ
product_P-PCWF-007,ห่อ
product_P-PCWF-008,ห่อ
product_P-PCWF-009,ห่อ
product_P-PCWF-010,ห่อ
product_P-PCWF-011,ห่อ
product_P-PCWF-012,ห่อ
product_P-PCWF-013,ห่อ
product_P-PCWF-014,ห่อ
product_P-PCWF-015,ห่อ
product_P-PCWF-016,ห่อ
product_P-PCWF-017,ห่อ
product_P-PCWF-018,ห่อ
product_P-PCWF-019,ห่อ
product_P-PCWF-020,ห่อ
product_P-PCWF-021,ห่อ
product_P-PCWF-022,ห่อ
product_P-PCWF-023,ห่อ
product_P-PCWF-024,ห่อ
product_P-PCWF-025,ห่อ
product_P-PCWF-026,ห่อ
product_P-PCWF-027,ห่อ
product_P-PCWF-028,ห่อ
product_P-PCWF-029,ห่อ
product_P-PCWF-030,ห่อ
product_P-PCWF-031,ห่อ
product_P-PCWF-032,ห่อ
product_P-PCWF-033,ห่อ
product_P-PCWF-034,ห่อ
product_P-PCWF-035,ห่อ
product_P-PCWF-036,ห่อ
product_P-PCWF-037,ห่อ
product_P-PCWF-038,ห่อ
product_P-PCWF-039,ห่อ
product_P-PCWF-040,ห่อ
product_P-PCWF-041,ห่อ
product_P-PCWF-042,ห่อ
product_P-PCWF-SR-001,ห่อ
product_P-PCWF-SR-002,ห่อ
product_P-PCWF-SR-003,ห่อ
product_P-PCWF-SR-004,ห่อ
product_P-PCWF-SR-005,ห่อ
product_P-PCWF-SR-006,ห่อ
product_P-PCWF-SR-007,ห่อ
product_P-PCWF-SR-008,ห่อ
product_P-RC-35*47,รีม
product_P-LG-001,ห่อ
product_P-LG-002,ห่อ
product_P-LG-003,ห่อ
product_P-LG-004,ห่อ
product_P-LG-005,ห่อ
product_P-LG-006,ห่อ
product_P-LG-007,ห่อ
product_P-LG-008,ห่อ
product_P-LG-009,ห่อ
product_P-LG-010,ห่อ
product_P-LG-011,ห่อ
product_P-LG-012,ห่อ
product_P-LG-013,ห่อ
product_P-LG-014,ห่อ
product_P-TCWF-001,ห่อ
product_P-TCWF-002,ห่อ
product_P-TCWF-003,ห่อ
product_P-TCWF-004,ห่อ
product_P-TCWF-005,ห่อ
product_P-TCWF-006,ห่อ
product_P-TCWF-007,ห่อ
product_P-TCWF-008,ห่อ
product_P-TCWF-009,ห่อ
product_P-TCWF-010,ห่อ
product_P-TCWF-011,ห่อ
product_P-TCWF-012,ห่อ
product_P-TCWF-013,ห่อ
product_P-TCWF-014,ห่อ
product_P-TCWF-015,ห่อ
product_P-TCWF-016,ห่อ
product_P-TCWF-017,ห่อ
product_P-TCWF-018,ห่อ
product_P-TCWF-019,ห่อ
product_P-TCWF-020,ห่อ
product_P-TCWF-021,ห่อ
product_P-TCWF-022,ห่อ
product_P-TCWF-023,ห่อ
product_P-TCWF-024,ห่อ
product_P-TCWF-025,รีม
product_P-TCWF-026,รีม
product_P-TCWF-027,รีม
product_P-TCWF-028,รีม
product_P-NP-31*43,รีม
product_P-WF-60G,รีม
product_P-WF-70G,รีม
product_P-WF-80G,รีม
product_P-WF-100G,รีม
