id,name,uom_so_price_unit
product_P-GB-230G-31*43,กระดาษกล่องเทาขาว 230แกรม 31*43นิ้ว 500แผ่น,3000.00
product_P-GB-250G-31*43,กระดาษกล่องเทาขาว 250แกรม 31*43นิ้ว 500แผ่น,3175.00
product_P-GB-270G-31*43,กระดาษกล่องเทาขาว 270แกรม 31*43นิ้ว 500แผ่น,3285.00
product_P-GB-290G-31*43,กระดาษกล่องเทาขาว 290แกรม 31*43นิ้ว 500แผ่น,3540.00
product_P-GB-310G-31*43,กระดาษกล่องเทาขาว 310แกรม 31*43นิ้ว 500แผ่น,3660.00
product_P-GB-350G-31*43,กระดาษกล่องเทาขาว 350แกรม 31*43นิ้ว 500แผ่น,4000.00
product_P-GB-400G-31*43,กระดาษกล่องเทาขาว 400แกรม 31*43นิ้ว 500แผ่น,4470.00
product_P-GB-450G-31*43,กระดาษกล่องเทาขาว 450แกรม 31*43นิ้ว 500แผ่น,4920.00
product_P-GB-500G-31*43,กระดาษกล่องเทาขาว 500แกรม 31*43นิ้ว 500แผ่น,5440.00
product_P-GB-230G-31*21dot5,กระดาษกล่องเทาขาว 230แกรม 31*21.5นิ้ว 500แผ่น,1525.00
product_P-GB-250G-31*21dot5,กระดาษกล่องเทาขาว 250แกรม 31*21.5นิ้ว 500แผ่น,1613.00
product_P-GB-270G-31*21dot5,กระดาษกล่องเทาขาว 270แกรม 31*21.5นิ้ว 500แผ่น,1668.00
product_P-GB-290G-31*21dot5,กระดาษกล่องเทาขาว 290แกรม 31*21.5นิ้ว 500แผ่น,1795.00
product_P-GB-310G-31*21dot5,กระดาษกล่องเทาขาว 310แกรม 31*21.5นิ้ว 500แผ่น,1855.00
product_P-GB-350G-31*21dot5,กระดาษกล่องเทาขาว 350แกรม 31*21.5นิ้ว 500แผ่น,2025.00
product_P-GB-400G-31*21dot5,กระดาษกล่องเทาขาว 400แกรม 31*21.5นิ้ว 500แผ่น,2260.00
product_P-GB-450G-31*21dot5,กระดาษกล่องเทาขาว 450แกรม 31*21.5นิ้ว 500แผ่น,2485.00
product_P-GB-500G-31*21dot5,กระดาษกล่องเทาขาว 500แกรม 31*21.5นิ้ว 500แผ่น,2745.00
product_P-WCL-3*5,"กระดาษการ์ดขาวตีเส้น 3*5นิ้ว 210แกรม 1,000แผ่น",240.00
product_P-WCL-4*6,กระดาษการ์ดขาวตีเส้น 4*6นิ้ว 210แกรม 500แผ่น,175.00
product_P-WCL-5*8,กระดาษการ์ดขาวตีเส้น 5*8นิ้ว 210แกรม 500แผ่น,255.00
product_P-SC-5*8,กระดาษบัญชีสต๊อกการ์ด 5*8นิ้ว 110แกรม 500แผ่น,290.00
product_P-SC-6*8,กระดาษบัญชีสต๊อกการ์ด 6*8นิ้ว 110แกรม 500แผ่น,335.00
product_P-CWF-001,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีฟ้า ,24.00
product_P-CWF-002,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีชมพู ,24.00
product_P-CWF-003,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีเขียว ,24.00
product_P-CWF-004,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีเหลือง ,24.00
product_P-CWF-005,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีม่วง ,24.00
product_P-CWF-006,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีส้ม ,24.00
product_P-CWF-007,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีครีม ,24.00
product_P-CWF-008,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีฟ้า ,69.00
product_P-CWF-009,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีชมพู ,69.00
product_P-CWF-010,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีเขียว ,69.00
product_P-CWF-011,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีเหลือง ,69.00
product_P-CWF-012,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีม่วง ,69.00
product_P-CWF-013,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีส้ม ,69.00
product_P-CWF-014,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีครีม ,69.00
product_P-CWF-015,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีฟ้า ,77.00
product_P-CWF-016,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีชมพู ,77.00
product_P-CWF-017,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีเขียว ,77.00
product_P-CWF-018,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีเหลือง ,77.00
product_P-CWF-019,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีม่วง ,77.00
product_P-CWF-020,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีส้ม ,77.00
product_P-CWF-021,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีครีม ,77.00
product_P-CWF-022,กระดาษการ์ดสี A4 150แกรม 180แผ่น สีฟ้า ,96.00
product_P-CWF-023,กระดาษการ์ดสี A4 150แกรม 180แผ่น สีชมพู ,96.00
product_P-CWF-024,กระดาษการ์ดสี A4 150แกรม 180แผ่น สีเขียว ,96.00
product_P-CWF-025,กระดาษการ์ดสี A4 150แกรม 180แผ่น สีเหลือง ,96.00
product_P-CWF-026,กระดาษการ์ดสี A4 150แกรม 200แผ่น สีฟ้า ,105.00
product_P-CWF-027,กระดาษการ์ดสี A4 150แกรม 200แผ่น สีชมพู ,105.00
product_P-CWF-028,กระดาษการ์ดสี A4 150แกรม 200แผ่น สีเขียว ,105.00
product_P-CWF-029,กระดาษการ์ดสี A4 150แกรม 200แผ่น สีเหลือง ,105.00
product_P-CWF-030,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีฟ้า ,107.00
product_P-CWF-031,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีชมพู ,107.00
product_P-CWF-032,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีเขียว ,107.00
product_P-CWF-033,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีเหลือง ,107.00
product_P-CWF-034,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีขาว ,107.00
product_P-CWF-035,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีฟ้า ,94.00
product_P-CWF-036,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีชมพู ,94.00
product_P-CWF-037,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีเขียว ,94.00
product_P-CWF-038,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีเหลือง ,94.00
product_P-CWF-039,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีขาว ,94.00
product_P-CWF-040,กระดาษการ์ดสี A4 160แกรม 100แผ่น สีขาว ,59.00
product_P-CWF-041,กระดาษการ์ดสี A4 125แกรม 100แผ่น สีขาว ,54.00
product_P-CWF-042,กระดาษการ์ดสี F4 120แกรม 180แผ่น สีฟ้า ,88.00
product_P-CWF-043,กระดาษการ์ดสี F4 120แกรม 180แผ่น สีชมพู ,88.00
product_P-CWF-044,กระดาษการ์ดสี F4 120แกรม 180แผ่น สีเขียว ,88.00
product_P-CWF-045,กระดาษการ์ดสี F4 120แกรม 180แผ่น สีเหลือง ,88.00
product_P-CWF-046,กระดาษการ์ดสี F4 120แกรม 200แผ่น สีฟ้า ,97.00
product_P-CWF-047,กระดาษการ์ดสี F4 120แกรม 200แผ่น สีชมพู ,97.00
product_P-CWF-048,กระดาษการ์ดสี F4 120แกรม 200แผ่น สีเขียว ,97.00
product_P-CWF-049,กระดาษการ์ดสี F4 120แกรม 200แผ่น สีเหลือง ,97.00
product_P-CWF-050,กระดาษการ์ดสี F4 150แกรม 180แผ่น สีฟ้า ,125.00
product_P-CWF-051,กระดาษการ์ดสี F4 150แกรม 180แผ่น สีชมพู ,125.00
product_P-CWF-052,กระดาษการ์ดสี F4 150แกรม 180แผ่น สีเขียว ,125.00
product_P-CWF-053,กระดาษการ์ดสี F4 150แกรม 180แผ่น สีเหลือง,125.00
product_P-CWF-054,กระดาษการ์ดสี F4 150แกรม 200แผ่น สีฟ้า ,137.00
product_P-CWF-055,กระดาษการ์ดสี F4 150แกรม 200แผ่น สีชมพู ,137.00
product_P-CWF-056,กระดาษการ์ดสี F4 150แกรม 200แผ่น สีเขียว ,137.00
product_P-CWF-057,กระดาษการ์ดสี F4 150แกรม 200แผ่น สีเหลือง ,137.00
product_P-CWF-058,กระดาษการ์ดสี F4 180แกรม 100แผ่น สีฟ้า ,94.00
product_P-CWF-059,กระดาษการ์ดสี F4 180แกรม 100แผ่น สีชมพู ,94.00
product_P-CWF-060,กระดาษการ์ดสี F4 180แกรม 100แผ่น สีเขียว ,94.00
product_P-CWF-061,กระดาษการ์ดสี F4 180แกรม 100แผ่น สีเหลือง ,94.00
product_P-CWF-062,กระดาษการ์ดสี F4 180แกรม 100แผ่น สีขาว ,94.00
product_P-CWF-063,กระดาษการ์ดสี F4 210แกรม 100แผ่น สีฟ้า ,107.00
product_P-CWF-064,กระดาษการ์ดสี F4 210แกรม 100แผ่น สีชมพู ,107.00
product_P-CWF-065,กระดาษการ์ดสี F4 210แกรม 100แผ่น สีเขียว ,107.00
product_P-CWF-066,กระดาษการ์ดสี F4 210แกรม 100แผ่น สีเหลือง ,107.00
product_P-CWF-067,กระดาษการ์ดสี 31*43นิ้ว 120แกรม 500แผ่น สีฟ้า ,2570.00
product_P-CWF-068,กระดาษการ์ดสี 31*43นิ้ว 120แกรม 500แผ่น สีชมพู ,2570.00
product_P-CWF-069,กระดาษการ์ดสี 31*43นิ้ว 120แกรม 500แผ่น สีเขียว,2570.00
product_P-CWF-070,กระดาษการ์ดสี 31*43นิ้ว 120แกรม 500แผ่น สีเหลือง ,2570.00
product_P-CWF-071,กระดาษการ์ดสี 31*43นิ้ว 120แกรม 500แผ่น สีส้ม ,2570.00
product_P-CWF-072,กระดาษการ์ดสี 31*43นิ้ว 120แกรม 500แผ่น สีม่วง ,2570.00
product_P-CWF-073,กระดาษการ์ดสี 31*43นิ้ว 120แกรม 500แผ่น สีครีม ,2570.00
product_P-CWF-074,กระดาษการ์ดสี 31*43นิ้ว 150แกรม 500แผ่น สีฟ้า ,3630.00
product_P-CWF-075,กระดาษการ์ดสี 31*43นิ้ว 150แกรม 500แผ่น สีชมพู ,3630.00
product_P-CWF-076,กระดาษการ์ดสี 31*43นิ้ว 150แกรม 500แผ่น สีเขียว ,3630.00
product_P-CWF-077,กระดาษการ์ดสี 31*43นิ้ว 150แกรม 500แผ่น สีเหลือง ,3630.00
product_P-CWF-078,กระดาษการ์ดสี 31*21.5นิ้ว 120แกรม 500แผ่น สีฟ้า ,1300.00
product_P-CWF-079,กระดาษการ์ดสี 31*21.5นิ้ว 120แกรม 500แผ่น สีชมพู ,1300.00
product_P-CWF-080,กระดาษการ์ดสี 31*21.5นิ้ว 120แกรม 500แผ่น สีเขียว ,1300.00
product_P-CWF-081,กระดาษการ์ดสี 31*21.5นิ้ว 120แกรม 500แผ่น สีเหลือง ,1300.00
product_P-CWF-082,กระดาษการ์ดสี 31*21.5นิ้ว 120แกรม 500แผ่น สีส้ม ,1300.00
product_P-CWF-083,กระดาษการ์ดสี 31*21.5นิ้ว 120แกรม 500แผ่น สีม่วง ,1300.00
product_P-CWF-084,กระดาษการ์ดสี 31*21.5นิ้ว 120แกรม 500แผ่น สีครีม ,1300.00
product_P-CWF-085,กระดาษการ์ดสี 31*21.5นิ้ว 150แกรม 500แผ่น สีฟ้า ,1830.00
product_P-CWF-086,กระดาษการ์ดสี 31*21.5นิ้ว 150แกรม 500แผ่น สีชมพู ,1830.00
product_P-CWF-087,กระดาษการ์ดสี 31*21.5นิ้ว 150แกรม 500แผ่น สีเขียว ,1830.00
product_P-CWF-088,กระดาษการ์ดสี 31*21.5นิ้ว 150แกรม 500แผ่น สีเหลือง ,1830.00
product_P-HB-NO8-A,กระดาษแข็ง เบอร์8 110แผ่น เกรดA,600.00
product_P-HB-NO10-A,กระดาษแข็ง เบอร์10 90แผ่น เกรดA,600.00
product_P-HB-NO12-A,กระดาษแข็ง เบอร์12 75แผ่น เกรดA,600.00
product_P-HB-NO16-A,กระดาษแข็ง เบอร์16 55แผ่น เกรดA ,635.00
product_P-HB-NO20-A,กระดาษแข็ง เบอร์20 45แผ่น เกรดA ,685.00
product_P-HB-NO24-A,กระดาษแข็ง เบอร์24 37แผ่น เกรดA,685.00
product_P-HB-NO32-A,กระดาษแข็ง เบอร์32 27แผ่น เกรดA,685.00
product_P-HB-NO8-B,กระดาษแข็ง เบอร์8 110แผ่น เกรดB,470.00
product_P-HB-NO10-B,กระดาษแข็ง เบอร์10 90แผ่น เกรดB,470.00
product_P-HB-NO12-B,กระดาษแข็ง เบอร์12 75แผ่น เกรดB,470.00
product_P-HB-NO16-B,กระดาษแข็ง เบอร์16 55แผ่น เกรดB,480.00
product_P-HB-NO20-B,กระดาษแข็ง เบอร์20 45แผ่น เกรดB,515.00
product_P-HB-NO24-B,กระดาษแข็ง เบอร์24 37แผ่น เกรดB,515.00
product_P-HB-NO32-B,กระดาษแข็ง เบอร์32 27แผ่น เกรดB,525.00
product_P-ANS-60,กระดาษคำตอบ 60ข้อ 50แกรม 200แผ่น,12.00
product_P-ANS-80,กระดาษคำตอบ 80ข้อ 50แกรม 200แผ่น,12.00
product_P-ANS-100,กระดาษคำตอบ 100ข้อ 50แกรม 200แผ่น,17.50
product_P-ANS-120,กระดาษคำตอบ 120ข้อ 50แกรม 200แผ่น,17.50
product_P-PC-A4-70G-300S,กระดาษถ่ายเอกสาร A4 70แกรม 300แผ่น Venus,56.00
product_P-PC-A4-70G-400S,กระดาษถ่ายเอกสาร A4 70แกรม 400แผ่น Venus,56.00
product_P-PC-A4-70G-500S,กระดาษถ่ายเอกสาร A4 70แกรม 500แผ่น Venus,56.00
product_P-PC-A4-70G-500S-IDEAMAX,กระดาษถ่ายเอกสาร A4 70แกรม 500แผ่น Idea max,91.50
product_P-PC-A4-70G-500S-PPC,กระดาษถ่ายเอกสาร A4 70แกรม 500แผ่น PPC,69.00
product_P-PC-A4-70G-500S-CLP,กระดาษถ่ายเอกสาร A4 70แกรม 500แผ่น Copy & Laser Paper,77.00
product_P-PC-F4-70G-300S,กระดาษถ่ายเอกสาร F4 70แกรม 300แผ่น Venus,69.00
product_P-PC-F4-70G-500S,กระดาษถ่ายเอกสาร F4 70แกรม 500แผ่น Venus,112.00
product_P-PC-A3-70G-300S,กระดาษถ่ายเอกสาร A3 70แกรม 300แผ่น Venus,119.00
product_P-PC-A3-70G-500S,กระดาษถ่ายเอกสาร A3 70แกรม 500แผ่น Venus,194.00
product_P-PC-A4-80G-300S,กระดาษถ่ายเอกสาร A4 80แกรม 300แผ่น Venus,64.50
product_P-PC-A4-80G-400S,กระดาษถ่ายเอกสาร A4 80แกรม 400แผ่น Venus,85.00
product_P-PC-A4-80G-500S,กระดาษถ่ายเอกสาร A4 80แกรม 500แผ่น Venus,100.00
product_P-PC-A4-80G-500S-IDEAWORK,กระดาษถ่ายเอกสาร A4 80แกรม 500แผ่น Idea work,105.00
product_P-PC-A4-80G-500S-PPC,กระดาษถ่ายเอกสาร A4 80แกรม 500แผ่น PPC,79.00
product_P-PC-F4-80G-300S,กระดาษถ่ายเอกสาร F4 80แกรม 300แผ่น Venus,79.00
product_P-PC-F4-80G-500S,กระดาษถ่ายเอกสาร F4 80แกรม 500แผ่น Venus,128.00
product_P-PC-A3-80G-300S,กระดาษถ่ายเอกสาร A3 80แกรม 300แผ่น Venus,136.00
product_P-PC-A3-80G-500S,กระดาษถ่ายเอกสาร A3 80แกรม 500แผ่น Venus,223.00
product_P-PCWF-001,กระดาษถ่ายเอกสารสี A4 80แกรม 50แผ่น เบอร์1สีฟ้าเข้ม,22.00
product_P-PCWF-002,กระดาษถ่ายเอกสารสี A4 80แกรม 50แผ่น เบอร์2สีเขียวเข้ม,22.00
product_P-PCWF-003,กระดาษถ่ายเอกสารสี A4 80แกรม 50แผ่น เบอร์3สีเหลือง,22.00
product_P-PCWF-004,กระดาษถ่ายเอกสารสี A4 80แกรม 50แผ่น เบอร์4สีชมพูเข้ม,22.00
product_P-PCWF-005,กระดาษถ่ายเอกสารสี A4 80แกรม 50แผ่น เบอร์5สีชมพูอ่อน,22.00
product_P-PCWF-006,กระดาษถ่ายเอกสารสี A4 80แกรม 50แผ่น เบอร์6สีฟ้าอ่อน,22.00
product_P-PCWF-007,กระดาษถ่ายเอกสารสี A4 80แกรม 50แผ่น เบอร์7สีครีม,22.00
product_P-PCWF-008,กระดาษถ่ายเอกสารสี A4 80แกรม 50แผ่น เบอร์8สีเขียวอ่อน,22.00
product_P-PCWF-009,กระดาษถ่ายเอกสารสี A4 80แกรม 50แผ่น เบอร์9สีส้มโอรส,22.00
product_P-PCWF-010,กระดาษถ่ายเอกสารสี A4 80แกรม 50แผ่น เบอร์10สีม่วง,22.00
product_P-PCWF-011,กระดาษถ่ายเอกสารสี A4 80แกรม 50แผ่น เบอร์11สีไข่ไก่,22.00
product_P-PCWF-012,กระดาษถ่ายเอกสารสี A4 80แกรม 50แผ่น เบอร์12สีเหลืองเข้ม,22.00
product_P-PCWF-013,กระดาษถ่ายเอกสารสี A4 80แกรม 50แผ่น เบอร์13สีฟ้า,22.00
