id,name,code,parent_id,type,property_account_income_categ,property_account_expense_categ,property_stock_account_input_categ,property_stock_account_output_categ,property_stock_valuation_account_id
rawmat_categ_RM,Raw Materials,RM,All products,View,418000 รายได้อื่นๆ,520300 Purchase,220100 Uninvoiced,520000 ต้นทุนผลิต,131000 วัตถุดิบ
rawmat_categ_WF,กระดาษปอนด์ (rm),WF,Raw Materials,Normal,418000 รายได้อื่นๆ,520300 Purchase,220100 Uninvoiced,520000 ต้นทุนผลิต,131000 วัตถุดิบ
rawmat_categ_NPR,กระดาษโน๊ตโปร (rm),NPR,Raw Materials,Normal,418000 รายได้อื่นๆ,520300 Purchase,220100 Uninvoiced,520000 ต้นทุนผลิต,131000 วัตถุดิบ
rawmat_categ_GC,ดราฟท์เขียว (rm),GC,Raw Materials,Normal,418000 รายได้อื่นๆ,520300 Purchase,220100 Uninvoiced,520000 ต้นทุนผลิต,131000 วัตถุดิบ
rawmat_categ_GR,กระดาษถนอมสายตา (rm),GR,Raw Materials,Normal,418000 รายได้อื่นๆ,520300 Purchase,220100 Uninvoiced,520000 ต้นทุนผลิต,131000 วัตถุดิบ
rawmat_categ_GB,กระดาษแข็ง (rm),GB,Raw Materials,Normal,418000 รายได้อื่นๆ,520300 Purchase,220100 Uninvoiced,520000 ต้นทุนผลิต,131000 วัตถุดิบ
rawmat_categ_NP,กระดาษปรุ๊ฟขาว (rm),NP,Raw Materials,Normal,418000 รายได้อื่นๆ,520300 Purchase,220100 Uninvoiced,520000 ต้นทุนผลิต,131000 วัตถุดิบ
rawmat_categ_CR,กระดาษน้ำตาล (rm),CR,Raw Materials,Normal,418000 รายได้อื่นๆ,520300 Purchase,220100 Uninvoiced,520000 ต้นทุนผลิต,131000 วัตถุดิบ
rawmat_categ_ST,สติกเกอร์ (rm),ST,Raw Materials,Normal,418000 รายได้อื่นๆ,520300 Purchase,220100 Uninvoiced,520000 ต้นทุนผลิต,131000 วัตถุดิบ
rawmat_categ_DP,กระดาษวาดเขียน (rm),DP,Raw Materials,Normal,418000 รายได้อื่นๆ,520300 Purchase,220100 Uninvoiced,520000 ต้นทุนผลิต,131000 วัตถุดิบ
rawmat_categ_GW,กระดาษกล่องเทาขาว (rm),GW,Raw Materials,Normal,418000 รายได้อื่นๆ,520300 Purchase,220100 Uninvoiced,520000 ต้นทุนผลิต,131000 วัตถุดิบ
rawmat_categ_GBW,กล่องแป้งหลังเทา (rm),GBW,Raw Materials,Normal,418000 รายได้อื่นๆ,520300 Purchase,220100 Uninvoiced,520000 ต้นทุนผลิต,131000 วัตถุดิบ
rawmat_categ_WB,กล่องแป้งหลังขาว (rm),WB,Raw Materials,Normal,418000 รายได้อื่นๆ,520300 Purchase,220100 Uninvoiced,520000 ต้นทุนผลิต,131000 วัตถุดิบ
rawmat_categ_1SAC,การ์ดอาร์ต 1 หน้า (rm),1SAC,Raw Materials,Normal,418000 รายได้อื่นๆ,520300 Purchase,220100 Uninvoiced,520000 ต้นทุนผลิต,131000 วัตถุดิบ
rawmat_categ_GAP,อาร์ตมัน (rm),GAP,Raw Materials,Normal,418000 รายได้อื่นๆ,520300 Purchase,220100 Uninvoiced,520000 ต้นทุนผลิต,131000 วัตถุดิบ
rawmat_categ_2SAC,อาร์ตการ์ด 2 หน้า (rm),2SAC,Raw Materials,Normal,418000 รายได้อื่นๆ,520300 Purchase,220100 Uninvoiced,520000 ต้นทุนผลิต,131000 วัตถุดิบ
rawmat_categ_MAC,อาร์ตการ์ดด้าน 2 หน้า (rm),MAC,Raw Materials,Normal,418000 รายได้อื่นๆ,520300 Purchase,220100 Uninvoiced,520000 ต้นทุนผลิต,131000 วัตถุดิบ
rawmat_categ_CWF,กระดาษการ์ดสี (rm),CWF,Raw Materials,Normal,418000 รายได้อื่นๆ,520300 Purchase,220100 Uninvoiced,520000 ต้นทุนผลิต,131000 วัตถุดิบ
rawmat_categ_BP,กระดาษแบงค์สี (rm),BP,Raw Materials,Normal,418000 รายได้อื่นๆ,520300 Purchase,220100 Uninvoiced,520000 ต้นทุนผลิต,131000 วัตถุดิบ
rawmat_categ_PP,พลาสติก PP (rm),PP,Raw Materials,Normal,418000 รายได้อื่นๆ,520300 Purchase,220100 Uninvoiced,520000 ต้นทุนผลิต,131000 วัตถุดิบ
rawmat_categ_HOLO,โฮโลแกรม (rm),HOLO,Raw Materials,Normal,418000 รายได้อื่นๆ,520300 Purchase,220100 Uninvoiced,520000 ต้นทุนผลิต,131000 วัตถุดิบ
rawmat_categ_EP,กระดาษอัดลาย (rm),EP,Raw Materials,Normal,418000 รายได้อื่นๆ,520300 Purchase,220100 Uninvoiced,520000 ต้นทุนผลิต,131000 วัตถุดิบ
rawmat_categ_GAC,กล่องแก้ว (rm),GAC,Raw Materials,Normal,418000 รายได้อื่นๆ,520300 Purchase,220100 Uninvoiced,520000 ต้นทุนผลิต,131000 วัตถุดิบ
rawmat_categ_DW,ลวดสี (rm),DW,Raw Materials,Normal,418000 รายได้อื่นๆ,520300 Purchase,220100 Uninvoiced,520000 ต้นทุนผลิต,131000 วัตถุดิบ
rawmat_categ_I,หมึกพิมพ์ (rm),I,Raw Materials,Normal,418000 รายได้อื่นๆ,520300 Purchase,220100 Uninvoiced,520000 ต้นทุนผลิต,131000 วัตถุดิบ
rawmat_categ_LQ,น้ำยาต่างๆ (rm),LQ,Raw Materials,Normal,418000 รายได้อื่นๆ,520300 Purchase,220100 Uninvoiced,520000 ต้นทุนผลิต,131000 วัตถุดิบ
rawmat_categ_MISC,Miscellaneous (rm),MISC,Raw Materials,Normal,418000 รายได้อื่นๆ,520300 Purchase,220100 Uninvoiced,520000 ต้นทุนผลิต,131000 วัตถุดิบ
