id,name,product_main_code,pieces_per_uom,active,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,categ_id,uom_id,uom_po_id,valuation
rawmat_WF-50-23_5*33-BU-B,กระดาษปอนด์ 50แกรม(B) 23.5x33 นิ้ว บูรพา,WF-50-23.5*33-BU-B,500,TRUE,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,กระดาษปอนด์ (rm),รีม,รีม,Real Time (automated)
rawmat_WF-50-25*31-BU-B,กระดาษปอนด์ 50แกรม(B) 25x31 นิ้ว บูรพา,WF-50-25*31-BU-B,500,TRUE,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,กระดาษปอนด์ (rm),รีม,รีม,Real Time (automated)
rawmat_WF-50-28*40-BU-B,กระดาษปอนด์ 50แกรม(B) 28x40 นิ้ว บูรพา,WF-50-28*40-BU-B,500,TRUE,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,กระดาษปอนด์ (rm),รีม,รีม,Real Time (automated)
rawmat_WF-50-26*33-BU-B,กระดาษปอนด์ 50แกรม(B) 26*33 นิ้ว บูรพา,WF-50-26*33-BU-B,500,TRUE,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,กระดาษปอนด์ (rm),รีม,รีม,Real Time (automated)
rawmat_WF-50-31*43-BU-B,กระดาษปอนด์ 50แกรม(B) 31*43 นิ้ว บูรพา,WF-50-31*43-BU-B,500,TRUE,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,กระดาษปอนด์ (rm),รีม,รีม,Real Time (automated)
rawmat_WF-55-25*31-BU-B,กระดาษปอนด์ 55แกรม(B) 25*31 นิ้ว บูรพา,WF-55-25*31-BU-B,500,TRUE,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,กระดาษปอนด์ (rm),รีม,รีม,Real Time (automated)
rawmat_WF-55-26*33-BU-B,กระดาษปอนด์ 55แกรม(B) 26*33 นิ้ว บูรพา,WF-55-26*33-BU-B,500,TRUE,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,กระดาษปอนด์ (rm),รีม,รีม,Real Time (automated)
rawmat_WF-55-30*40-BU-B,กระดาษปอนด์ 55แกรม(B) 30*40 นิ้ว บูรพา,WF-55-30*40-BU-B,500,TRUE,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,กระดาษปอนด์ (rm),รีม,รีม,Real Time (automated)
rawmat_WF-60-24*34-SCG,กระดาษปอนด์ 60แกรม 24x34 นิ้ว SCG,WF-60-24*34-SCG,500,TRUE,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,กระดาษปอนด์ (rm),รีม,รีม,Real Time (automated)
rawmat_WF-60-24*35-SCG,กระดาษปอนด์ 60แกรม 24x35 นิ้ว SCG,WF-60-24*35-SCG,500,TRUE,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,กระดาษปอนด์ (rm),รีม,รีม,Real Time (automated)
