id,name,product_main_code,pieces_per_uom,description,active,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,categ_id,uom_id,uom_po_id,valuation
product_rawmat_mahachai_1,กระดาษปรุ๊ฟม้วน 47แกรม หน้าม้วน 31.75 นิ้ว บรูพา,NP-47-31.75R-BU,,,TRUE,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,ปรุ๊ฟม้วน (rm),กก.,กก.,Real Time (automated)
product_rawmat_mahachai_2,กระดาษปอนด์ม้วน 50แกรม (B) หน้าม้วน 31.25 นิ้ว บูรพา,WF-50-31.25R-BU-B,,,TRUE,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,กระดาษม้วน (rm),กก.,กก.,Real Time (automated)
product_rawmat_mahachai_3,กระดาษปอนด์ม้วน 50แกรม (B) หน้าม้วน 37.25 นิ้ว บูรพา,WF-50-37.25R-BU-B,,,TRUE,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,กระดาษม้วน (rm),กก.,กก.,Real Time (automated)
product_rawmat_mahachai_4,กระดาษปอนด์ม้วน 50แกรม (B) หน้าม้วน 38.25 นิ้ว บูรพา,WF-50-38.25R-BU-B,,,TRUE,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,กระดาษม้วน (rm),กก.,กก.,Real Time (automated)
product_rawmat_mahachai_5,กระดาษปอนด์ม้วน 55แกรม (B) หน้าม้วน 37.25 นิ้ว บูรพา,WF-55-37.25R-BU-B,,,TRUE,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,กระดาษม้วน (rm),กก.,กก.,Real Time (automated)
product_rawmat_mahachai_6,กระดาษปอนด์ม้วน 55แกรม (B) หน้าม้วน 38.25 นิ้ว บูรพา,WF-55-38.25R-BU-B,,,TRUE,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,กระดาษม้วน (rm),กก.,กก.,Real Time (automated)
product_rawmat_mahachai_7,กระดาษปอนด์ม้วน 55แกรม หน้าม้วน 38.25 นิ้ว มาเลย์,WF-55-38.25R-MAL,,,TRUE,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,กระดาษม้วน (rm),กก.,กก.,Real Time (automated)
product_rawmat_mahachai_8,กระดาษปอนด์ม้วน 55แกรม (B) หน้าม้วน 28.75 นิ้ว บูรพา,WF-55-28.75R-BU-B,,,TRUE,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,กระดาษม้วน (rm),กก.,กก.,Real Time (automated)
product_rawmat_mahachai_9,กระดาษปอนด์ม้วน 55แกรม หน้าม้วน 23.50 นิ้ว มาเลย์,WF-55-23.50R-MAL,,,TRUE,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,กระดาษม้วน (rm),กก.,กก.,Real Time (automated)
product_rawmat_mahachai_10,กระดาษปอนด์ม้วน 55แกรม หน้าม้วน 27.50 นิ้ว มาเลย์,WF-55-27.50R-MAL,,,TRUE,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,กระดาษม้วน (rm),กก.,กก.,Real Time (automated)
product_rawmat_mahachai_11,กระดาษปอนด์ม้วน 60แกรม หน้าม้วน 28.75 นิ้ว SCG,WF-60-28.75R-SCG,,,TRUE,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,กระดาษม้วน (rm),กก.,กก.,Real Time (automated)
product_rawmat_mahachai_12,กระดาษปอนด์ม้วน 60แกรม หน้าม้วน 30.25 นิ้ว SCG,WF-60-30.25R-SCG,,,TRUE,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,กระดาษม้วน (rm),กก.,กก.,Real Time (automated)
