id,product_id/id,product_name,warehouse_id,location_id,product_min_qty,product_max_qty,product_uom
stock_reorder_rawmat_sep21_1,product_rawmat_mahachai_1,กระดาษปรุ๊ฟม้วน 47แกรม หน้าม้วน 31.75 นิ้ว บรูพา,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_2,product_rawmat_mahachai_2,กระดาษปอนด์ม้วน 50แกรม (B) หน้าม้วน 31.25 นิ้ว บูรพา,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_3,product_rawmat_mahachai_3,กระดาษปอนด์ม้วน 50แกรม (B) หน้าม้วน 37.25 นิ้ว บูรพา,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_4,product_rawmat_mahachai_4,กระดาษปอนด์ม้วน 50แกรม (B) หน้าม้วน 38.25 นิ้ว บูรพา,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_5,product_rawmat_mahachai_5,กระดาษปอนด์ม้วน 55แกรม (B) หน้าม้วน 37.25 นิ้ว บูรพา,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_6,product_rawmat_mahachai_6,กระดาษปอนด์ม้วน 55แกรม (B) หน้าม้วน 38.25 นิ้ว บูรพา,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_7,product_rawmat_mahachai_7,กระดาษปอนด์ม้วน 55แกรม หน้าม้วน 38.25 นิ้ว มาเลย์,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_8,product_rawmat_mahachai_8,กระดาษปอนด์ม้วน 55แกรม (B) หน้าม้วน 28.75 นิ้ว บูรพา,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_9,product_rawmat_mahachai_9,กระดาษปอนด์ม้วน 55แกรม หน้าม้วน 23.50 นิ้ว มาเลย์,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_10,product_rawmat_mahachai_10,กระดาษปอนด์ม้วน 55แกรม หน้าม้วน 27.50 นิ้ว มาเลย์,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_11,product_rawmat_mahachai_11,กระดาษปอนด์ม้วน 60แกรม หน้าม้วน 28.75 นิ้ว SCG,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_12,product_rawmat_mahachai_12,กระดาษปอนด์ม้วน 60แกรม หน้าม้วน 30.25 นิ้ว SCG,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_13,product_rawmat_mahachai_13,กระดาษปอนด์ม้วน 60แกรม (B) หน้าม้วน 30.25 นิ้ว บูรพา,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_14,product_rawmat_mahachai_14,กระดาษปอนด์ม้วน 60แกม หน้าม้วน 31 นิ้ว SCG,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_15,product_rawmat_mahachai_15,กระดาษปอนด์ม้วน 60แกรม หน้าม้วน 31 นิ้ว มาเลย์,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_16,product_rawmat_mahachai_16,กระดาษปอนด์ม้วน 60แกรม หน้าม้วน 35.50 นิ้ว SCG,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_17,product_rawmat_mahachai_17,กระดาษปอนด์ม้วน 60แกรม หน้าม้วน 35.50 นิ้ว มาเลย์,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_18,product_rawmat_mahachai_18,กระดาษปอนด์ม้วน 60แกรม หน้าม้วน 37.87 นิ้ว AA,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_19,product_rawmat_mahachai_19,กระดาษปอนด์ม้วน 60แกรม หน้าม้วน 37.25 นิ้ว มาเลย์,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_20,product_rawmat_mahachai_20,กระดาษปอนด์ม้วน 60แกรม หน้าม้วน 37.25 นิ้ว SCG,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_21,product_rawmat_mahachai_21,กระดาษปอนด์ม้วน 60แกรม หน้าม้วน 38.25 นิ้ว มาเลย์,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_22,product_rawmat_mahachai_22,กระดาษปอนด์ม้วน 60แกรม หน้าม้วน 38.25 นิ้ว ศิริศักดิ์,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_23,product_rawmat_mahachai_23,กระดาษปอนด์ม้วน 60แกรม หน้าม้วน 38.25 นิ้ว SCG,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_24,product_rawmat_mahachai_24,กระดาษปอนด์ม้วน 60แกรม หน้าม้วน 38.25 นิ้ว AA,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_25,product_rawmat_mahachai_25,กระดาษปอนด์ม้วน 70แกรม หน้าม้วน 24.25 นิ้ว AA,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_26,product_rawmat_mahachai_26,กระดาษปอนด์ม้วน 70แกรม หน้าม้วน 31 นิ้ว SCG,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_27,product_rawmat_mahachai_27,กระดาษปอนด์ม้วน 70แกรม หน้าม้วน 31 นิ้ว มาเลย์,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_28,product_rawmat_mahachai_28,กระดาษปอนด์ม้วน 70แกรม หน้าม้วน 33.25 นิ้ว มาเลย์,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_29,product_rawmat_mahachai_29,กระดาษปอนด์ม้วน 70แกรม หน้าม้วน 33.25 นิ้ว SCG,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_30,product_rawmat_mahachai_30,กระดาษปอนด์ม้วน 70แกรม หน้าม้วน 34 นิ้ว AA,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_31,product_rawmat_mahachai_31,กระดาษปอนด์ม้วน 70แกรม หน้าม้วน 36.50 นิ้ว SCG,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_32,product_rawmat_mahachai_32,กระดาษปอนด์ม้วน 70แกรม หน้าม้วน 38.25 นิ้ว SCG,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_33,product_rawmat_mahachai_33,กระดาษปอนด์ม้วน 70แกรม หน้าม้วน 38.25 นิ้ว มาเลย์,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_34,product_rawmat_mahachai_34,กระดาษปอนด์ม้วน 80แกรม หน้าม้วน 16.75 นิ้ว มาเลย์,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_35,product_rawmat_mahachai_35,กระดาษปอนด์ม้วน 80แกรม หน้าม้วน 25 นิ้ว มาเลย์,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_36,product_rawmat_mahachai_36,กระดาษปอนด์ม้วน 80แกรม หน้าม้วน 31 นิ้ว SCG,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_37,product_rawmat_mahachai_37,กระดาษปอนด์ม้วน 80แกรม หน้าม้วน 31 นิ้ว สตาร์เปเปอร์,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_38,product_rawmat_mahachai_38,กระดาษปอนด์ม้วน 80แกรม หน้าม้วน 37.25 นิ้ว SCG,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_39,product_rawmat_mahachai_39,กระดาษปอนด์ม้วน 100แกรม หน้าม้วน 31 นิ้ว มาเลย์,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
stock_reorder_rawmat_sep21_40,product_rawmat_mahachai_40,กระดาษปอนด์ม้วน 100แกรม หน้าม้วน 31 นิ้ว SCG,วัตถุดิบ มหาชัย,วัตถุดิบ มหาชัย,,,กก.
