id,name,partner_id,brand_id,description_sale,description_purchase,product_main_code,active,product_sub_code,partner_barcode,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,cover_unit_price,categ_id,uom_id,uom_po_id,uom_so_id,paper_size_id,paper_grams_id,paper_nums_id,paper_binding_id,product_pack_id,description,valuation,uos_id,uos_coeff,qty_available
product_P-GB-230G-31*43,กระดาษกล่องเทาขาว 230แกรม 31*43นิ้ว 500แผ่น,,,,,P-GB-230G-31*43,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,3000,Standard Price,0,0,กระดาษกล่องเทาขาว,รีม,รีม,รีม,31*43,230,500,,1*1,,Real Time (automated),,,
product_P-GB-250G-31*43,กระดาษกล่องเทาขาว 250แกรม 31*43นิ้ว 500แผ่น,,,,,P-GB-250G-31*43,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,3175,Standard Price,0,0,กระดาษกล่องเทาขาว,รีม,รีม,รีม,31*43,250,500,,1*1,,Real Time (automated),,,
product_P-GB-270G-31*43,กระดาษกล่องเทาขาว 270แกรม 31*43นิ้ว 500แผ่น,,,,,P-GB-270G-31*43,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,3285,Standard Price,0,0,กระดาษกล่องเทาขาว,รีม,รีม,รีม,31*43,270,500,,1*1,,Real Time (automated),,,
product_P-GB-290G-31*43,กระดาษกล่องเทาขาว 290แกรม 31*43นิ้ว 500แผ่น,,,,,P-GB-290G-31*43,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,3540,Standard Price,0,0,กระดาษกล่องเทาขาว,รีม,รีม,รีม,31*43,290,500,,1*1,,Real Time (automated),,,
product_P-GB-310G-31*43,กระดาษกล่องเทาขาว 310แกรม 31*43นิ้ว 500แผ่น,,,,,P-GB-310G-31*43,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,3660,Standard Price,0,0,กระดาษกล่องเทาขาว,รีม,รีม,รีม,31*43,310,500,,1*1,,Real Time (automated),,,
product_P-GB-350G-31*43,กระดาษกล่องเทาขาว 350แกรม 31*43นิ้ว 500แผ่น,,,,,P-GB-350G-31*43,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,4000,Standard Price,0,0,กระดาษกล่องเทาขาว,รีม,รีม,รีม,31*43,350,500,,1*1,,Real Time (automated),,,
product_P-GB-400G-31*43,กระดาษกล่องเทาขาว 400แกรม 31*43นิ้ว 500แผ่น,,,,,P-GB-400G-31*43,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,4470,Standard Price,0,0,กระดาษกล่องเทาขาว,รีม,รีม,รีม,31*43,400,500,,1*1,,Real Time (automated),,,
product_P-GB-450G-31*43,กระดาษกล่องเทาขาว 450แกรม 31*43นิ้ว 500แผ่น,,,,,P-GB-450G-31*43,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,4920,Standard Price,0,0,กระดาษกล่องเทาขาว,รีม,รีม,รีม,31*43,450,500,,1*1,,Real Time (automated),,,
product_P-GB-500G-31*43,กระดาษกล่องเทาขาว 500แกรม 31*43นิ้ว 500แผ่น,,,,,P-GB-500G-31*43,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,5440,Standard Price,0,0,กระดาษกล่องเทาขาว,รีม,รีม,รีม,31*43,500,500,,1*1,,Real Time (automated),,,
product_P-GB-230G-31*21dot5,กระดาษกล่องเทาขาว 230แกรม 31*21.5นิ้ว 500แผ่น,,,,,P-GB-230G-31*21.5,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,1525,Standard Price,0,0,กระดาษกล่องเทาขาว,รีม,รีม,รีม,31*21.5,230,500,,1*1,,Real Time (automated),,,
product_P-GB-250G-31*21dot5,กระดาษกล่องเทาขาว 250แกรม 31*21.5นิ้ว 500แผ่น,,,,,P-GB-250G-31*21.5,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,1613,Standard Price,0,0,กระดาษกล่องเทาขาว,รีม,รีม,รีม,31*21.5,250,500,,1*1,,Real Time (automated),,,
product_P-GB-270G-31*21dot5,กระดาษกล่องเทาขาว 270แกรม 31*21.5นิ้ว 500แผ่น,,,,,P-GB-270G-31*21.5,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,1668,Standard Price,0,0,กระดาษกล่องเทาขาว,รีม,รีม,รีม,31*21.5,270,500,,1*1,,Real Time (automated),,,
product_P-GB-290G-31*21dot5,กระดาษกล่องเทาขาว 290แกรม 31*21.5นิ้ว 500แผ่น,,,,,P-GB-290G-31*21.5,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,1795,Standard Price,0,0,กระดาษกล่องเทาขาว,รีม,รีม,รีม,31*21.5,290,500,,1*1,,Real Time (automated),,,
product_P-GB-310G-31*21dot5,กระดาษกล่องเทาขาว 310แกรม 31*21.5นิ้ว 500แผ่น,,,,,P-GB-310G-31*21.5,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,1855,Standard Price,0,0,กระดาษกล่องเทาขาว,รีม,รีม,รีม,31*21.5,310,500,,1*1,,Real Time (automated),,,
product_P-GB-350G-31*21dot5,กระดาษกล่องเทาขาว 350แกรม 31*21.5นิ้ว 500แผ่น,,,,,P-GB-350G-31*21.5,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,2025,Standard Price,0,0,กระดาษกล่องเทาขาว,รีม,รีม,รีม,31*21.5,350,500,,1*1,,Real Time (automated),,,
product_P-GB-400G-31*21dot5,กระดาษกล่องเทาขาว 400แกรม 31*21.5นิ้ว 500แผ่น,,,,,P-GB-400G-31*21.5,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,2260,Standard Price,0,0,กระดาษกล่องเทาขาว,รีม,รีม,รีม,31*21.5,400,500,,1*1,,Real Time (automated),,,
product_P-GB-450G-31*21dot5,กระดาษกล่องเทาขาว 450แกรม 31*21.5นิ้ว 500แผ่น,,,,,P-GB-450G-31*21.5,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,2485,Standard Price,0,0,กระดาษกล่องเทาขาว,รีม,รีม,รีม,31*21.5,450,500,,1*1,,Real Time (automated),,,
product_P-GB-500G-31*21dot5,กระดาษกล่องเทาขาว 500แกรม 31*21.5นิ้ว 500แผ่น,,,,,P-GB-500G-31*21.5,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,2745,Standard Price,0,0,กระดาษกล่องเทาขาว,รีม,รีม,รีม,31*21.5,500,500,,1*1,,Real Time (automated),,,
product_P-WCL-3*5,"กระดาษการ์ดขาวตีเส้น 3*5นิ้ว 210แกรม 1,000แผ่น",,,,,P-WCL-3*5,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,240,Standard Price,0,0,กระดาษการ์ดขาวตีเส้น,ห่อ,ห่อ,ห่อ,3*5,210,1000,,1*10*100,,Real Time (automated),,,
product_P-WCL-4*6,กระดาษการ์ดขาวตีเส้น 4*6นิ้ว 210แกรม 500แผ่น,,,,,P-WCL-4*6,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,175,Standard Price,0,0,กระดาษการ์ดขาวตีเส้น,ห่อ,ห่อ,ห่อ,4*6,210,500,,1*5*100,,Real Time (automated),,,
product_P-WCL-5*8,กระดาษการ์ดขาวตีเส้น 5*8นิ้ว 210แกรม 500แผ่น,,,,,P-WCL-5*8,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,255,Standard Price,0,0,กระดาษการ์ดขาวตีเส้น,ห่อ,ห่อ,ห่อ,5*8,210,500,,1*5*100,,Real Time (automated),,,
product_P-SC-5*8,กระดาษบัญชีสต๊อกการ์ด 5*8นิ้ว 110แกรม 500แผ่น,,,,,P-SC-5*8,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,290,Standard Price,0,0,กระดาษสต็อคการ์ด,ห่อ,ห่อ,ห่อ,5*8,110,500,,1*5*100,,Real Time (automated),,,
product_P-SC-6*8,กระดาษบัญชีสต๊อกการ์ด 6*8นิ้ว 110แกรม 500แผ่น,,,,,P-SC-6*8,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,335,Standard Price,0,0,กระดาษสต็อคการ์ด,ห่อ,ห่อ,ห่อ,6*8,110,500,,1*5*100,,Real Time (automated),,,
product_P-CWF-001,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีฟ้า ,,,,,P-CWF-001,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,24,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,120,50,,1*1,,Real Time (automated),,,
