id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,inventory_line_id/product_uom,inventory_line_id/product_qty
physical_inventory_bird_floor2,นับสต๊อก เบิร์ด ชั้น 2 วันที่ 18-Jun-13,คลังสำเร็จรูปชั้น 2,product_4845698,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_4845699,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_4845700,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_4845701,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_4876669,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_4845686,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_4845687,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_4845688,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_4845689,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_4845682,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_4845683,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_4845684,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_4845685,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_4845694,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_4845695,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_4845696,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_4845697,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_4845690,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_4845691,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_4845692,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_4845693,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_157360,ห่อ,2035
,,คลังสำเร็จรูปชั้น 2,product_112488,ห่อ,0
,,คลังสำเร็จรูปชั้น 2,product_112507,ห่อ,317
,,คลังสำเร็จรูปชั้น 2,product_112480,ห่อ,1676
,,คลังสำเร็จรูปชั้น 2,product_112493,ห่อ,1949
,,คลังสำเร็จรูปชั้น 2,product_112477,ห่อ,948
,,คลังสำเร็จรูปชั้น 2,product_95056,ห่อ,200
,,คลังสำเร็จรูปชั้น 2,product_235301,ห่อ,297
,,คลังสำเร็จรูปชั้น 2,product_235302,ห่อ,1132
,,คลังสำเร็จรูปชั้น 2,product_94809,ห่อ,127
,,คลังสำเร็จรูปชั้น 2,product_235307,ห่อ,1004
,,คลังสำเร็จรูปชั้น 2,product_235308,ห่อ,875
,,คลังสำเร็จรูปชั้น 2,product_139364,ห่อ,0
,,คลังสำเร็จรูปชั้น 2,product_147372,ห่อ,340
,,คลังสำเร็จรูปชั้น 2,product_103105,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_103138,เล่ม,13300
,,คลังสำเร็จรูปชั้น 2,product_194528,เล่ม,
