id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,xxxx,inventory_line_id/product_qty,inventory_line_id/product_uom
physical_inventory_bird_floor2_count3,นับสต๊อก เบิร์ด ชั้น 2 วันที่ 30-Jun-13,คลังสำเร็จรูปชั้น 2,__export__.product_product_6685,เทสโก้ การ์ดสี A4 120แกรม 30 แผ่น,,ห่อ
,,คลังสำเร็จรูปชั้น 2,__export__.product_product_6719,ใบวางบิล 2ชั้น ตราเพชร (copy),,เล่ม
,,คลังสำเร็จรูปชั้น 2,__export__.product_product_6720,เทสโก้ สมุดเย็บลวดตัด 9/40s 60g P2,,เล่ม
,,คลังสำเร็จรูปชั้น 2,__export__.product_product_6722,สมุดปกแข็งสันห่วง A6 70แกรม 80แผ่น HVDW-A6807,1706,เล่ม
,,คลังสำเร็จรูปชั้น 2,__export__.product_product_6886,สมุดสั่งทำ,,เล่ม
,,คลังสำเร็จรูปชั้น 2,__export__.product_product_6887,แฟ้มสั่งทำ,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_103098,Q-BIZ สมุดปกอ่อนลายไทย 55g 9/30 แผ่น,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_103104,Q-BIZ สมุดปกภาพ 9/24 แผ่น,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_103105,Q-BIZ สมุดฉีก 50g 100 แผ่น,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_103106,Q-BIZ สมุดปกแข็งลายไทย 9/70 แผ่น,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_103107,Q-BIZ สมุดรายงาน 40 แผ่น,3468,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_103138,Q-BIZ สมุดฉีก 50g 80 แผ่น,3300,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_106700,Q-BIZ สมุดปกแข็งน้ำเงิน 2/70 แผ่น,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_112477,Q-BIZ กรดาษถ่ายเอกสารสีเหลือง 80g A4 100 แผ่น No.12,,ห่อ
,,คลังสำเร็จรูปชั้น 2,product_112480,Q-BIZ กรดาษถ่ายเอกสารสีฟ้า 80g A4 100 แผ่น No.13,,ห่อ
,,คลังสำเร็จรูปชั้น 2,product_112488,Q-BIZ กรดาษถ่ายเอกสารสีเขียว 80g A4 100 แผ่น No.14,,ห่อ
,,คลังสำเร็จรูปชั้น 2,product_112493,Q-BIZ กรดาษถ่ายเอกสารสีส้ม 80g A4 100 แผ่น No.15,,ห่อ
,,คลังสำเร็จรูปชั้น 2,product_112507,Q-BIZ กรดาษถ่ายเอกสารสีแดง 80g A4 100 แผ่น No.16,,ห่อ
,,คลังสำเร็จรูปชั้น 2,product_1127130,เทสโก้ สมุดรายงานA4/50ผ.รวมปก 60แกรม,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_1127131,เทสโก้สมุดรายงาน12.5x17.5ซม.50ผ. 60ก.,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_1127175,เทสโก้สมุดรายงานA4/50ผ.รวมปก 60ก. P3,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_1127176,เทสโก้สมุดรายงาน12.5x17.5ซม.50ผ.60ก  P6,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_114225,MKR สมุดบัญชีจีนปกหนัง 60แกรม 12/100แผ่น,417,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_114232,สมุดบัญชีจีนปกหนัง 60g 20/70,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_114236,สมุดปกอ่อนสันกาว 8/30 GNB-B5307,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_114253,สมุดปกอ่อนสันกาว 8/40 GNB-B5407,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_1164684,เทสโก้ สมุดปกอ่อนสันกาวตัด9/50 แผ่นรวมปก 60 แกรม,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_1184820,เทสโก้แวลู สมุดปกแข็งลายไทย   9/60 แพ็ค 6 ,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_1184977,เทสโก้แวลู สมุดปกอ่อนลายไทย   9/30 แผ่นรวมปก แพ็ค 12,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_1184978,เทสโก้แวลู สมุดปกอ่อนคละสี  9/26 แผ่น แพ็ค12,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_1184979,เทสโก้แวลู สมุดปกแข็งมุมมัน 70แกรม 5/100แผ่น(เส้นดำ),,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_1184980,เทสโก้แวลู สมุดฉีกเล่มเล็ก  4/90 แพ็ค 10,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_1185085,"เทสโก้แวลู บัตรลงเวลา "" ไซโก้ ""  ",,แผ่น
,,คลังสำเร็จรูปชั้น 2,product_1185096,"เทสโก้แวลู บัตรลงเวลา "" อามาโน่ ""  ",,แผ่น
,,คลังสำเร็จรูปชั้น 2,product_1207523,เทสโก้แวลู สมุดปกแข็งสีน้ำเงิน 2/70 แผ่น,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_124006,Q-BIZ สมุดปกการ์ดสี 9/30 แผ่น,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_1244402,เทสโก้ สมุดโน๊ตปกหนัง No.188  100 แกรม 60 แผ่น,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_1245065,เทสโก้ สมุดโน๊ตปกหนังเล็ก 60แกรม 64 แผ่น,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_124950,Q-BIZ สมุดปกการ์ดอาร์ต 9/50 แผ่น,5544,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_1300369,เทสโก้ สมุดปกอ่อนภาพ 9/60 แผ่นรวมปก F960 ,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_132067,ปกรายงานแฟนซี A4  150g,,ห่อ
,,คลังสำเร็จรูปชั้น 2,product_135230,Q-BIZ สมุดบัญชีเนื้อขาว 2 ช่องคู่ 5/50 แผ่น,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_135239,Q-BIZ สมุดบัญชีเนื้อขาว 3 ช่องคู่ 5/50 แผ่น,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_137677,Q-BIZ สมุดปกแข็งมุมมัน 70g 5/100 แผ่น,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_139364,Q-BIZ กระดาษฟุลสแก๊ป No.34 120 แผ่น,,ห่อ
,,คลังสำเร็จรูปชั้น 2,product_139528,Q-BIZ สมุดบัญชีจีนเล็ก 20/100,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_140001,Q-BIZ สมุดปกแข็งมุมมัน 80g 4/100,579,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_140002,Q-BIZ สมุดบัญชีจีนมุมมัน 70g 12/100,1707,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_143720,สมุดปกพีพีริมห่วง 70g 16/60,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_143722,MKR สมุดปกภาพ 70แกรม 8/30แผ่น F-8307,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_1451543,เทสโก้ สมุดปกภาพ 9/18 แผ่นรวมปก AF 5,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_1451544,เทสโก้ สมุดปกอ่อนสันกาวตัด9/60 แผ่นรวมปก 60 แกรม,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_1451547,เทสโก้ สมุดปกภาพ 60 แกรม 9/80 แผ่นรวมปก F980,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_1451548,เทสโก้ สมุดปกอ่อนสันกาว 8/40 เคลือบโฮโลแกรม PBF8407,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_147372,Q-BIZ กระดาษโรเนียวปรู๊ฟ F4  1*300 แผ่น,,ห่อ
,,คลังสำเร็จรูปชั้น 2,product_1534561,เทสโก้ สมุดโน๊ตปกหนังกลาง 60แกรม 80แผ่น,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_1534565,เทสโก้ สมุดโน๊ตปกหนังสันห่วงA5 70g 80ผ.,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_1534566,เทสโก้ สมุดบัญชีปกแข็ง 60แกรม 12/100แผ่น HV-201006,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_1534821,เทสโก้ สมุดสันกาว A5 70แกรม 24แผ่น,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_157360,Q-BIZ กรดาษถ่ายเอกสารสี 80g A4 200 แผ่น (คละสีNo.1-4),,ห่อ
,,คลังสำเร็จรูปชั้น 2,product_159000,MKR สมุดปกภาพ 50แกรม 9/14แผ่น EF-5 ,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_159001,MKR สมุดปกภาพ 50แกรม 9/14แผ่น EF-10 ,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_159002,MKR สมุดปกภาพ 60แกรม 9/20แผ่น F-920,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_159003,สมุดปกภาพ 60g 9/80 F980,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_159004,สมุดปกภาพ 50แกรม 9/80แผ่น EF-20,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_162447,OFC สมุดปกพีพีขาวทึบสันห่วง70g 8/60 แผ่น PPW-8607 ,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_162698,OFC สมุดปกสีวีนัสริมห่วง ตัด 9 ,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_162838,OFC  สมุดปกแข็งสีน้ำเงิน 2/70 แผ่น,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_162847,สมุดปกแข็งมุมผ้ามัน 70 ปอนด์ 5/200 แผ่น ,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_162849,OFC สมุดปกแข็งลายไทย 55แกรม 9/70แผ่น,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_162857,OFC สมุดปกภาพ 60แกรม 9/40แผ่น F-940,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_162861,OFC สมุดปกอ่อนลายไทย 55แกรม 9/40แผ่น,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_162867,OFC สมุดปกภาพ 60แกรม 8/30แผ่น F-8306,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_162868,OFC สมุดปกภาพ 70แกรม 8/30แผ่น F-8307,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_162871,สมุดปกอ่อนVENUS#NV9407-2 9/40 แผ่น ,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_162986,OFC สมุดปกอ่อนลายไทย 55แกรม 9/36แผ่น,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_163024,OFC สมุดวาดเขียน VENUS #DV410150 4/10,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_163037,OFC สมุดบัญชีเนื้อขาว 10 ช่องคู่ 5/50 แผ่น ,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_163038,สมุดบัญชีเนื้อขาว 2 ช่องเดี่ยว 5/100 แผ่น ,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_163039,สมุดบัญชีเนื้อขาว 2 ช่องเดี่ยว 5/50 แผ่น ,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_163041,OFC สมุดบัญชีเนื้อขาว 3 ช่องคู่ 5/100 ,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_163042,สมุดบัญชีเนื้อขาว 3 ช่องคู่ 8/50 แผ่น ,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_163043,สมุดบัญชีเนื้อขาว 3 ช่องเดี่ยว 5/50 แผ่น ,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_163048,OFC สมุดบัญชีเนื้อเขียว 14 ช่องคู่ 4/50 แผ่น ,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_1643087,เทสโก้ สมุดปกแฟนซี 9/50 แผ่นรวมปก F-950 ,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_172584,บัตรตอกเวลา OD #AMANO ,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_1726869,เทสโก้ สมุดปกพีพีสันห่วงA5 60 แผ่นรวมปก 70g PPB-A5607,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_172858,OFC สมุดริมลวดปกPPVENUS B5-70G60SH ,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_172859,OFC สมุดสันกาว VENUS BU/B5-70G60SH ,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_172860,OFC สมุดริมลวดปกPPVENUS A5-70G60SH ,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_176091,OFC สมุดปกภาพ 60แกรม 9/50แผ่น F-950,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_176092,OFC สมุดปกภาพ 60แกรม 9/60แผ่น F-980,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_176093,OFC สมุดปกภาพ 60แกรม 9/46แผ่น AF-10,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_176094,OFC สมุดฉีกรายงาน A4 60g 50 แผ่น ,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_176095,OFC สมุดปกพีพีอ่อน 60g 9/30 แผ่น  ,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_176096,OFC สมุดปกภาพ 9/50 แผ่นรวมปก (สันกาว),,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_176103,OFC สมุดปกพีพี ริมห่วง 70g 16/60 แผ่น ลายการ์ตูน ,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_176150,OFC สมุดริมห่วงปกพีพี 70g A5/100 แผ่น  ,,เล่ม
,,คลังสำเร็จรูปชั้น 2,product_176509,OFC สมุดปกอ่อนคละสีVC 9/40 60G P12 ,,เล่ม
