id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,ปป,inventory_line_id/product_qty,inventory_line_id/product_uom
physical_inventory_floor2_count6,นับสต๊อกกระดาษ ชั้น 2 วันที่ 13-Aug-13,สาทร ชั้น 2,product_P-WCL-3*5,"กระดาษการ์ดขาวตีเส้น 3*5นิ้ว 210แกรม 1,000แผ่น",20,ห่อ
,,สาทร ชั้น 2,product_P-WCL-4*6,กระดาษการ์ดขาวตีเส้น 4*6นิ้ว 210แกรม 500แผ่น,24,ห่อ
,,สาทร ชั้น 2,product_P-WCL-5*8,กระดาษการ์ดขาวตีเส้น 5*8นิ้ว 210แกรม 500แผ่น,36,ห่อ
,,สาทร ชั้น 2,product_P-CWF-041,กระดาษการ์ดสี A4 125แกรม 100แผ่น สีขาว ,57,ห่อ
,,สาทร ชั้น 2,product_P-CWF-040,กระดาษการ์ดสี A4 160แกรม 100แผ่น สีขาว ,592,ห่อ
,,สาทร ชั้น 2,product_P-CWF-039,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีขาว ,0,ห่อ
,,สาทร ชั้น 2,product_P-CWF-035,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีฟ้า ,87,ห่อ
,,สาทร ชั้น 2,product_P-CWF-036,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีชมพู ,480,ห่อ
,,สาทร ชั้น 2,product_P-CWF-037,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีเขียว ,177,ห่อ
,,สาทร ชั้น 2,product_P-CWF-038,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีเหลือง ,199,ห่อ
,,สาทร ชั้น 2,product_P-CWF-034,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีขาว ,175,ห่อ
,,สาทร ชั้น 2,product_P-CWF-030,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีฟ้า ,102,ห่อ
,,สาทร ชั้น 2,product_P-CWF-031,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีชมพู ,31,ห่อ
,,สาทร ชั้น 2,product_P-CWF-032,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีเขียว ,97,ห่อ
,,สาทร ชั้น 2,product_P-CWF-033,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีเหลือง ,221,ห่อ
,,สาทร ชั้น 2,product_P-CWF-042,กระดาษการ์ดสี F4 120แกรม 180แผ่น สีฟ้า ,0,ห่อ
,,สาทร ชั้น 2,product_P-CWF-043,กระดาษการ์ดสี F4 120แกรม 180แผ่น สีชมพู ,277,ห่อ
,,สาทร ชั้น 2,product_P-CWF-044,กระดาษการ์ดสี F4 120แกรม 180แผ่น สีเขียว ,258,ห่อ
,,สาทร ชั้น 2,product_P-CWF-045,กระดาษการ์ดสี F4 120แกรม 180แผ่น สีเหลือง ,373,ห่อ
,,สาทร ชั้น 2,product_P-CWF-046,กระดาษการ์ดสี F4 120แกรม 200แผ่น สีฟ้า ,89,ห่อ
,,สาทร ชั้น 2,product_P-CWF-047,กระดาษการ์ดสี F4 120แกรม 200แผ่น สีชมพู ,70,ห่อ
,,สาทร ชั้น 2,product_P-CWF-048,กระดาษการ์ดสี F4 120แกรม 200แผ่น สีเขียว ,220,ห่อ
,,สาทร ชั้น 2,product_P-CWF-049,กระดาษการ์ดสี F4 120แกรม 200แผ่น สีเหลือง ,218,ห่อ
,,สาทร ชั้น 2,product_P-CWF-050,กระดาษการ์ดสี F4 150แกรม 180แผ่น สีฟ้า ,305,ห่อ
,,สาทร ชั้น 2,product_P-CWF-051,กระดาษการ์ดสี F4 150แกรม 180แผ่น สีชมพู ,370,ห่อ
,,สาทร ชั้น 2,product_P-CWF-052,กระดาษการ์ดสี F4 150แกรม 180แผ่น สีเขียว ,213,ห่อ
,,สาทร ชั้น 2,product_P-CWF-053,กระดาษการ์ดสี F4 150แกรม 180แผ่น สีเหลือง,339,ห่อ
,,สาทร ชั้น 2,product_P-CWF-054,กระดาษการ์ดสี F4 150แกรม 200แผ่น สีฟ้า ,307,ห่อ
,,สาทร ชั้น 2,product_P-CWF-055,กระดาษการ์ดสี F4 150แกรม 200แผ่น สีชมพู ,66,ห่อ
,,สาทร ชั้น 2,product_P-CWF-056,กระดาษการ์ดสี F4 150แกรม 200แผ่น สีเขียว ,134,ห่อ
,,สาทร ชั้น 2,product_P-CWF-057,กระดาษการ์ดสี F4 150แกรม 200แผ่น สีเหลือง ,166,ห่อ
,,สาทร ชั้น 2,product_P-CWF-060,กระดาษการ์ดสี F4 180แกรม 100แผ่น สีเขียว ,49,ห่อ
,,สาทร ชั้น 2,product_P-CWF-064,กระดาษการ์ดสี F4 210แกรม 100แผ่น สีชมพู ,107,ห่อ
,,สาทร ชั้น 2,product_P-CWF-065,กระดาษการ์ดสี F4 210แกรม 100แผ่น สีเขียว ,108,ห่อ
,,สาทร ชั้น 2,product_P-ANS-100,กระดาษคำตอบ 100ข้อ 50แกรม 200แผ่น,1200,ห่อ
,,สาทร ชั้น 2,product_P-ANS-120,กระดาษคำตอบ 120ข้อ 50แกรม 200แผ่น,1080,ห่อ
,,สาทร ชั้น 2,product_P-ANS-60,กระดาษคำตอบ 60ข้อ 50แกรม 200แผ่น,1690,ห่อ
,,สาทร ชั้น 2,product_P-ANS-80,กระดาษคำตอบ 80ข้อ 50แกรม 200แผ่น,325,ห่อ
,,สาทร ชั้น 2,product_P-PC-A3-70G-300S,กระดาษถ่ายเอกสาร A3 70แกรม 300แผ่น Venus,0,ห่อ
,,สาทร ชั้น 2,product_P-PC-A3-70G-500S,กระดาษถ่ายเอกสาร A3 70แกรม 500แผ่น Venus,0,ห่อ
,,สาทร ชั้น 2,product_P-PC-A3-80G-300S,กระดาษถ่ายเอกสาร A3 80แกรม 300แผ่น Venus,102,ห่อ
,,สาทร ชั้น 2,product_P-PC-A3-80G-500S,กระดาษถ่ายเอกสาร A3 80แกรม 500แผ่น Venus,92,ห่อ
,,สาทร ชั้น 2,product_P-PC-F4-70G-300S,กระดาษถ่ายเอกสาร F4 70แกรม 300แผ่น Venus,897,ห่อ
,,สาทร ชั้น 2,product_P-PC-F4-70G-500S,กระดาษถ่ายเอกสาร F4 70แกรม 500แผ่น Venus,162,ห่อ
,,สาทร ชั้น 2,product_P-PC-F4-80G-300S,กระดาษถ่ายเอกสาร F4 80แกรม 300แผ่น Venus,332,ห่อ
,,สาทร ชั้น 2,product_P-PC-F4-80G-500S,กระดาษถ่ายเอกสาร F4 80แกรม 500แผ่น Venus,18,ห่อ
,,สาทร ชั้น 2,product_P-LG-008,กระดาษบัญชีเนื้อเขียว 2รู แยกประเภท,17,ห่อ
,,สาทร ชั้น 2,product_P-LG-001,กระดาษบัญชีเนื้อเขียว 2รู 2ช่อง,19,ห่อ
,,สาทร ชั้น 2,product_P-LG-002,กระดาษบัญชีเนื้อเขียว 2รู 3ช่อง,38,ห่อ
,,สาทร ชั้น 2,product_P-LG-013,กระดาษบัญชีเนื้อเขียว 26รู สต็อก,36,ห่อ
,,สาทร ชั้น 2,product_P-LG-011,กระดาษบัญชีเนื้อเขียว 26รู ธรรมดา,24,ห่อ
,,สาทร ชั้น 2,product_P-LG-009,กระดาษบัญชีเนื้อเขียว 26รู แยกประเภท,26,ห่อ
,,สาทร ชั้น 2,product_P-LG-003,กระดาษบัญชีเนื้อเขียว 26รู 2ช่อง,10,ห่อ
,,สาทร ชั้น 2,product_P-LG-004,กระดาษบัญชีเนื้อเขียว 26รู 3ช่อง,0,ห่อ
,,สาทร ชั้น 2,product_P-LG-014,กระดาษบัญชีเนื้อเขียว 30รู สต็อก,12,ห่อ
,,สาทร ชั้น 2,product_P-LG-012,กระดาษบัญชีเนื้อเขียว 30รู ธรรมดา,25,ห่อ
,,สาทร ชั้น 2,product_P-LG-010,กระดาษบัญชีเนื้อเขียว 30รู แยกประเภท,14,ห่อ
,,สาทร ชั้น 2,product_P-LG-005,กระดาษบัญชีเนื้อเขียว 30รู 2ช่อง,18,ห่อ
,,สาทร ชั้น 2,product_P-LG-006,กระดาษบัญชีเนื้อเขียว 30รู 3ช่อง,44,ห่อ
,,สาทร ชั้น 2,product_P-LG-007,กระดาษบัญชีเนื้อเขียว 30รู 4ช่อง,10,ห่อ
,,สาทร ชั้น 2,product_P-TCWF-001,กระดาษแบ๊งค์สี A4 55แกรม 300แผ่น สีฟ้า,379,ห่อ
,,สาทร ชั้น 2,product_P-TCWF-002,กระดาษแบ๊งค์สี A4 55แกรม 300แผ่น สีชมพู,459,ห่อ
,,สาทร ชั้น 2,product_P-TCWF-003,กระดาษแบ๊งค์สี A4 55แกรม 300แผ่น สีเขียว,502,ห่อ
,,สาทร ชั้น 2,product_P-TCWF-004,กระดาษแบ๊งค์สี A4 55แกรม 300แผ่น สีเหลือง,340,ห่อ
,,สาทร ชั้น 2,product_P-TCWF-005,กระดาษแบ๊งค์สี A4 55แกรม 400แผ่น สีฟ้า,329,ห่อ
,,สาทร ชั้น 2,product_P-TCWF-006,กระดาษแบ๊งค์สี A4 55แกรม 400แผ่น สีชมพู,305,ห่อ
,,สาทร ชั้น 2,product_P-TCWF-007,กระดาษแบ๊งค์สี A4 55แกรม 400แผ่น สีเขียว,589,ห่อ
,,สาทร ชั้น 2,product_P-TCWF-008,กระดาษแบ๊งค์สี A4 55แกรม 400แผ่น สีเหลือง,161,ห่อ
,,สาทร ชั้น 2,product_P-TCWF-009,กระดาษแบ๊งค์สี A4 55แกรม 500แผ่น สีฟ้า,382,ห่อ
,,สาทร ชั้น 2,product_P-TCWF-010,กระดาษแบ๊งค์สี A4 55แกรม 500แผ่น สีชมพู,540,ห่อ
,,สาทร ชั้น 2,product_P-TCWF-011,กระดาษแบ๊งค์สี A4 55แกรม 500แผ่น สีเขียว,652,ห่อ
,,สาทร ชั้น 2,product_P-TCWF-012,กระดาษแบ๊งค์สี A4 55แกรม 500แผ่น สีเหลือง,51,ห่อ
