id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,ปป,inventory_line_id/product_qty,inventory_line_id/product_uom
physical_inventory_floor1_reset7,นับสต๊อกกระดาษ ชั้น 1 วันที่ 19-Aug-13,สาทร ชั้น 1,product_MSH,กบเหลาดินสอ,,อัน
,,สาทร ชั้น 1,product_P-GB-230G-31*21dot5,กระดาษกล่องเทาขาว 230แกรม 31*21.5นิ้ว 500แผ่น,,รีม
,,สาทร ชั้น 1,product_P-GB-230G-31*43,กระดาษกล่องเทาขาว 230แกรม 31*43นิ้ว 500แผ่น,,รีม
,,สาทร ชั้น 1,product_P-GB-250G-31*21dot5,กระดาษกล่องเทาขาว 250แกรม 31*21.5นิ้ว 500แผ่น,,รีม
,,สาทร ชั้น 1,product_P-GB-250G-31*43,กระดาษกล่องเทาขาว 250แกรม 31*43นิ้ว 500แผ่น,,รีม
,,สาทร ชั้น 1,product_P-GB-270G-31*21dot5,กระดาษกล่องเทาขาว 270แกรม 31*21.5นิ้ว 500แผ่น,,รีม
,,สาทร ชั้น 1,product_P-GB-270G-31*43,กระดาษกล่องเทาขาว 270แกรม 31*43นิ้ว 500แผ่น,,รีม
,,สาทร ชั้น 1,product_P-GB-290G-31*21dot5,กระดาษกล่องเทาขาว 290แกรม 31*21.5นิ้ว 500แผ่น,,รีม
,,สาทร ชั้น 1,product_P-GB-290G-31*43,กระดาษกล่องเทาขาว 290แกรม 31*43นิ้ว 500แผ่น,,รีม
,,สาทร ชั้น 1,product_P-GB-310G-31*21dot5,กระดาษกล่องเทาขาว 310แกรม 31*21.5นิ้ว 500แผ่น,,รีม
,,สาทร ชั้น 1,product_P-GB-310G-31*43,กระดาษกล่องเทาขาว 310แกรม 31*43นิ้ว 500แผ่น,,รีม
,,สาทร ชั้น 1,product_P-GB-350G-31*21dot5,กระดาษกล่องเทาขาว 350แกรม 31*21.5นิ้ว 500แผ่น,,รีม
,,สาทร ชั้น 1,product_P-GB-350G-31*43,กระดาษกล่องเทาขาว 350แกรม 31*43นิ้ว 500แผ่น,,รีม
,,สาทร ชั้น 1,product_P-GB-400G-31*21dot5,กระดาษกล่องเทาขาว 400แกรม 31*21.5นิ้ว 500แผ่น,,รีม
,,สาทร ชั้น 1,product_P-GB-400G-31*43,กระดาษกล่องเทาขาว 400แกรม 31*43นิ้ว 500แผ่น,,รีม
,,สาทร ชั้น 1,product_P-GB-450G-31*21dot5,กระดาษกล่องเทาขาว 450แกรม 31*21.5นิ้ว 500แผ่น,,รีม
,,สาทร ชั้น 1,product_P-GB-450G-31*43,กระดาษกล่องเทาขาว 450แกรม 31*43นิ้ว 500แผ่น,,รีม
,,สาทร ชั้น 1,product_P-GB-500G-31*21dot5,กระดาษกล่องเทาขาว 500แกรม 31*21.5นิ้ว 500แผ่น,,รีม
,,สาทร ชั้น 1,product_P-GB-500G-31*43,กระดาษกล่องเทาขาว 500แกรม 31*43นิ้ว 500แผ่น,,รีม
,,สาทร ชั้น 1,product_P-WCL-3*5,"กระดาษการ์ดขาวตีเส้น 3*5นิ้ว 210แกรม 1,000แผ่น",,ห่อ
