id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,inventory_line_id/product_id/XX,inventory_line_id/product_qty,inventory_line_id/product_uom
stock_rawmat_mahachai_4oct13,นับสต๊อกวัตถุดิบมหาชัย วันที่ 14-Oct-13,วัตถุดิบ มหาชัย,rawmat_GWB-250-31*43-อิตาลี,กล่องแป้งอิตาลีหลังเทา 250แกรม 31*43,,รีม
,,วัตถุดิบ มหาชัย,rawmat_CWF-180-31*43-ขาวเยอรมัน,การ์ดขาวเยอรมัน 180แกรม 31*43 นิ้ว,,รีม
,,วัตถุดิบ มหาชัย,rawmat_CWF-230-24*35-ขาวเยอรมัน ,การ์ดขาวเยอรมัน 230แกรม 24*35 นิ้ว,,รีม
,,วัตถุดิบ มหาชัย,rawmat_FPP-120-25*36,ฟลอยเงิน 120แกรม 25*36นิ้ว,,รีม
,,วัตถุดิบ มหาชัย,rawmat_GAP-128-31*43-Japan sinardg,อาร์ตมัน 128แกรม 31*43 นิ้ว Japan sinardg,,รีม
,,วัตถุดิบ มหาชัย,rawmat_GW-230-31*43-TP,กระดาษกล่องเทาขาว 230แกรม 31*43 นิ้ว เทพพัฒนา,,รีม
,,วัตถุดิบ มหาชัย,rawmat_GW-250-31*43-TP,กระดาษกล่องเทาขาว 250แกรม 31*43 นิ้ว เทพพัฒนา,,รีม
,,วัตถุดิบ มหาชัย,rawmat_GW-270-31*43-TP,กระดาษกล่องเทาขาว 270แกรม 31*43 นิ้ว เทพพัฒนา,,รีม
,,วัตถุดิบ มหาชัย,rawmat_GW-310-31*43-TP,กระดาษกล่องเทาขาว 310แกรม 31*43 นิ้ว เทพพัฒนา,,รีม
,,วัตถุดิบ มหาชัย,rawmat_GW-350-31*43-TP,กระดาษกล่องเทาขาว 350แกรม 31*43 นิ้ว เทพพัฒนา,,รีม
,,วัตถุดิบ มหาชัย,rawmat_GW-400-31*43-TP,กระดาษกล่องเทาขาว 400แกรม 31*43 นิ้ว เทพพัฒนา,,รีม
,,วัตถุดิบ มหาชัย,rawmat_GW-450-31*43-TP,กระดาษกล่องเทาขาว 450แกรม 31*43 นิ้ว เทพพัฒนา,,รีม
,,วัตถุดิบ มหาชัย,rawmat_GW-500-31*43-TP,กระดาษกล่องเทาขาว 500แกรม 31*43 นิ้ว เทพพัฒนา,,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_103,กระดาษการ์ดสี 110แกรม 25*35.5 นิ้ว สีเขียว INDO,318,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_102,กระดาษการ์ดสี 110แกรม 25*35.5 นิ้ว สีครีม INDO,136,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_104,กระดาษการ์ดสี 110แกรม 25*35.5 นิ้ว สีชมพู INDO,241,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_106,กระดาษการ์ดสี 110แกรม 25*35.5 นิ้ว สีฟ้า INDO,198,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_108,กระดาษการ์ดสี 110แกรม 25*35.5 นิ้ว สีม่วง SCG,30,รีม
