"id","name","inventory_line_id/location_id","inventory_line_id/product_id/id","inventory_line_id/product_qty","inventory_line_id/product_uom"
"stock_rawmat_mahachai_27nov13","นับสต๊อกวัตถุดิบมหาชัย วันที่ 27-Oct-13","วัตถุดิบ มหาชัย","product_rawmat_mahachai_103",174.5,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_102",120.9,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_104",93.5,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_106",280,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_108",10,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_107",19.5,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_105",153.5,"รีม"
,,"วัตถุดิบ มหาชัย","rawmat_CWF-110-27_5*39-เขียว-INDO",106,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_113",0,"รีม"
,,"วัตถุดิบ มหาชัย","rawmat_CWF-110-27_5*39-ชมพู-INDO",118,"รีม"
,,"วัตถุดิบ มหาชัย","rawmat_CWF-110-27_5*39-ฟ้า-INDO",106,"รีม"
,,"วัตถุดิบ มหาชัย","rawmat_CWF-110-27_5*39-เหลือง-INDO",118,"รีม"
,,"วัตถุดิบ มหาชัย","rawmat_CWF-110-31*43-เขียว-INDO",122,"รีม"
,,"วัตถุดิบ มหาชัย","rawmat_CWF-110-31*43-ชมพู-INDO",109,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_125",104,"รีม"
,,"วัตถุดิบ มหาชัย","rawmat_CWF-110-31*43-เหลือง-INDO",96,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_118",0,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_119",0,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_121",0,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_120",0,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_109",0,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_110",0,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_112",23,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_111",8,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_126",0,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_127",4.5,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_129",4,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_128",0,"รีม"
,,"วัตถุดิบ มหาชัย","rawmat_GB-12B-24*34-KPB",32,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_136",0,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_137",79,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_134",17,"รีม"
,,"วัตถุดิบ มหาชัย","rawmat_GR-75-24*35-SCG",0,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_65",57,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_66",34,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_67",9,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_68",33,"รีม"
