id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,NAME,inventory_line_id/product_qty,inventory_line_id/product_uom
stock_stock_rm_sathorn_2feb14_v2,นับสต๊อกวัตถุดิบ สาทร วันที่ 2-Feb-14 v2,วัตถุดิบ สาทร,product_rawmat_mahachai_70,กระดาษปอนด์ 50แกรม(B) 23.5x33 นิ้ว บูรพา,0,รีม
,,วัตถุดิบ สาทร,rawmat_WF-50-25*31-BU-B,กระดาษปอนด์ 50แกรม(B) 25x31 นิ้ว บูรพา,50,รีม
,,วัตถุดิบ สาทร,rawmat_WF-50-26*33-BU-B,กระดาษปอนด์ 50แกรม(B) 26*33 นิ้ว บูรพา,75,รีม
,,วัตถุดิบ สาทร,rawmat_WF-50-31*43-BU-B,กระดาษปอนด์ 50แกรม(B) 31*43 นิ้ว บูรพา,25,รีม
,,วัตถุดิบ สาทร,rawmat_WF-55-30*40-BU-B,กระดาษปอนด์ 55แกรม(B) 30*40 นิ้ว บูรพา,27,รีม
,,วัตถุดิบ สาทร,rawmat_WF-60-24*35-AA,กระดาษปอนด์ 60แกรม 24x35 นิ้ว AA,216,รีม
,,วัตถุดิบ สาทร,rawmat_WF-60-26_5*38_5-SCG,กระดาษปอนด์ 60แกรม 26.5x38.5 นิ้ว SCG,429,รีม
,,วัตถุดิบ สาทร,rawmat_WF-60-27*38_5-SCG,กระดาษปอนด์ 60แกรม 27x38.5 นิ้ว SCG,11,รีม
,,วัตถุดิบ สาทร,rawmat_WF-60-27*34*SCG,กระดาษปอนด์ 60แกรม 27x34 นิ้ว SCG,319.25,รีม
,,วัตถุดิบ สาทร,rawmat_WF-60-28_5*38_5-SCG,กระดาษปอนด์ 60แกรม 28.5x38.5 นิ้ว SCG,80,รีม
,,วัตถุดิบ สาทร,product_rawmat_mahachai_73,กระดาษปอนด์ 60แกรม 31*43 นิ้ว SCG,158,รีม
,,วัตถุดิบ สาทร,rawmat_WF-70-24*35-SCG,กระดาษปอนด์ 70แกรม 24*35 นิ้ว SCG,249,รีม
,,วัตถุดิบ สาทร,rawmat_WF-70-24*34-SCG,กระดาษปอนด์ 70แกรม 24*34 นิ้ว SCG,43,รีม
,,วัตถุดิบ สาทร,rawmat_WF-70-26*33-SCG,กระดาษปอนด์ 70แกรม 26*33 นิ้ว SCG,562,รีม
,,วัตถุดิบ สาทร,rawmat_WF-26_5*38_5-AA,กระดาษปอนด์ 70แกรม 26.5*38.5 นิ้ว AA,29,รีม
,,วัตถุดิบ สาทร,rawmat_WF-26_5*38_5-SCG,กระดาษปอนด์ 70แกรม 26.5*38.5 นิ้ว SCG,48,รีม
,,วัตถุดิบ สาทร,rawmat_WF-70-27*34-AA,กระดาษปอนด์ 70แกรม 27*34 นิ้ว AA,145,รีม
,,วัตถุดิบ สาทร,rawmat_WF-70-28*40-SCG,กระดาษปอนด์ 70แกรม 28*40 นิ้ว SCG,27.5,รีม
,,วัตถุดิบ สาทร,rawmat_WF-70-31*43-SCG,กระดาษปอนด์ 70แกรม 31*43 นิ้ว SCG,23,รีม
,,วัตถุดิบ สาทร,rawmat_WF-60-24*35-SCG,กระดาษปอนด์ 80แกรม 24*35 นิ้ว SCG,49.5,รีม
,,วัตถุดิบ สาทร,rawmat_WF-80-27*34-BU,กระดาษปอนด์ 80แกรม 27*34 นิ้ว บูรพา,4,รีม
,,วัตถุดิบ สาทร,rawmat_WF-80-31*43-SCG,กระดาษปอนด์ 80แกรม 31*43 นิ้ว SCG,82,รีม
,,วัตถุดิบ สาทร,rawmat_WF-100-24*35-AA,กระดาษปอนด์ 100แกรม 24*35 นิ้ว AA,64,รีม
,,วัตถุดิบ สาทร,rawmat_WF-100-24*35-SCG,กระดาษปอนด์ 100แกรม 24*35 นิ้ว SCG,50,รีม
,,วัตถุดิบ สาทร,rawmat_WF-100-24_5*39-SCG,กระดาษปอนด์ 100แกรม 24.5*39 นิ้ว SCG,10,รีม
,,วัตถุดิบ สาทร,rawmat_WF-100-28*40-SCG,กระดาษปอนด์ 100แกรม 28*40 นิ้ว SCG,32,รีม
,,วัตถุดิบ สาทร,rawmat_WF-100-28*40-INDO,กระดาษปอนด์ 100แกรม 28*40 นิ้ว INDO,50.5,รีม
,,วัตถุดิบ สาทร,rawmat_WF-100-31*43-SCG,กระดาษปอนด์ 100แกรม 31*43 นิ้ว SCG,314,รีม
,,วัตถุดิบ สาทร,rawmat_WF-120-24*35-SCG,กระดาษปอนด์ 120แกรม 24*35 นิ้ว SCG,7,รีม
,,วัตถุดิบ สาทร,rawmat_WF-120-31*43-SCG,กระดาษปอนด์ 120แกรม 31*43 นิ้ว SCG,20,รีม
,,วัตถุดิบ สาทร,rawmat_NPR-70-31*43-SCG,กระดาษโน๊ตโปร 70แกรม 31*43 นิ้ว SCG,3.5,รีม
,,วัตถุดิบ สาทร,rawmat_NPR-80-20*25-SCG,กระดาษโน๊ตโปร 80แกรม 20*35 นิ้ว SCG,0.45,รีม
,,วัตถุดิบ สาทร,__export__.product_product_7495,กระดาษกรีนออฟเซ็ท 120แกรม 25*36 นิ้ว SCG,0.1,รีม
,,วัตถุดิบ สาทร,rawmat_GC-110-19*34-SCG,ดราฟท์เขียว 110แกรม 19*34 นิ้ว SCG,17,รีม
,,วัตถุดิบ สาทร,rawmat_GC-110-34*40_5-SCG,ดราฟท์เขียว 110แกรม 34*40.5 นิ้ว SCG,65.26,รีม
,,วัตถุดิบ สาทร,rawmat_GR-65-24*35-SCG,กระดาษถนอมสายตา 65แกรม 24*35 นิ้ว SCG,1.6,รีม
,,วัตถุดิบ สาทร,rawmat_GR-65-31*43-SCG,กระดาษถนอมสายตา 65แกรม 31*43 นิ้ว SCG,1,รีม
,,วัตถุดิบ สาทร,rawmat_GR-75-24*35-SCG,กระดาษถนอมสายตา 75แกรม 24*35 นิ้ว SCG,18,รีม
,,วัตถุดิบ สาทร,rawmat_GR-75-31*43-SCG,กระดาษถนอมสายตา 75แกรม 31*43 นิ้ว SCG,9.5,รีม
,,วัตถุดิบ สาทร,rawmat_GB-8A-27*31-RT,กระดาษแข็ง เบอร์8 A 27*31 นิ้ว เหรียญไทย,10,รีม
,,วัตถุดิบ สาทร,rawmat_GB-10A-27*31-RT,กระดาษแข็ง เบอร์10 A 27*31 นิ้ว เหรียญไทย,30,รีม
,,วัตถุดิบ สาทร,rawmat_GB-12A-41*20_5-BU,กระดาษแข็ง เบอร์12 A 41*20.5 นิ้ว บูรพา,24,รีม
,,วัตถุดิบ สาทร,rawmat_GB-12A-33_5*46_5-BU,กระดาษแข็ง เบอร์12 A 33.5*46.5 นิ้ว บูรพา,11,รีม
,,วัตถุดิบ สาทร,rawmat_GB-12A-27*31-RT,กระดาษแข็ง เบอร์12 A 27*31 นิ้ว เหรียญไทย,17,รีม
,,วัตถุดิบ สาทร,rawmat_GB-16A-27*31-RT,กระดาษแข็ง เบอร์16 A 27*31 นิ้ว เหรียญไทย,15.82,รีม
,,วัตถุดิบ สาทร,rawmat_GB-20A-27*31-RT,กระดาษแข็ง เบอร์20 A 27*31 นิ้ว เหรียญไทย,30,รีม
,,วัตถุดิบ สาทร,rawmat_GB-20A-25-34-BU,กระดาษแข็ง เบอร์20 A 25*34 นิ้ว บูรพา,19,รีม
,,วัตถุดิบ สาทร,rawmat_GB-24A-27*31-RT,กระดาษแข็ง เบอร์24 A 27*31 นิ้ว เหรียญไทย,43,รีม
,,วัตถุดิบ สาทร,rawmat_GB-28A-27*31-RT,กระดาษแข็ง เบอร์28 A 27*31 นิ้ว เหรียญไทย,32,รีม
,,วัตถุดิบ สาทร,rawmat_GB-8B-27*31-KPB,กระดาษแข็ง เบอร์8 B 27*31 นิ้ว กิจไพบูลย์,8,รีม
,,วัตถุดิบ สาทร,rawmat_GB-8B-31*43-KPB,กระดาษแข็ง เบอร์8 B 31*43 นิ้ว กิจไพบูลย์,15,รีม
,,วัตถุดิบ สาทร,rawmat_GB-10B-27*31-KPB,กระดาษแข็ง เบอร์10 B 27*31 นิ้ว กิจไพบูลย์,11,รีม
,,วัตถุดิบ สาทร,rawmat_GB-12B-24*34-KPB,กระดาษแข็ง เบอร์12 B 24*34 นิ้ว กิจไพบูลย์,15,รีม
,,วัตถุดิบ สาทร,rawmat_GB-12B-27*31-KPB,กระดาษแข็ง เบอร์12 B 27*31 นิ้ว กิจไพบูลย์,10,รีม
,,วัตถุดิบ สาทร,rawmat_GB-16B-21*31-KPB,กระดาษแข็ง เบอร์16 B 21*31 นิ้ว กิจไพบูลย์,30,รีม
,,วัตถุดิบ สาทร,rawmat_GB-16B-22_5*31-KPB,กระดาษแข็ง เบอร์16 B 22.5*31 นิ้ว กิจไพบูลย์,40,รีม
,,วัตถุดิบ สาทร,rawmat_GB-16B-24*35-KPB,กระดาษแข็ง เบอร์16 B 24*35 นิ้ว กิจไพบูลย์,32,รีม
,,วัตถุดิบ สาทร,rawmat_GB-16B-26_5*32_5-KPB,กระดาษแข็ง เบอร์16 B 26.5*32.5 นิ้ว กิจไพบูลย์,35,รีม
,,วัตถุดิบ สาทร,rawmat_GB-16B-31_5*34-KPB,กระดาษแข็ง เบอร์16 B 31.5*34 นิ้ว กิจไพบูลย์,2,รีม
,,วัตถุดิบ สาทร,rawmat_GB-16B-31*43-KPB,กระดาษแข็ง เบอร์16 B 31*43 นิ้ว กิจไพบูลย์,4,รีม
,,วัตถุดิบ สาทร,rawmat_GB-20B-27*31-KPB,กระดาษแข็ง เบอร์20 B 27*31 นิ้ว กิจไพบูลย์,28,รีม
,,วัตถุดิบ สาทร,rawmat_GB-20B-30*32-KPB,กระดาษแข็ง เบอร์20 B 30*32 นิ้ว กิจไพบูลย์,10,รีม
,,วัตถุดิบ สาทร,rawmat_NP-49-24*25-SHIN,กระดาษปรุ๊ฟขาว 49แกรม 24*35 นิ้ว ชินโฮ,3,รีม
,,วัตถุดิบ สาทร,rawmat_NP-50-31*43-PM,กระดาษปรุ๊ฟขาว 50แกรม 31*43 นิ้ว พรีเมียม,40.5,รีม
,,วัตถุดิบ สาทร,rawmat_CR-110-35*47-KT,กระดาษน้ำตาล 110แกรม 35*47นิ้ว กรุงไทย,10,รีม
,,วัตถุดิบ สาทร,rawmat_ST-106*70-C_A_S_,สติกเกอร์ขาวเงา 106*70 ซม. C.A.S.,130,แผ่น
,,วัตถุดิบ สาทร,rawmat_DP-80-31*43-SS,กระดาษวาดเขียน 80แกรม 31*43 นิ้ว ศิริศักดิ์ ,50,รีม
,,วัตถุดิบ สาทร,rawmat_DP-90-25_5*42-SS,กระดาษวาดเขียน 90แกรม 25.5*42 นิ้ว ศิริศักดิ์ ,9.5,รีม
,,วัตถุดิบ สาทร,rawmat_DP-90-31*43-SS,กระดาษวาดเขียน 90แกรม 31*43 นิ้ว ศิริศักดิ์ ,82.5,รีม
,,วัตถุดิบ สาทร,rawmat_DP-120-31*43-SS,กระดาษวาดเขียน 150แกรม 30*42 นิ้ว ศิริศักดิ์ ,24.5,รีม
,,วัตถุดิบ สาทร,rawmat_DP-150-31*43-SS,กระดาษวาดเขียน 150แกรม 31*43 นิ้ว ศิริศักดิ์ ,34.5,รีม
,,วัตถุดิบ สาทร,product_P-GB-230G-31*21dot5,กระดาษกล่องเทาขาว 230แกรม 31*43 นิ้ว เทพพัฒนา,3,รีม
,,วัตถุดิบ สาทร,rawmat_GW-250-31*43-TP,กระดาษกล่องเทาขาว 250แกรม 31*43 นิ้ว เทพพัฒนา,2,รีม
,,วัตถุดิบ สาทร,rawmat_GW-270-31*43-TP,กระดาษกล่องเทาขาว 270แกรม 31*43 นิ้ว เทพพัฒนา,9,รีม
,,วัตถุดิบ สาทร,rawmat_GW-310-31*43-TP,กระดาษกล่องเทาขาว 310แกรม 31*43 นิ้ว เทพพัฒนา,2,รีม
,,วัตถุดิบ สาทร,rawmat_GW-350-31*43-TP,กระดาษกล่องเทาขาว 350แกรม 31*43 นิ้ว เทพพัฒนา,16,รีม
,,วัตถุดิบ สาทร,rawmat_GW-400-31*43-TP,กระดาษกล่องเทาขาว 400แกรม 31*43 นิ้ว เทพพัฒนา,4,รีม
,,วัตถุดิบ สาทร,rawmat_GW-450-31*43-TP,กระดาษกล่องเทาขาว 450แกรม 31*43 นิ้ว เทพพัฒนา,0.5,รีม
,,วัตถุดิบ สาทร,rawmat_GW-500-31*43-TP,กระดาษกล่องเทาขาว 500แกรม 31*43 นิ้ว เทพพัฒนา,6,รีม
,,วัตถุดิบ สาทร,rawmat_GBW-250-31*43-TP,กล่องแป้งหลังเทา 250แกรม 31*43 นิ้ว เทพพัฒนา,3,รีม
,,วัตถุดิบ สาทร,rawmat_GBW-270-37*36-TP,กล่องแป้งหลังเทา 270แกรม 37*36 นิ้ว เทพพัฒนา,0.1,รีม
,,วัตถุดิบ สาทร,rawmat_GBW-270-31*43-RT,กล่องแป้งหลังเทา 270แกรม 31*43 นิ้ว เหรียญไทย,1.4,รีม
,,วัตถุดิบ สาทร,rawmat_GBW-310-31*43-C_A_S_,กล่องแป้งหลังเทา 310 แกรม 31*43 นิ้ว C.A.S.,6.8,รีม
,,วัตถุดิบ สาทร,rawmat_GBW-350-31*43-C_A_S_,กล่องแป้งหลังเทา 350แกรม 31*43 นิ้ว C.A.S.,2.9,รีม
,,วัตถุดิบ สาทร,rawmat_GBW-450-31*43-TCB,กล่องแป้งหลังเทา 450แกรม 31*43 นิ้ว TCB,0.6,รีม
,,วัตถุดิบ สาทร,rawmat_WB-210-27_5*39-INDO,กล่องแป้งหลังขาว 210แกรม 27.5*39 นิ้ว INDO,8,รีม
,,วัตถุดิบ สาทร,rawmat_WB-310-27_5*39-INDO,กล่องแป้งหลังขาว 310แกรม 27.5*39 นิ้ว INDO,0.4,รีม
,,วัตถุดิบ สาทร,rawmat_WB-500-31*43-C_A_S_,กล่องแป้งหลังขาว 500แกรม 31*43 นิ้ว C.A.S.,1.4,รีม
,,วัตถุดิบ สาทร,rawmat_1SAC-210-31*31_5-C_A_S_,อาร์ตการ์ด 1 หน้า 210แกรม 31*31.5 นิ้ว C.A.S.,2.4,รีม
