id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,NAME,inventory_line_id/product_qty,inventory_line_id/product_uom
stock_fg_floor2_sathorn_2feb14,นับสต๊อกชั้น2 สาทร วันที่ 2-Feb-14,สาทร ชั้น 2,product_291187,MKR สมุดฉีกไม่มีเส้น NO.4 100แผ่นเต็ม,0,เล่ม
,,สาทร ชั้น 2,product_N-TS-470L,สมุดฉีกมีเส้น เบอร์4/70แผ่น,21200,เล่ม
,,สาทร ชั้น 2,product_649519,MKR สมุดฉีกหนา เบอร์ 5  75 แผ่น,43800,เล่ม
,,สาทร ชั้น 2,product_N-TS-A70L,สมุดฉีกมีเส้น A70แผ่นเต็ม,11000,เล่ม
,,สาทร ชั้น 2,product_N-TS-AA100L,สมุดฉีกมีเส้น AA100แผ่นเต็ม,4200,เล่ม
,,สาทร ชั้น 2,product_103138,Q-BIZ สมุดฉีก 50g 80 แผ่น,49725,เล่ม
,,สาทร ชั้น 2,__export__.product_product_6962,สมุดฉีกปกแข็ง100แผ่น 80g HVP-S1008,1896,เล่ม
,,สาทร ชั้น 2,product_N-PV-13,สมุดรายงาน 55แกรม 27แผ่น,4170,เล่ม
,,สาทร ชั้น 2,product_N-PV-A4206,สมุดฉีกรายงาน 60แกรม A4 20แผ่น PV-A4206,5904,เล่ม
,,สาทร ชั้น 2,product_N-PV-A4506,สมุดฉีกรายงาน 60แกรม A4/40แผ่น ปกสีฟ้า,120,เล่ม
,,สาทร ชั้น 2,product_N-PV-A4206,สมุดฉีกรายงาน 60แกรม A4 40แผ่น PV-A4406,10278,เล่ม
,,สาทร ชั้น 2,product_N-PV-A4506,สมุดฉีกรายงาน 60แกรม A4 50แผ่น PV-A4506,16509,เล่ม
,,สาทร ชั้น 2,product_N-PV-A4MICKEY,Atlux สมุดฉีกรายงาน A4 60g 50 แผ่น,936,เล่ม
,,สาทร ชั้น 2,product_N-PV-A4506-1,Atlux สมุดฉีกรายงาน A4 Mickey,36,เล่ม
,,สาทร ชั้น 2,product_103107,Q-BIZ สมุดรายงาน 40 แผ่น,2412,เล่ม
,,สาทร ชั้น 2,product_N-PVC-136,สมุดโน๊ตปกหนัง No.136 80แกรม 30แผ่น,4704,เล่ม
,,สาทร ชั้น 2,product_N-PVC-199,สมุดโน๊ตปกหนัง No.199 80แกรม 60แผ่น,150,เล่ม
,,สาทร ชั้น 2,product_N-PVC-747,สมุดโน๊ตปกหนัง No.747 80แกรม 60แผ่น,1234,เล่ม
,,สาทร ชั้น 2,product_194528,Q-BIZ สมุดโน๊ตปกPVCเล็ก 60g 64s,1014,เล่ม
,,สาทร ชั้น 2,product_194527,Q-BIZ สมุดสันห่วงปกPVC -A5 70g 80s,1728,เล่ม
,,สาทร ชั้น 2,product_N-TA-60G12100PVC,สมุดบัญชีจีนปกหนัง 60แกรม 12/100แผ่น,669,เล่ม
,,สาทร ชั้น 2,product_N-TA-60G2070PVC,สมุดบัญชีจีนปกหนัง 60แกรม 20/70แผ่น,5715,เล่ม
,,สาทร ชั้น 2,product_N-TA-100G12100,สมุดบัญชีจีนมุมผ้ามัน 100แกรม 12/100แผ่น,114,เล่ม
,,สาทร ชั้น 2,product_N-TA-100G12150,สมุดบัญชีจีนมุมผ้ามัน 100แกรม 12/150แผ่น,900,เล่ม
,,สาทร ชั้น 2,product_N-TA-100G12200,สมุดบัญชีจีนมุมผ้ามัน 100แกรม 12/200แผ่น,417,เล่ม
,,สาทร ชั้น 2,product_N-TA-100G9150,สมุดบัญชีจีนมุมผ้ามัน 100แกรม 9/150แผ่น,474,เล่ม
,,สาทร ชั้น 2,product_N-TA-100G9200,สมุดบัญชีจีนมุมผ้ามัน 100แกรม 9/200แผ่น,102,เล่ม
,,สาทร ชั้น 2,product_N-TA-70G12100,สมุดบัญชีจีนมุมผ้ามัน 70แกรม 12/100แผ่น,2043,เล่ม
,,สาทร ชั้น 2,product_N-TA-70G12150,สมุดบัญชีจีนมุมผ้ามัน 70แกรม 12/150แผ่น,729,เล่ม
,,สาทร ชั้น 2,product_N-TA-70G12200,สมุดบัญชีจีนมุมผ้ามัน 70แกรม 12/200แผ่น,576,เล่ม
,,สาทร ชั้น 2,product_N-TA-70G9100,สมุดบัญชีจีนมุมผ้ามัน 70แกรม 9/100แผ่น,1830,เล่ม
,,สาทร ชั้น 2,product_N-TA-80GAA20150,สมุดบัญชีจีนมุมผ้ามัน 80แกรม AA20/150แผ่น,606,เล่ม
,,สาทร ชั้น 2,product_N-TA-80GAA20200,สมุดบัญชีจีนมุมผ้ามัน 80แกรม AA20/200แผ่น,126,เล่ม
,,สาทร ชั้น 2,product_N-TA-55G20100,สมุดบัญชีจีนเล็ก 55แกรม 20/100 44แผ่น,1104,เล่ม
,,สาทร ชั้น 2,product_139528,Q-BIZ สมุดบัญชีจีนเล็ก 20/100,792,เล่ม
,,สาทร ชั้น 2,product_N-TA-55G20150,สมุดบัญชีจีนเล็ก 55แกรม 20/150 64แผ่น,1296,เล่ม
,,สาทร ชั้น 2,product_N-TA-55G20200,สมุดบัญชีจีนเล็ก 55แกรม 20/200 84แผ่น,2370,เล่ม
,,สาทร ชั้น 2,product_N-TA-55GA20200,สมุดบัญชีจีนเล็กมีมุมผ้า 55แกรม A20/200 144แผ่น,840,เล่ม
,,สาทร ชั้น 2,product_N-TA-60G842C,สมุดบัญชีปกเคลือบ 60แกรม 8/42แผ่น,261,เล่ม
,,สาทร ชั้น 2,product_N-TA-55G12100,สมุดบัญชีมุมผ้า 55แกรม 12/100แผ่น ,1811,เล่ม
,,สาทร ชั้น 2,product_N-TA-55G12150,สมุดบัญชีมุมผ้า 55แกรม 12/150แผ่น ,798,เล่ม
,,สาทร ชั้น 2,product_N-TA-55G12200,สมุดบัญชีมุมผ้า 55แกรม 12/200แผ่น ,696,เล่ม
,,สาทร ชั้น 2,product_N-WA-GL850,สมุดบัญชีเนื้อขาวแยกประเภท 8/50แผ่น,78,เล่ม
,,สาทร ชั้น 2,product_N-WA-GL550,สมุดบัญชีเนื้อขาวแยกประเภท 5/50แผ่น,150,เล่ม
,,สาทร ชั้น 2,product_N-WA-GL5100,สมุดบัญชีเนื้อขาวแยกประเภท 5/100แผ่น,30,เล่ม
,,สาทร ชั้น 2,product_N-WA-8D550,สมุดบัญชีเนื้อขาว 8ช่องคู่ 5/50แผ่น,216,เล่ม
,,สาทร ชั้น 2,product_N-WA-8D5150,สมุดบัญชีเนื้อขาว 8ช่องคู่ 5/150แผ่น,3,เล่ม
,,สาทร ชั้น 2,product_N-WA-8D5100,สมุดบัญชีเนื้อขาว 8ช่องคู่ 5/100แผ่น,96,เล่ม
,,สาทร ชั้น 2,product_N-WA-5S550,สมุดบัญชีเนื้อขาว 5ช่องเดี่ยว 5/50แผ่น,18,เล่ม
,,สาทร ชั้น 2,product_N-WA-5S5100,สมุดบัญชีเนื้อขาว 5ช่องเดี่ยว 5/100แผ่น,60,เล่ม
,,สาทร ชั้น 2,product_N-WA-5D5100,สมุดบัญชีเนื้อขาว 5ช่องคู่ 5/100แผ่น,402,เล่ม
,,สาทร ชั้น 2,product_N-WA-4S550,สมุดบัญชีเนื้อขาว 4ช่องเดี่ยว 5/50แผ่น,102,เล่ม
,,สาทร ชั้น 2,product_N-WA-4S5100,สมุดบัญชีเนื้อขาว 4ช่องเดี่ยว 5/100แผ่น,66,เล่ม
,,สาทร ชั้น 2,product_N-WA-4D5100,สมุดบัญชีเนื้อขาว 4ช่องคู่ 5/100แผ่น,48,เล่ม
,,สาทร ชั้น 2,product_N-WA-3S850,สมุดบัญชีเนื้อขาว 3ช่องเดี่ยว 8/50แผ่น,348,เล่ม
,,สาทร ชั้น 2,product_N-WA-3S8100,สมุดบัญชีเนื้อขาว 3ช่องเดี่ยว 8/100แผ่น,450,เล่ม
,,สาทร ชั้น 2,product_N-WA-3S550,สมุดบัญชีเนื้อขาว 3ช่องเดี่ยว 5/50แผ่น,18,เล่ม
,,สาทร ชั้น 2,product_N-WA-3S5150,สมุดบัญชีเนื้อขาว 3ช่องเดี่ยว 5/150แผ่น,105,เล่ม
,,สาทร ชั้น 2,product_N-WA-3D850,สมุดบัญชีเนื้อขาว 3ช่องคู่ 8/50แผ่น,390,เล่ม
,,สาทร ชั้น 2,product_N-WA-3D8100,สมุดบัญชีเนื้อขาว 3ช่องคู่ 8/100แผ่น,72,เล่ม
,,สาทร ชั้น 2,product_N-WA-3D550,สมุดบัญชีเนื้อขาว 3ช่องคู่ 5/50แผ่น,774,เล่ม
,,สาทร ชั้น 2,product_N-WA-3D5200,สมุดบัญชีเนื้อขาว 3ช่องคู่ 5/200แผ่น,216,เล่ม
,,สาทร ชั้น 2,product_N-WA-3D5150,สมุดบัญชีเนื้อขาว 3ช่องคู่ 5/150แผ่น,198,เล่ม
,,สาทร ชั้น 2,product_N-WA-2S850,สมุดบัญชีเนื้อขาว 2ช่องเดี่ยว 8/50แผ่น,168,เล่ม
,,สาทร ชั้น 2,product_N-WA-2S8100,สมุดบัญชีเนื้อขาว 2ช่องเดี่ยว 8/100แผ่น,30,เล่ม
,,สาทร ชั้น 2,product_N-WA-2S550,สมุดบัญชีเนื้อขาว 2ช่องเดี่ยว 5/50แผ่น,1380,เล่ม
,,สาทร ชั้น 2,product_N-WA-2S5200,สมุดบัญชีเนื้อขาว 2ช่องเดี่ยว 5/200แผ่น,3,เล่ม
,,สาทร ชั้น 2,product_N-WA-2S5150,สมุดบัญชีเนื้อขาว 2ช่องเดี่ยว 5/150แผ่น,6,เล่ม
,,สาทร ชั้น 2,product_N-WA-2S5100,สมุดบัญชีเนื้อขาว 2ช่องเดี่ยว 5/100แผ่น,6,เล่ม
,,สาทร ชั้น 2,product_N-WA-2D850,สมุดบัญชีเนื้อขาว 2ช่องคู่ 8/50แผ่น,174,เล่ม
,,สาทร ชั้น 2,product_N-WA-2D550,สมุดบัญชีเนื้อขาว 2ช่องคู่ 5/50แผ่น,68,เล่ม
