id,product_id/id,product_name,warehouse_id,location_id,product_min_qty,product_max_qty,product_uom
stock_reorder_rawmat_sep11_1,rawmat_WF-50-23_5*33-BU-B,กระดาษปอนด์ 50แกรม(B) 23.5x33 นิ้ว บูรพา,วัตถุดิบ สาทร,วัตถุดิบ สาทร,,,รีม
stock_reorder_rawmat_sep11_2,rawmat_WF-50-25*31-BU-B,กระดาษปอนด์ 50แกรม(B) 25x31 นิ้ว บูรพา,วัตถุดิบ สาทร,วัตถุดิบ สาทร,,,รีม
stock_reorder_rawmat_sep11_3,rawmat_WF-50-28*40-BU-B,กระดาษปอนด์ 50แกรม(B) 28x40 นิ้ว บูรพา,วัตถุดิบ สาทร,วัตถุดิบ สาทร,,,รีม
stock_reorder_rawmat_sep11_4,rawmat_WF-50-26*33-BU-B,กระดาษปอนด์ 50แกรม(B) 26*33 นิ้ว บูรพา,วัตถุดิบ สาทร,วัตถุดิบ สาทร,,,รีม
stock_reorder_rawmat_sep11_5,rawmat_WF-50-31*43-BU-B,กระดาษปอนด์ 50แกรม(B) 31*43 นิ้ว บูรพา,วัตถุดิบ สาทร,วัตถุดิบ สาทร,,,รีม
stock_reorder_rawmat_sep11_6,rawmat_WF-55-25*31-BU-B,กระดาษปอนด์ 55แกรม(B) 25*31 นิ้ว บูรพา,วัตถุดิบ สาทร,วัตถุดิบ สาทร,,,รีม
stock_reorder_rawmat_sep11_7,rawmat_WF-55-26*33-BU-B,กระดาษปอนด์ 55แกรม(B) 26*33 นิ้ว บูรพา,วัตถุดิบ สาทร,วัตถุดิบ สาทร,,,รีม
stock_reorder_rawmat_sep11_8,rawmat_WF-55-30*40-BU-B,กระดาษปอนด์ 55แกรม(B) 30*40 นิ้ว บูรพา,วัตถุดิบ สาทร,วัตถุดิบ สาทร,,,รีม
stock_reorder_rawmat_sep11_9,rawmat_WF-60-24*34-SCG,กระดาษปอนด์ 60แกรม 24x34 นิ้ว SCG,วัตถุดิบ สาทร,วัตถุดิบ สาทร,40,,รีม
stock_reorder_rawmat_sep11_10,rawmat_WF-60-24*35-SCG,กระดาษปอนด์ 60แกรม 24x35 นิ้ว SCG,วัตถุดิบ สาทร,วัตถุดิบ สาทร,40,,รีม
