id,warehouse_id,location_id,product_main_code,product_id/id,product_uom,product_min_qty,product_max_qty
count_dec1_floor1_1,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,182504,product_182504,ห่อ,150,0
count_dec1_floor1_2,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,182503,product_182503,ห่อ,150,0
count_dec1_floor1_3,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,182501,product_182501,ห่อ,150,0
count_dec1_floor1_4,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,182502,product_182502,ห่อ,150,0
count_dec1_floor1_5,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,182499,product_182499,ห่อ,100,0
count_dec1_floor1_6,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,182500,product_182500,ห่อ,100,0
count_dec1_floor1_7,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-ANS-100,product_P-ANS-100,ห่อ,300,0
count_dec1_floor1_8,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-ANS-120,product_P-ANS-120,ห่อ,200,0
count_dec1_floor1_9,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-FS-NO150,product_P-FS-NO150,ห่อ,50,0
count_dec1_floor1_10,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-LG-008,product_P-LG-008,ห่อ,1,0
count_dec1_floor1_11,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-LG-001,product_P-LG-001,ห่อ,1,0
count_dec1_floor1_12,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-LG-002,product_P-LG-002,ห่อ,4.75,0
count_dec1_floor1_13,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-LG-013,product_P-LG-013,ห่อ,10,0
count_dec1_floor1_14,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-LG-011,product_P-LG-011,ห่อ,10,0
count_dec1_floor1_15,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-LG-009,product_P-LG-009,ห่อ,5,0
count_dec1_floor1_16,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-LG-003,product_P-LG-003,ห่อ,10,0
