id,product_id/id,warehouse_id,location_id,product_min_qty,product_max_qty,product_uom
stock_reorder_26oct_1,product_291187,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,40000,120000,เล่ม
stock_reorder_26oct_2,product_N-TS-NO4NL,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,30000,90000,เล่ม
stock_reorder_26oct_3,product_1184980,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,40000,120000,เล่ม
stock_reorder_26oct_4,product_2012644,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1000,3000,เล่ม
stock_reorder_26oct_5,product_2012645,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,15000,45000,เล่ม
stock_reorder_26oct_6,product_N-TS-A70NL,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1500,4500,เล่ม
stock_reorder_26oct_7,product_268309,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,12000,36000,เล่ม
stock_reorder_26oct_8,product_N-TS-A90L,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,5000,15000,เล่ม
stock_reorder_26oct_9,product_N-TS-AA100NL,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,5000,15000,เล่ม
stock_reorder_26oct_10,product_103105,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,120000,360000,เล่ม
stock_reorder_26oct_11,product_2800542,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,500,1500,เล่ม
stock_reorder_26oct_12,product_2249452,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1500,4500,เล่ม
stock_reorder_26oct_13,product_2525970,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1500,4500,เล่ม
stock_reorder_26oct_14,product_1244402,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,4000,12000,เล่ม
stock_reorder_26oct_15,product_2525972,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,300,900,เล่ม
stock_reorder_26oct_16,product_2525974,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,800,2400,เล่ม
stock_reorder_26oct_17,product_2800529,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1500,4500,เล่ม
stock_reorder_26oct_18,product_268335,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,3000,9000,เล่ม
stock_reorder_26oct_19,product_1802343,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1500,4500,เล่ม
stock_reorder_26oct_20,product_2800546,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1000,3000,เล่ม
stock_reorder_26oct_21,product_N-MIS-VE924,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,15000,45000,เล่ม
stock_reorder_26oct_22,product_N-MIS-DW930,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,5000,15000,เล่ม
stock_reorder_26oct_23,product_1184979,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,4000,12000,เล่ม
stock_reorder_26oct_24,product_N-HVT-70G5100A,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,4000,12000,เล่ม
stock_reorder_26oct_25,product_2800544,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1200,3600,เล่ม
stock_reorder_26oct_26,product_N-HVB-51007,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,15000,45000,เล่ม
stock_reorder_26oct_27,product_26000,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,4000,12000,เล่ม
stock_reorder_26oct_28,product_1802555,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,8000,24000,เล่ม
stock_reorder_26oct_29,product_1534566,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,5000,15000,เล่ม
stock_reorder_26oct_30,product_2800543,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1000,3000,เล่ม
stock_reorder_26oct_31,product_2011923,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,2000,6000,เล่ม
stock_reorder_26oct_32,product_2241339,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1000,3000,เล่ม
stock_reorder_26oct_33,product_2800539,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1000,3000,เล่ม
