id,warehouse_id,location_id,product_main_code,product_id/id,product_uom,product_min_qty,product_max_qty
count_feb2016_mhc2_1,สำเร็จรูป มหาชัย,FG มหาชัย,8857121670719,product_N-F8306-1,เล่ม,2500,0
count_feb2016_mhc2_2,สำเร็จรูป มหาชัย,FG มหาชัย,N-TS-470L,product_N-TS-470L,เล่ม,7000,0
count_feb2016_mhc2_3,สำเร็จรูป มหาชัย,FG มหาชัย,649519,product_649519,เล่ม,45000,0
count_feb2016_mhc2_4,สำเร็จรูป มหาชัย,FG มหาชัย,N-TS-NO5NL,product_N-TS-NO5NL,เล่ม,5000,0
count_feb2016_mhc2_5,สำเร็จรูป มหาชัย,FG มหาชัย,N-TS-A70L,product_N-TS-A70L,เล่ม,500,0
count_feb2016_mhc2_6,สำเร็จรูป มหาชัย,FG มหาชัย,N-TS-A70NL,product_N-TS-A70NL,เล่ม,1000,0
count_feb2016_mhc2_7,สำเร็จรูป มหาชัย,FG มหาชัย,N-TS-AA100L,product_N-TS-AA100L,เล่ม,2000,0
count_feb2016_mhc2_8,สำเร็จรูป มหาชัย,FG มหาชัย,103138,product_103138,เล่ม,0,0
count_feb2016_mhc2_9,สำเร็จรูป มหาชัย,FG มหาชัย,N-PV-13,product_N-PV-13,เล่ม,0,0
count_feb2016_mhc2_10,สำเร็จรูป มหาชัย,FG มหาชัย,N-PV-A4206,product_N-PV-A4206,เล่ม,7000,0
count_feb2016_mhc2_11,สำเร็จรูป มหาชัย,FG มหาชัย,N-PV-A4406B,product_N-PV-A4406B,เล่ม,500,0
count_feb2016_mhc2_12,สำเร็จรูป มหาชัย,FG มหาชัย,N-PV-A4406,product_N-PV-A4406,เล่ม,6000,0
count_feb2016_mhc2_13,สำเร็จรูป มหาชัย,FG มหาชัย,N-PV-A4506,product_N-PV-A4506,เล่ม,3000,0
count_feb2016_mhc2_14,สำเร็จรูป มหาชัย,FG มหาชัย,311806,__export__.product_product_6932,เล่ม,1000,0
count_feb2016_mhc2_15,สำเร็จรูป มหาชัย,FG มหาชัย,103107,product_103107,เล่ม,0,0
count_feb2016_mhc2_16,สำเร็จรูป มหาชัย,FG มหาชัย,312648,product_63_182505,เล่ม,1500,0
count_feb2016_mhc2_17,สำเร็จรูป มหาชัย,FG มหาชัย,984984,product_984984,เล่ม,5500,0
count_feb2016_mhc2_18,สำเร็จรูป มหาชัย,FG มหาชัย,N-PVC-136,product_N-PVC-136,เล่ม,1000,0
count_feb2016_mhc2_19,สำเร็จรูป มหาชัย,FG มหาชัย,N-PVC-188,product_N-PVC-188,เล่ม,200,0
count_feb2016_mhc2_20,สำเร็จรูป มหาชัย,FG มหาชัย,N-PVC-199,product_N-PVC-199,เล่ม,200,0
count_feb2016_mhc2_21,สำเร็จรูป มหาชัย,FG มหาชัย,N-PVC-747,product_N-PVC-747,เล่ม,500,0
count_feb2016_mhc2_22,สำเร็จรูป มหาชัย,FG มหาชัย,N-TA-60G12100C,product_N-TA-60G12100C,เล่ม,50,0
count_feb2016_mhc2_23,สำเร็จรูป มหาชัย,FG มหาชัย,N-TA-60G12100PVC,product_N-TA-60G12100PVC,เล่ม,100,0
count_feb2016_mhc2_24,สำเร็จรูป มหาชัย,FG มหาชัย,114225,product_114225,เล่ม,2000,0
count_feb2016_mhc2_25,สำเร็จรูป มหาชัย,FG มหาชัย,N-TA-60G2070PVC,product_N-TA-60G2070PVC,เล่ม,200,0
count_feb2016_mhc2_26,สำเร็จรูป มหาชัย,FG มหาชัย,114232,product_114232,เล่ม,3000,0
count_feb2016_mhc2_27,สำเร็จรูป มหาชัย,FG มหาชัย,N-TA-100G12100,product_N-TA-100G12100,เล่ม,300,0
count_feb2016_mhc2_28,สำเร็จรูป มหาชัย,FG มหาชัย,N-TA-100G12150,product_N-TA-100G12150,เล่ม,200,0
count_feb2016_mhc2_29,สำเร็จรูป มหาชัย,FG มหาชัย,N-TA-100G12200,product_N-TA-100G12200,เล่ม,150,0
count_feb2016_mhc2_30,สำเร็จรูป มหาชัย,FG มหาชัย,N-TA-100G9100,product_N-TA-100G9100,เล่ม,150,0
count_feb2016_mhc2_31,สำเร็จรูป มหาชัย,FG มหาชัย,N-TA-100G9150,product_N-TA-100G9150,เล่ม,100,0
count_feb2016_mhc2_32,สำเร็จรูป มหาชัย,FG มหาชัย,N-TA-100G9200,product_N-TA-100G9200,เล่ม,200,0
count_feb2016_mhc2_33,สำเร็จรูป มหาชัย,FG มหาชัย,N-TA-70G12100,product_N-TA-70G12100,เล่ม,400,0
count_feb2016_mhc2_34,สำเร็จรูป มหาชัย,FG มหาชัย,140002,product_140002,เล่ม,3000,0
count_feb2016_mhc2_35,สำเร็จรูป มหาชัย,FG มหาชัย,N-TA-70G12150,product_N-TA-70G12150,เล่ม,120,0
count_feb2016_mhc2_36,สำเร็จรูป มหาชัย,FG มหาชัย,N-TA-70G12200,product_N-TA-70G12200,เล่ม,150,0
count_feb2016_mhc2_37,สำเร็จรูป มหาชัย,FG มหาชัย,N-TA-70G9100,product_N-TA-70G9100,เล่ม,150,0
count_feb2016_mhc2_38,สำเร็จรูป มหาชัย,FG มหาชัย,N-TA-70G9150,product_N-TA-70G9150,เล่ม,100,0
count_feb2016_mhc2_39,สำเร็จรูป มหาชัย,FG มหาชัย,N-TA-70G9200,product_N-TA-70G9200,เล่ม,120,0
